Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,1,569
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,2,769
Regular,2190,4:47,5:39,4808,20.865,41.7299995,3,2
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,4,570
Regular,4808,4:50,5:41,2190,21.25,42.5,5,3
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,6,360
Regular,2190,5:07,5:59,4808,20.865,41.7299995,7,4
Regular,4808,5:10,6:01,2190,21.25,42.5,8,5
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,9,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,10,572
Regular,4808,5:25,6:16,2190,21.25,42.5,11,6
Regular,1310,5:26,5:42,PC_10,5.387,10.7740002,12,225
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,13,363
Regular,PC_9,5:42,5:57,JON_B,6.191,12.3870001,14,882
Regular,2190,5:44,6:37,4808,20.865,41.7299995,15,9
Regular,4808,5:46,6:38,2190,21.25,42.5,16,10
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,17,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,18,883
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,19,228
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,20,491
Regular,2190,5:58,6:53,4808,20.865,41.7299995,21,12
Regular,JON_A,6:05,6:17,PC_7,5.133,10.2659998,22,774
Regular,4808,6:06,6:59,2190,21.25,42.5,23,13
Regular,2190,6:08,7:03,4808,20.865,41.7299995,24,14
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,25,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,26,775
Regular,2190,6:18,7:14,4808,20.865,41.7299995,27,16
Regular,13421,6:25,6:43,6480,10.809,21.618,28,203
Regular,PC_10,6:27,7:01,HED_E,11.168,22.3409996,29,231
Regular,2190,6:28,7:24,4808,20.865,41.7299995,30,18
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,31,494
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,32,232
Regular,4808,6:42,7:40,2190,21.25,42.5,33,21
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,34,778
Regular,2190,6:48,7:45,4808,20.865,41.7299995,35,22
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,36,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,37,372
Regular,PC_7,6:57,7:14,JON_B,5.137,10.2790003,38,779
Regular,4808,7:01,8:01,2190,21.25,42.5,39,25
Regular,HED_D,7:07,7:37,PC_10,10.664,21.3279991,40,235
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,41,891
Regular,2190,7:09,8:08,4808,20.865,41.7299995,42,26
Regular,HED_D,7:10,7:37,PC_5,9.931,19.8619995,43,374
Regular,4808,7:11,8:11,2190,21.25,42.5,44,27
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,45,375
Regular,4808,7:21,8:21,2190,21.25,42.5,46,29
Regular,13421,7:25,7:44,6480,10.809,21.618,47,205
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,48,783
Regular,2190,7:29,8:29,4808,20.865,41.7299995,49,30
Regular,4808,7:31,8:31,2190,21.25,42.5,50,31
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,51,243
Regular,PC_10,7:37,8:14,HED_E,11.168,22.3409996,52,244
Regular,PC_5,7:37,8:11,HED_E,10.088,20.1809998,53,378
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,54,784
Regular,2190,7:49,8:49,4808,20.865,41.7299995,55,34
Regular,4808,7:52,8:52,2190,21.25,42.5,56,35
Regular,3127,7:53,8:07,13215,9.735,19.4699993,57,247
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,58,788
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,59,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,60,899
Regular,3127,8:13,8:27,13215,9.735,19.4699993,61,252
Regular,4808,8:15,9:14,2190,21.25,42.5,62,39
Regular,HED_D,8:17,8:47,PC_10,10.664,21.3279991,63,253
Regular,PC_7,8:17,8:34,JON_B,5.137,10.2790003,64,789
Regular,2190,8:20,9:19,4808,20.865,41.7299995,65,40
Regular,PC_5,8:27,8:59,HED_E,10.088,20.1809998,66,385
Regular,2190,8:30,9:29,4808,20.865,41.7299995,67,42
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,68,902
Regular,4808,8:36,9:33,2190,21.25,42.5,69,43
Regular,2190,8:40,9:39,4808,20.865,41.7299995,70,44
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,71,255
Regular,PC_10,8:47,9:23,HED_E,11.168,22.3409996,72,256
Regular,2190,8:50,9:49,4808,20.865,41.7299995,73,46
Regular,4808,8:56,9:52,2190,21.25,42.5,74,47
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,75,700
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,76,701
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,77,907
Regular,2190,9:20,10:17,4808,20.865,41.7299995,78,52
Regular,4808,9:26,10:21,2190,21.25,42.5,79,53
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,80,702
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,81,908
Regular,4808,9:36,10:31,2190,21.25,42.5,82,55
Regular,2190,9:40,10:37,4808,20.865,41.7299995,83,56
Regular,4808,9:44,10:39,2190,21.25,42.5,84,57
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,85,703
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,86,259
Regular,HED_D,9:48,10:17,PC_10,10.664,21.3279991,87,260
Regular,4808,9:54,10:49,2190,21.25,42.5,88,59
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,89,508
Regular,2190,10:00,10:57,4808,20.865,41.7299995,90,60
Regular,2190,10:10,11:07,4808,20.865,41.7299995,91,62
Regular,PC_5,10:17,10:48,HED_E,10.088,20.1809998,92,397
Regular,4808,10:24,11:19,2190,21.25,42.5,93,65
Regular,2190,10:30,11:27,4808,20.865,41.7299995,94,66
Regular,PC_7,10:30,10:54,GMV_G,9.319,18.6380005,95,606
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,96,512
Regular,4808,10:44,11:39,2190,21.25,42.5,97,69
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,98,264
