scale,candidate_rank,duties_json,duty_set_sha256,candidate_seed,nested_chain_id,selected_family,selected_role,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
9,1,"[""13310"",""13312"",""13313"",""13319"",""13324muw"",""13404"",""13408"",""13409"",""13413""]",d72091d5a2de641cb88c043e0fb1c6ba363aed7fd8229478170c95ceb5b772e1,20260904001,nested_probability_1,probability,fixed_seed_probability_1,211,9,5084.47595559,564.941772843,46,0.462079232,6.0,1254
9,2,"[""13302"",""13307"",""13310"",""13311"",""13312"",""13320"",""13321"",""13324t"",""13406""]",3748e7480f9d01e0e8a2ab6872c3090ddc97ce95fba94dd5d57629904e9e1de2,20260904002,nested_probability_2,probability,fixed_seed_probability_2,219,9,3994.86596003,443.873995559,50,0.538270759,3.0,1257
9,3,"[""13301"",""13304"",""13307"",""13309"",""13316uwt"",""13321"",""13323"",""13324t"",""13414""]",d6df6578df4cfd19db9bea36056e9281aa2f990d8efac1a8c655e4273bce4297,20260904003,nested_probability_3,probability,fixed_seed_probability_3,191,9,3529.92497799,392.213886443,37,0.437979317,3.0,1257
9,4,"[""13307"",""13310"",""13311"",""13312"",""13313"",""13322"",""13406"",""13410"",""13414""]",5e6b881551643371ed1e8df1342cdb734ac2d44003041b90125778603bed6c43,20260904004,nested_probability_4,probability,fixed_seed_probability_4,203,9,4419.5139574,491.057106378,46,0.499896857,4.0,1243
9,5,"[""13317"",""13319"",""13320"",""13322"",""13402"",""13404"",""13407"",""13408"",""13410""]",afafb3c9003b4caf5a7e184d9b91c8b920c913c78beb02e5893489b230542c44,20260904005,nested_probability_5,probability,fixed_seed_probability_5,183,9,4941.90696877,549.100774308,37,0.374546218,7.0,1283
9,6,"[""13302"",""13307"",""13309"",""13320"",""13324t"",""13401"",""13407"",""13408"",""13409""]",c3de4472531444f564c0079925bdcf71ae893342195c7dec41683529c873248e,20260904006,nested_probability_6,probability,fixed_seed_probability_6,178,9,4395.82796381,488.425329312,50,0.561910101,6.0,1278
9,7,"[""13302"",""13313"",""13317"",""13320"",""13402"",""13407"",""13411"",""13413"",""13414""]",82820c03600b22c44dcf1fcbc9cb534bdb523a53573d15b44800cae26c8f9ec4,2026090409,,,,215,9,5437.62495434,604.180550482,50,0.54057638,7.0,1275
9,8,"[""13304"",""13314"",""13315"",""13319"",""13321"",""13324t"",""13401"",""13404"",""13412""]",46eb92b75a7c735b247f4283da3451a756b1b9608501c066259c7aaf447e6c50,2026090409,,,,195,9,4287.36297582,476.37366398,37,0.362763881,5.0,1277
9,9,"[""13301"",""13309"",""13314"",""13315"",""13319"",""13320"",""13325"",""13408"",""13413""]",63aad0b7754b39f45b85a2cc666fe4e8669b41bedcbb7b2b3371757a7c259368,2026090409,,,,216,9,4178.72597433,464.302886037,42,0.418514421,3.0,1259
9,10,"[""13305"",""13306"",""13309"",""13320"",""13325"",""13404"",""13407"",""13412"",""13414""]",1f158378a1786d683e2a442b6537a6a21643cba3955bb2561039ee75e11be054,2026090409,,,,201,9,4798.16496422,533.129440469,42,0.412005186,5.0,1252
9,11,"[""13309"",""13311"",""13318"",""13322"",""13405"",""13407"",""13410"",""13412"",""13414""]",a33b72f94d5a3fd7bdca2ec5a204382abc423e23dbfd2af427b3c37e151fed5d,2026090409,,,,167,9,4612.16396626,512.462662918,33,0.358482145,7.0,1246
9,12,"[""13304"",""13310"",""13312"",""13318"",""13322"",""13325"",""13401"",""13411"",""13413""]",bfc14cdedc72f4ff2f7f6c3ac987d5ca9872c3d3ca00c71ba78a8255f5559f4a,2026090409,,,,249,9,4991.4469605,554.605217833,46,0.428685467,3.0,1275
9,13,"[""13303"",""13313"",""13314"",""13321"",""13323"",""13324t"",""13326"",""13409"",""13412""]",29f3ac8ee196a0923d0204f501596aa917758f15080da078517100c8762fa0b0,2026090409,,,,208,9,4242.79496848,471.421663164,54,0.569828169,3.0,1241
