cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,candidate_rank,candidate_seed,relative_path,instance_file_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,direct_compatibility_density,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
k02_p1,2,1,probability,1,fixed_seed_probability_1,1,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p01_20260903.csv,355409cb444693333329b8a0c9cc2ac7c69546d98266e573bb890e5433196265,"[""13312"",""13314""]",a430c7c1d36c389d8a4df1dc51d17fb3408f0763a3a872d5b987e26f048fdf61,2,True,974eebe9a383cef9b2cddedb86a6bab289e9d171fc26dc1937079919d784d36a,62,2,0.098360655738,996.59599212,498.29799606,46,0.483870968,2.0,1192
k02_p2,2,2,probability,2,fixed_seed_probability_2,2,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p02_20260903.csv,23644099935a87535d5eb6fff355b90353c7876d63e8798505ec0152c52b99d8,"[""13306"",""13318""]",d4b564edc0d5d0059d8d1e8dffb50ae26c3c2fe9d67639a6ba3e57571eada6a4,2,True,e61f855edab8f7f8f3eb802bb54e3640be551c5f62498d338cfe6da3cdde597a,63,2,0.097798259089,1006.91899044,503.45949522,33,0.047619048,2.0,1208
k02_p3,2,3,probability,3,fixed_seed_probability_3,3,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p03_20260903.csv,51d56723818a6f671f7979df21c13bab750905b5e9a8c99705356dede1a4c8bb,"[""13407"",""13412""]",4746dd68ac9d9924bfb58bf1af615406befbdf9aadb1ded224dabc19c43e2ff0,2,True,3ae0eb5e0c01c86abaa7cca8ab7f0049fd1fd283d2ad4db640cdbbc78d7aa0e0,32,2,0.086693548387,1346.9099915,673.45499575,17,0.0625,10.5,1179
k02_p4,2,4,probability,4,fixed_seed_probability_4,4,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p04_20260903.csv,2df6cc67b3d917261230c0117242689e6739b9d8328504d3b9d0798bd867fc3c,"[""13303"",""13401""]",2b67cfb46533ee63d87f70f493e15756c1dd5eabf738cca2f78f030ec3bda841,2,True,16f32d448ca9bf1a00ea340143f14e457a2207327a85cb436fabbd3a82e9f9b4,66,2,0.075990675991,1233.0989927,616.54949635,54,0.636363636,2.5,1216
k02_p5,2,5,probability,5,fixed_seed_probability_5,5,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p05_20260903.csv,2d44e118b03476662b18b1a9612d31f06ec2ed3b42d5d90b1d5cfb45ebe5debb,"[""13322"",""13409""]",4d0639cef6c6c6bec4f2cb4e01d2d07f1e7e4ed5c176d980b25c1da7015962a3,2,True,a78cd4bf6a1c6f58a30cdffb793284f86afafa545de00ca1c2454276a5584cb3,43,2,0.095238095238,1107.8929938,553.9464969,26,0.209302326,7.0,1170
k02_p6,2,6,probability,6,fixed_seed_probability_6,6,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_p06_20260903.csv,20af67c43f77c4a30a272e3527fbeff8a5fa6dac50263796b052356d1cc6903e,"[""13315"",""13404""]",5c9ecf810e2f31db48f0c57f8cfbff536597ca244a22e5081bb3bce063fd63e5,2,True,4840012a83d91427fb08713680309ec1265bf9f96e6c50f3e82fee678a07b895,48,2,0.082446808511,1142.40999566,571.20499783,31,0.291666667,4.5,1156
k02_xtrip,2,7,structural,2,trip_heavy,167,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_xtrip_20260903.csv,9af5c5b2d1c5d5d66fca725bc808473a6f4135f911d7883c85d871b65a86986f,"[""13302"",""13303""]",22a56fefff420b8a150dec7c5c5e1b011c1723d55738217b6640f5a9728eb8ef,2,True,eade8a712091b6c74ea25c6ff32de4679be8795d760665d840e2d7b1ccbfced3,104,2,0.089058999253,1500.85098636,750.42549318,54,0.038461538,1.0,1260
k02_xgap,2,8,structural,4,tight_gap,240,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_xgap_20260903.csv,9fea2166e7537d75a241edba1bfbe3960ad2986d03e6934fc70f0a76507a96c7,"[""13312"",""13325""]",d3e687a56b0e21487d9a1e6fa706d03836201b741502479e9e7e53f728136352,2,True,3cc0e84aa40af2fddfd65e155411aa158362427ed3cca06f05e3ac5c4945a397,88,2,0.092737722048,1384.60198616,692.30099308,46,0.045454545,0.5,1208
k02_xlight,2,9,structural,1,trip_light,464,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_xlight_20260903.csv,c1a92df3aade78d0ec2719a77dece070c5cb934e62f3127c14b312ef8433fc35,"[""13323"",""13408""]",347727889cc023697db0dc27d899705fb22ff0437199bad4bd0b7597e8c64bfd,2,True,802d775c9ee0fd6a2cefeabbb26bda098d84720a82d269347c6086712338c2a4,19,2,0.105263157895,621.1409969,310.57049845,11,0.157894737,7.0,766
k02_xenergy,2,10,structural,3,energy_heavy,488,2026090302,data/scale_ladder/instances/small_threshold_20260903/Practice_Custom_DutyUnion_k02_xenergy_20260903.csv,c7b892a57933222488666b83de2df33e4015003ac60c1ccc12c509a9bcf59596,"[""13302"",""13312""]",f1405bbc651554527d52554d35b3f7223e7fd9c306d2c70e86123c57ae94ebea,2,True,b69d00fe28c84854ee3e450ffcaa1f863b42b0e01c5ea21e7a29aa92df69cc9e,96,2,0.089254385965,1491.75298332,745.87649166,50,0.041666667,0.5,1257
