Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,0,570
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,1,224
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,2,685
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,3,771
Regular,JON_A,5:29,5:42,PC_9,6.171,12.342,4,881
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,5,227
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,6,772
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,7,364
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,8,365
Regular,HED_D,6:17,6:47,PC_10,10.664,21.3279991,9,230
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,10,775
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,11,368
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,12,778
Regular,PC_9,6:47,7:02,JON_B,6.191,12.3870001,13,889
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,14,372
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,15,495
Regular,JON_A,7:13,7:27,PC_9,6.171,12.342,16,892
Regular,PC_5,7:27,8:01,HED_E,10.088,20.1809998,17,376
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,18,498
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,19,243
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,20,248
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,21,251
Regular,HED_D,8:12,8:37,PC_5,9.931,19.8619995,22,383
Regular,PC_5,8:37,9:08,HED_E,10.088,20.1809998,23,387
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,24,255
Regular,HED_D,9:12,9:37,PC_5,9.931,19.8619995,25,390
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,26,907
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,27,908
Regular,PC_7,9:37,9:54,JON_B,5.137,10.2790003,28,797
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,29,259
Regular,JON_A,10:04,10:17,PC_9,6.171,12.342,30,910
Regular,PC_10,10:17,10:53,HED_E,11.168,22.3409996,31,261
