Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,2190,5:07,5:59,4808,20.865,41.7299995,2,4
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,3,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,4,572
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,5,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,6,883
Regular,4808,6:06,6:59,2190,21.25,42.5,7,13
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,8,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,9,775
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,10,778
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,11,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,12,372
Regular,2190,7:09,8:08,4808,20.865,41.7299995,13,26
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,14,375
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,15,243
Regular,13329,7:40,8:01,6480,11.706,23.4120007,16,216
Regular,3127,7:53,8:07,13215,9.735,19.4699993,17,247
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,18,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,19,899
Regular,4808,8:15,9:14,2190,21.25,42.5,20,39
Regular,PC_5,8:17,8:49,HED_E,10.088,20.1809998,21,384
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,22,902
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,23,255
Regular,HED_D,8:52,9:17,PC_5,9.931,19.8619995,24,388
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,25,700
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,26,701
Regular,PC_7,9:17,9:34,JON_B,5.137,10.2790003,27,795
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,28,907
Regular,2190,9:20,10:17,4808,20.865,41.7299995,29,52
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,30,702
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,31,908
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,32,703
Regular,JON_A,9:45,9:57,PC_7,5.133,10.2659998,33,798
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,34,259
Regular,PC_5,9:57,10:28,HED_E,10.088,20.1809998,35,395
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,36,508
Regular,4808,10:24,11:19,2190,21.25,42.5,37,65
Regular,HED_D,10:33,10:57,PC_5,9.931,19.8619995,38,398
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,39,512
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,40,264
Regular,PC_3,10:57,11:13,13329,4.783,9.5710001,41,710
Regular,PC_7,10:57,11:14,JON_B,5.137,10.2790003,42,805
Regular,13329,11:15,11:27,PC_3,4.645,9.28999996,43,711
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,44,915
Regular,JON_A,11:25,11:37,PC_7,5.133,10.2659998,45,808
Regular,PC_6,11:27,11:53,ÖS_J,8.581,17.1669998,46,516
Regular,2190,11:29,12:27,4808,20.865,41.7299995,47,78
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,48,916
Regular,PC_7,11:37,11:54,JON_B,5.137,10.2790003,49,809
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,50,267
Regular,JON_A,12:04,12:17,PC_9,6.171,12.342,51,918
Regular,ÖS_H,12:05,12:27,PC_6,8.205,16.4099998,52,520
Regular,PC_5,12:17,12:48,HED_E,10.088,20.1809998,53,410
Regular,PC_3,12:27,12:43,13329,4.783,9.5710001,54,716
Regular,4808,12:34,13:30,2190,21.25,42.5,55,91
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,56,271
Regular,13329,12:45,12:57,PC_3,4.645,9.28999996,57,717
Regular,HED_D,12:52,13:17,PC_5,9.931,19.8619995,58,414
Regular,PC_6,12:57,13:23,ÖS_J,8.581,17.1669998,59,523
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,60,923
Regular,PC_5,13:17,13:48,HED_E,10.088,20.1809998,61,417
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,62,926
Regular,ÖS_H,13:35,13:57,PC_6,8.205,16.4099998,63,526
Regular,2190,13:40,14:39,4808,20.865,41.7299995,64,104
Regular,HED_D,13:50,14:17,PC_5,9.931,19.8619995,65,420
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,66,630
Regular,PC_6,13:57,14:24,ÖS_J,8.581,17.1669998,67,527
Regular,PC_5,14:17,14:48,HED_E,10.088,20.1809998,68,423
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,69,633
Regular,ÖS_H,14:35,14:57,PC_6,8.205,16.4099998,70,530
Regular,4808,14:46,15:43,2190,21.25,42.5,71,117
