Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,5:07,5:59,4808,20.865,41.7299995,0,4
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,1,685
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,2,771
Regular,2190,5:44,6:37,4808,20.865,41.7299995,3,9
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,4,772
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,5,228
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,6,365
Regular,4808,6:06,6:59,2190,21.25,42.5,7,13
Regular,PC_10,6:27,7:01,HED_E,11.168,22.3409996,8,231
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,9,368
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,10,232
Regular,4808,6:42,7:40,2190,21.25,42.5,11,21
Regular,PC_5,6:47,7:19,HED_E,10.088,20.1809998,12,370
Regular,PC_7,6:50,7:14,GMV_G,9.319,18.6380005,13,581
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,14,495
Regular,HED_D,7:07,7:37,PC_10,10.664,21.3279991,15,235
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,16,891
Regular,2190,7:09,8:08,4808,20.865,41.7299995,17,26
Regular,GMV_H,7:20,7:47,PC_7,9.153,18.3059998,18,585
Regular,3127,7:22,7:36,13215,9.735,19.4699993,19,240
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,20,783
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,21,498
Regular,PC_10,7:37,8:14,HED_E,11.168,22.3409996,22,244
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,23,784
Regular,PC_9,7:40,7:45,13722,2.59,5.17999983,24,895
Regular,PC_10,7:47,8:24,HED_E,11.168,22.3409996,25,246
Regular,13722,7:47,7:52,PC_9,2.518,5.03599977,26,896
Regular,2190,7:49,8:49,4808,20.865,41.7299995,27,34
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,28,248
Regular,PC_5,7:57,8:30,HED_E,10.088,20.1809998,29,381
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,30,788
Regular,4808,8:15,9:14,2190,21.25,42.5,31,39
Regular,HED_D,8:17,8:47,PC_10,10.664,21.3279991,32,253
