Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,1,769
Regular,4808,4:50,5:41,2190,21.25,42.5,2,3
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,3,360
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,4,572
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,5,363
Regular,2190,5:44,6:37,4808,20.865,41.7299995,6,9
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,7,883
Regular,4808,5:56,6:48,2190,21.25,42.5,8,11
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,9,491
Regular,2190,5:58,6:53,4808,20.865,41.7299995,10,12
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,11,367
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,12,494
Regular,4808,6:42,7:40,2190,21.25,42.5,13,21
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,14,371
Regular,PC_7,6:57,7:14,JON_B,5.137,10.2790003,15,779
Regular,2190,6:58,7:56,4808,20.865,41.7299995,16,24
Regular,4808,7:01,8:01,2190,21.25,42.5,17,25
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,18,238
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,19,375
Regular,13421,7:25,7:44,6480,10.809,21.618,20,205
Regular,13329,7:40,8:01,6480,11.706,23.4120007,21,216
Regular,2190,7:49,8:49,4808,20.865,41.7299995,22,34
Regular,3127,7:53,8:07,13215,9.735,19.4699993,23,247
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,24,249
Regular,4808,8:03,9:03,2190,21.25,42.5,25,37
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,26,899
Regular,PC_5,8:17,8:49,HED_E,10.088,20.1809998,27,384
Regular,2190,8:20,9:19,4808,20.865,41.7299995,28,40
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,29,592
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,30,902
Regular,HED_D,8:52,9:17,PC_5,9.931,19.8619995,31,388
Regular,4808,8:56,9:52,2190,21.25,42.5,32,47
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,33,700
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,34,596
Regular,2190,9:09,10:07,4808,20.865,41.7299995,35,50
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,36,701
Regular,PC_7,9:17,9:34,JON_B,5.137,10.2790003,37,795
Regular,4808,9:26,10:21,2190,21.25,42.5,38,53
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,39,505
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,40,702
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,41,703
Regular,JON_A,9:45,9:57,PC_7,5.133,10.2659998,42,798
Regular,PC_5,9:57,10:28,HED_E,10.088,20.1809998,43,395
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,44,508
Regular,2190,10:00,10:57,4808,20.865,41.7299995,45,60
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,46,509
Regular,4808,10:14,11:09,2190,21.25,42.5,47,63
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,48,706
Regular,2190,10:30,11:27,4808,20.865,41.7299995,49,66
Regular,PC_7,10:30,10:54,GMV_G,9.319,18.6380005,50,606
Regular,HED_D,10:33,10:57,PC_5,9.931,19.8619995,51,398
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,52,512
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,53,708
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,54,513
Regular,PC_3,10:57,11:13,13329,4.783,9.5710001,55,710
Regular,PC_7,10:57,11:14,JON_B,5.137,10.2790003,56,805
Regular,GMV_H,11:02,11:27,PC_7,9.153,18.3059998,57,609
Regular,4808,11:04,11:59,2190,21.25,42.5,58,73
Regular,13329,11:15,11:27,PC_3,4.645,9.28999996,59,711
Regular,2190,11:19,12:17,4808,20.865,41.7299995,60,76
Regular,JON_A,11:25,11:37,PC_7,5.133,10.2659998,61,808
Regular,PC_6,11:27,11:53,ÖS_J,8.581,17.1669998,62,516
Regular,PC_7,11:30,11:54,GMV_G,9.319,18.6380005,63,613
Regular,4808,11:34,12:29,2190,21.25,42.5,64,79
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,65,517
Regular,PC_7,11:37,11:54,JON_B,5.137,10.2790003,66,809
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,67,407
Regular,GMV_H,12:02,12:27,PC_7,9.153,18.3059998,68,617
Regular,JON_A,12:04,12:17,PC_9,6.171,12.342,69,918
Regular,ÖS_H,12:05,12:27,PC_6,8.205,16.4099998,70,520
Regular,PC_5,12:17,12:48,HED_E,10.088,20.1809998,71,410
Regular,4808,12:24,13:20,2190,21.25,42.5,72,89
Regular,PC_3,12:27,12:43,13329,4.783,9.5710001,73,716
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,74,411
Regular,PC_7,12:37,12:54,JON_B,5.137,10.2790003,75,815
Regular,2190,12:39,13:37,4808,20.865,41.7299995,76,92
Regular,13329,12:45,12:57,PC_3,4.645,9.28999996,77,717
Regular,2190,12:49,13:47,4808,20.865,41.7299995,78,94
