scale,candidate_rank,duties_json,duty_set_sha256,candidate_seed,selected_family,selected_role,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
3,1,"[""13318"",""13405"",""13406""]",05bfd0365b06b57c844f4573548de4300dbb121c15a5d71e0418f6c1fe0f0ce4,2026090203,probability,fixed_seed_probability_1,60,3,1672.20098746,557.400329153,33,0.460072458,7.0,1216
3,2,"[""13308"",""13401"",""13410""]",e389cf8fe84bccc76704465518a2df3bfad3156b90b7b53ba56288e02109d84b,2026090203,probability,fixed_seed_probability_2,58,3,1663.6889894,554.562996467,31,0.431379173,7.0,1286
3,3,"[""13303"",""13318"",""13405""]",a5ba02fc603e8db4b5c20a4fa060e2d0f597e9e464e8760166cc68a2b5ad00bd,2026090203,probability,fixed_seed_probability_3,100,3,1810.30998666,603.43666222,54,0.502195181,2.0,1238
3,4,"[""13311"",""13316m"",""13322""]",26c2a3b048b4145bd160805822bbffc879d8f80312676a677ddf1368b91f80a7,2026090203,probability,fixed_seed_probability_4,63,3,1027.45499166,342.48499722,26,0.242810453,3.0,806
3,5,"[""13405"",""13407"",""13413""]",0b0f9114f75b841374a85066d8dcace59f6f3ee0bea3bda3a92f980d1c3e3bd9,2026090203,probability,fixed_seed_probability_5,45,3,1894.7899885,631.596662833,17,0.108866211,7.5,1216
3,6,"[""13301"",""13413"",""13414""]",6d0e29085301047fcd9d6ca326290dbe3d6ddd21dfeef330bb7fabb6b8d11ae4,2026090203,probability,fixed_seed_probability_6,63,3,1735.42499136,578.47499712,36,0.508432298,8.0,1161
3,7,"[""13304"",""13316m"",""13323""]",62848dd02ba10b6d8e250fbc44c0fe97333b0e92e323066b1cd15c31c11435dd,2026090203,,,68,3,1073.44799378,357.815997927,37,0.522421167,3.0,1243
3,8,"[""13311"",""13316uwt"",""13410""]",ad7dc08eefd940af8e81690f991e982816073fb0647830d223ae922cf5a90f2a,2026090203,,,50,3,1257.02599026,419.00866342,21,0.18547237,7.0,1226
3,9,"[""13314"",""13317"",""13413""]",7d21e49e94352dd745ee01379bdd716d557134ea1153e6b8ecf9e10cc1862881,2026090203,,,68,3,1490.63599298,496.878664327,37,0.447503649,7.0,1117
3,10,"[""13322"",""13326"",""13407""]",759efd12fad745ee434e8e860596d859ffa80a1e977d9cdd80a06d770d1d8850,2026090203,,,64,3,1456.42899193,485.476330643,26,0.172583766,5.0,1179
