cell_id,scale,selection_replicate,duty_id,trip_count,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,primary_soc_step,primary_block_min,adaptive_sensitivity_run,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema
k02_s1,2,1,13310,24,True,False,True,1.0,5,no fixed-duty transition 21->22,15.0,10,True,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,evsp-dr-trip-identity-v1
k02_s1,2,1,13316m,23,True,False,True,1.0,5,no fixed-duty transition 40->41,15.0,10,True,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,evsp-dr-trip-identity-v1
k02_s2,2,2,13406,14,True,True,True,15.0,10,,15.0,10,True,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,d22dfb2adc3de0a6517f8dad765a2104d21bcf25b91f530c686b73b836de7c58,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,evsp-dr-trip-identity-v1
k02_s2,2,2,13413,15,True,False,True,1.0,5,no fixed-duty transition 14->16,15.0,10,True,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,d22dfb2adc3de0a6517f8dad765a2104d21bcf25b91f530c686b73b836de7c58,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,evsp-dr-trip-identity-v1
k02_s3,2,3,13305,30,True,False,True,1.0,5,no fixed-duty transition 18->22,15.0,10,True,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,64f4365ccabe2c8071141cd370633c431b47182261d5292ef58fb35e9f324ab0,59835c4c63a2976ca7a03da717fa1385f74c9373df697bf4d88d6b0181bf0fbe,2a976be3dbdb9226dd7adaa85342699d69f10ded1e94c7f5a8c057aa41fd8339,evsp-dr-trip-identity-v1
k02_s3,2,3,13322,26,True,False,True,1.0,5,no fixed-duty transition 28->30,15.0,10,True,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,64f4365ccabe2c8071141cd370633c431b47182261d5292ef58fb35e9f324ab0,59835c4c63a2976ca7a03da717fa1385f74c9373df697bf4d88d6b0181bf0fbe,2a976be3dbdb9226dd7adaa85342699d69f10ded1e94c7f5a8c057aa41fd8339,evsp-dr-trip-identity-v1
k03_s1,3,1,13310,24,True,False,True,1.0,5,no fixed-duty transition 27->29,15.0,10,True,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,2f3faac2152fde74ffc940b3bc49aafe3bc8b8fbbadd5ac6f0a30fb174d66a71,793ccb3f72f281f1079fdcc2a59de67f31c784d21f31832c86270748fa1a7978,95b4cee1684575e7b83a46f379a8746a07d4beeff3731c95bb5114a3489dcdfb,evsp-dr-trip-identity-v1
k03_s1,3,1,13316m,23,True,False,True,1.0,5,no fixed-duty transition 50->51,15.0,10,True,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,2f3faac2152fde74ffc940b3bc49aafe3bc8b8fbbadd5ac6f0a30fb174d66a71,793ccb3f72f281f1079fdcc2a59de67f31c784d21f31832c86270748fa1a7978,95b4cee1684575e7b83a46f379a8746a07d4beeff3731c95bb5114a3489dcdfb,evsp-dr-trip-identity-v1
k03_s1,3,1,13406,14,True,True,True,15.0,10,,15.0,10,True,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,2f3faac2152fde74ffc940b3bc49aafe3bc8b8fbbadd5ac6f0a30fb174d66a71,793ccb3f72f281f1079fdcc2a59de67f31c784d21f31832c86270748fa1a7978,95b4cee1684575e7b83a46f379a8746a07d4beeff3731c95bb5114a3489dcdfb,evsp-dr-trip-identity-v1
k03_s2,3,2,13305,30,True,False,True,1.0,5,no fixed-duty transition 22->26,15.0,10,True,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,f43ef331a5c58db428971e6c1062e83f83c15defa8e93fb953de533ca19c9931,3f8ba1ba684e8716db420439c0482e269791fcedcaf91d0fb285a0fed7cd468e,040d23f7228ec3338ab957ed870e3d99daaacf8532e7b7fe5c4f90c4032d7bf0,evsp-dr-trip-identity-v1
k03_s2,3,2,13322,26,True,False,True,1.0,5,no fixed-duty transition 33->36,15.0,10,True,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,f43ef331a5c58db428971e6c1062e83f83c15defa8e93fb953de533ca19c9931,3f8ba1ba684e8716db420439c0482e269791fcedcaf91d0fb285a0fed7cd468e,040d23f7228ec3338ab957ed870e3d99daaacf8532e7b7fe5c4f90c4032d7bf0,evsp-dr-trip-identity-v1
k03_s2,3,2,13413,15,True,False,True,1.0,5,no fixed-duty transition 39->46,15.0,10,True,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,f43ef331a5c58db428971e6c1062e83f83c15defa8e93fb953de533ca19c9931,3f8ba1ba684e8716db420439c0482e269791fcedcaf91d0fb285a0fed7cd468e,040d23f7228ec3338ab957ed870e3d99daaacf8532e7b7fe5c4f90c4032d7bf0,evsp-dr-trip-identity-v1
