time_block,station,cost
0.0,PARX,0.064
0.0,JON_A,0.07200000000000001
0.0,2190L,0.076
0.0,4808,0.08
0.0,3127L,0.084
0.0,7880C,0.08800000000000001
1.0,PARX,0.05600000000000001
1.0,JON_A,0.06300000000000001
1.0,2190L,0.0665
1.0,4808,0.07
1.0,3127L,0.07350000000000001
1.0,7880C,0.07700000000000001
2.0,PARX,0.048
2.0,JON_A,0.054
2.0,2190L,0.056999999999999995
2.0,4808,0.06
2.0,3127L,0.063
2.0,7880C,0.066
3.0,PARX,0.048
3.0,JON_A,0.054
3.0,2190L,0.056999999999999995
3.0,4808,0.06
3.0,3127L,0.063
3.0,7880C,0.066
4.0,PARX,0.048
4.0,JON_A,0.054
4.0,2190L,0.056999999999999995
4.0,4808,0.06
4.0,3127L,0.063
4.0,7880C,0.066
5.0,PARX,0.05600000000000001
5.0,JON_A,0.06300000000000001
5.0,2190L,0.0665
5.0,4808,0.07
5.0,3127L,0.07350000000000001
5.0,7880C,0.07700000000000001
6.0,PARX,0.072
6.0,JON_A,0.081
6.0,2190L,0.08549999999999999
6.0,4808,0.09
6.0,3127L,0.0945
6.0,7880C,0.099
7.0,PARX,0.08000000000000002
7.0,JON_A,0.09000000000000001
7.0,2190L,0.095
7.0,4808,0.1
7.0,3127L,0.10500000000000001
7.0,7880C,0.11000000000000001
8.0,PARX,0.064
8.0,JON_A,0.07200000000000001
8.0,2190L,0.076
8.0,4808,0.08
8.0,3127L,0.084
8.0,7880C,0.08800000000000001
9.0,PARX,0.04000000000000001
9.0,JON_A,0.045000000000000005
9.0,2190L,0.0475
9.0,4808,0.05
9.0,3127L,0.052500000000000005
9.0,7880C,0.05500000000000001
10.0,PARX,0.032
10.0,JON_A,0.036000000000000004
10.0,2190L,0.038
10.0,4808,0.04
10.0,3127L,0.042
10.0,7880C,0.044000000000000004
11.0,PARX,0.024
11.0,JON_A,0.027
11.0,2190L,0.028499999999999998
11.0,4808,0.03
11.0,3127L,0.0315
11.0,7880C,0.033
12.0,PARX,0.024
12.0,JON_A,0.027
12.0,2190L,0.028499999999999998
12.0,4808,0.03
12.0,3127L,0.0315
12.0,7880C,0.033
13.0,PARX,0.024
13.0,JON_A,0.027
13.0,2190L,0.028499999999999998
13.0,4808,0.03
13.0,3127L,0.0315
13.0,7880C,0.033
14.0,PARX,0.032
14.0,JON_A,0.036000000000000004
14.0,2190L,0.038
14.0,4808,0.04
14.0,3127L,0.042
14.0,7880C,0.044000000000000004
15.0,PARX,0.048
15.0,JON_A,0.054
15.0,2190L,0.056999999999999995
15.0,4808,0.06
15.0,3127L,0.063
15.0,7880C,0.066
16.0,PARX,0.096
16.0,JON_A,0.108
16.0,2190L,0.11399999999999999
16.0,4808,0.12
16.0,3127L,0.126
16.0,7880C,0.132
17.0,PARX,0.17600000000000002
17.0,JON_A,0.198
17.0,2190L,0.209
17.0,4808,0.22
17.0,3127L,0.231
17.0,7880C,0.24200000000000002
18.0,PARX,0.24
18.0,JON_A,0.27
18.0,2190L,0.285
18.0,4808,0.3
18.0,3127L,0.315
18.0,7880C,0.33
19.0,PARX,0.22400000000000003
19.0,JON_A,0.25200000000000006
19.0,2190L,0.266
19.0,4808,0.28
19.0,3127L,0.29400000000000004
19.0,7880C,0.30800000000000005
20.0,PARX,0.16000000000000003
20.0,JON_A,0.18000000000000002
20.0,2190L,0.19
20.0,4808,0.2
20.0,3127L,0.21000000000000002
20.0,7880C,0.22000000000000003
21.0,PARX,0.11200000000000002
21.0,JON_A,0.12600000000000003
21.0,2190L,0.133
21.0,4808,0.14
21.0,3127L,0.14700000000000002
21.0,7880C,0.15400000000000003
22.0,PARX,0.08000000000000002
22.0,JON_A,0.09000000000000001
22.0,2190L,0.095
22.0,4808,0.1
22.0,3127L,0.10500000000000001
22.0,7880C,0.11000000000000001
23.0,PARX,0.072
23.0,JON_A,0.081
23.0,2190L,0.08549999999999999
23.0,4808,0.09
23.0,3127L,0.0945
23.0,7880C,0.099
24.0,PARX,0.064
24.0,JON_A,0.07200000000000001
24.0,2190L,0.076
24.0,4808,0.08
24.0,3127L,0.084
24.0,7880C,0.08800000000000001
