time_block,station,cost
0.0,PARX,0.0300000035562117
0.0,JON_A,0.0300000035562117
0.0,2190L,0.0300000035562117
0.0,4808,0.0300000035562117
0.0,3127L,0.0300000035562117
0.0,7880C,0.0300000035562117
1.0,PARX,0.0300000248570222
1.0,JON_A,0.0300000248570222
1.0,2190L,0.0300000248570222
1.0,4808,0.0300000248570222
1.0,3127L,0.0300000248570222
1.0,7880C,0.0300000248570222
2.0,PARX,0.0300001554732408
2.0,JON_A,0.0300001554732408
2.0,2190L,0.0300001554732408
2.0,4808,0.0300001554732408
2.0,3127L,0.0300001554732408
2.0,7880C,0.0300001554732408
3.0,PARX,0.030000870176317
3.0,JON_A,0.030000870176317
3.0,2190L,0.030000870176317
3.0,4808,0.030000870176317
3.0,3127L,0.030000870176317
3.0,7880C,0.030000870176317
4.0,PARX,0.0300043581675685
4.0,JON_A,0.0300043581675685
4.0,2190L,0.0300043581675685
4.0,4808,0.0300043581675685
4.0,3127L,0.0300043581675685
4.0,7880C,0.0300043581675685
5.0,PARX,0.0300195319519585
5.0,JON_A,0.0300195319519585
5.0,2190L,0.0300195319519585
5.0,4808,0.0300195319519585
5.0,3127L,0.0300195319519585
5.0,7880C,0.0300195319519585
6.0,PARX,0.0300783307757901
6.0,JON_A,0.0300783307757901
6.0,2190L,0.0300783307757901
6.0,4808,0.0300783307757901
6.0,3127L,0.0300783307757901
6.0,7880C,0.0300783307757901
7.0,PARX,0.0302811022137613
7.0,JON_A,0.0302811022137613
7.0,2190L,0.0302811022137613
7.0,4808,0.0302811022137613
7.0,3127L,0.0302811022137613
7.0,7880C,0.0302811022137613
8.0,PARX,0.0309026952586671
8.0,JON_A,0.0309026952586671
8.0,2190L,0.0309026952586671
8.0,4808,0.0309026952586671
8.0,3127L,0.0309026952586671
8.0,7880C,0.0309026952586671
9.0,PARX,0.0325939590425654
9.0,JON_A,0.0325939590425654
9.0,2190L,0.0325939590425654
9.0,4808,0.0325939590425654
9.0,3127L,0.0325939590425654
9.0,7880C,0.0325939590425654
10.0,PARX,0.0366700659065305
10.0,JON_A,0.0366700659065305
10.0,2190L,0.0366700659065305
10.0,4808,0.0366700659065305
10.0,3127L,0.0366700659065305
10.0,7880C,0.0366700659065305
11.0,PARX,0.045347660841593
11.0,JON_A,0.045347660841593
11.0,2190L,0.045347660841593
11.0,4808,0.045347660841593
11.0,3127L,0.045347660841593
11.0,7880C,0.045347660841593
12.0,PARX,0.0616008903703662
12.0,JON_A,0.0616008903703662
12.0,2190L,0.0616008903703662
12.0,4808,0.0616008903703662
12.0,3127L,0.0616008903703662
12.0,7880C,0.0616008903703662
13.0,PARX,0.0882239281932376
13.0,JON_A,0.0882239281932376
13.0,2190L,0.0882239281932376
13.0,4808,0.0882239281932376
13.0,3127L,0.0882239281932376
13.0,7880C,0.0882239281932376
14.0,PARX,0.1259950288759078
14.0,JON_A,0.1259950288759078
14.0,2190L,0.1259950288759078
14.0,4808,0.1259950288759078
14.0,3127L,0.1259950288759078
14.0,7880C,0.1259950288759078
15.0,PARX,0.1716253649858218
15.0,JON_A,0.1716253649858218
15.0,2190L,0.1716253649858218
15.0,4808,0.1716253649858218
15.0,3127L,0.1716253649858218
15.0,7880C,0.1716253649858218
16.0,PARX,0.2169727855136321
16.0,JON_A,0.2169727855136321
16.0,2190L,0.2169727855136321
16.0,4808,0.2169727855136321
16.0,3127L,0.2169727855136321
16.0,7880C,0.2169727855136321
17.0,PARX,0.2508822470890243
17.0,JON_A,0.2508822470890243
17.0,2190L,0.2508822470890243
17.0,4808,0.2508822470890243
17.0,3127L,0.2508822470890243
17.0,7880C,0.2508822470890243
18.0,PARX,0.2635007517227936
18.0,JON_A,0.2635007517227936
18.0,2190L,0.2635007517227936
18.0,4808,0.2635007517227936
18.0,3127L,0.2635007517227936
18.0,7880C,0.2635007517227936
19.0,PARX,0.2508822470890243
19.0,JON_A,0.2508822470890243
19.0,2190L,0.2508822470890243
19.0,4808,0.2508822470890243
19.0,3127L,0.2508822470890243
19.0,7880C,0.2508822470890243
20.0,PARX,0.2169727855136321
20.0,JON_A,0.2169727855136321
20.0,2190L,0.2169727855136321
20.0,4808,0.2169727855136321
20.0,3127L,0.2169727855136321
20.0,7880C,0.2169727855136321
21.0,PARX,0.1716253649858218
21.0,JON_A,0.1716253649858218
21.0,2190L,0.1716253649858218
21.0,4808,0.1716253649858218
21.0,3127L,0.1716253649858218
21.0,7880C,0.1716253649858218
22.0,PARX,0.1259950288759078
22.0,JON_A,0.1259950288759078
22.0,2190L,0.1259950288759078
22.0,4808,0.1259950288759078
22.0,3127L,0.1259950288759078
22.0,7880C,0.1259950288759078
23.0,PARX,0.0882239281932376
23.0,JON_A,0.0882239281932376
23.0,2190L,0.0882239281932376
23.0,4808,0.0882239281932376
23.0,3127L,0.0882239281932376
23.0,7880C,0.0882239281932376
24.0,PARX,0.0616008903703662
24.0,JON_A,0.0616008903703662
24.0,2190L,0.0616008903703662
24.0,4808,0.0616008903703662
24.0,3127L,0.0616008903703662
24.0,7880C,0.0616008903703662
