Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,4:30,5:21,2190,21.25,42.5,0,1
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,1,685
Regular,2190,5:26,6:19,4808,20.865,41.7299995,2,7
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,3,771
Regular,2190,5:44,6:37,4808,20.865,41.7299995,4,9
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,5,772
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,6,365
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,7,575
Regular,4808,6:26,7:20,2190,21.25,42.5,8,17
Regular,PC_3,6:27,6:43,13329,4.783,9.5710001,9,690
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,10,368
Regular,4808,6:42,7:40,2190,21.25,42.5,11,21
Regular,13329,6:45,6:57,PC_3,4.645,9.28999996,12,691
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,13,495
Regular,PC_3,6:57,7:13,13329,4.783,9.5710001,14,692
Regular,13329,7:15,7:27,PC_3,4.645,9.28999996,15,693
Regular,PC_6,7:27,7:54,ÖS_J,8.581,17.1669998,16,497
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,17,498
Regular,13311,7:41,7:47,PC_7,1.938,3.87599993,18,785
Regular,2190,7:49,8:49,4808,20.865,41.7299995,19,34
Regular,PC_7,7:50,8:14,GMV_G,9.319,18.6380005,20,588
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,21,248
Regular,ÖS_H,8:04,8:27,PC_6,8.205,16.4099998,22,500
Regular,2190,8:09,9:09,4808,20.865,41.7299995,23,38
Regular,GMV_H,8:20,8:47,PC_7,9.153,18.3059998,24,591
Regular,PC_3,8:27,8:43,13329,4.783,9.5710001,25,698
Regular,13329,8:45,8:57,PC_3,4.645,9.28999996,26,699
Regular,PC_7,8:50,9:14,GMV_G,9.319,18.6380005,27,595
Regular,4808,8:56,9:52,2190,21.25,42.5,28,47
Regular,PC_6,8:57,9:23,ÖS_J,8.581,17.1669998,29,503
Regular,4808,9:16,10:11,2190,21.25,42.5,30,51
Regular,GMV_H,9:22,9:47,PC_7,9.153,18.3059998,31,599
Regular,ÖS_H,9:35,9:57,PC_6,8.205,16.4099998,32,507
Regular,PC_7,9:50,10:14,GMV_G,9.319,18.6380005,33,602
Regular,PC_3,9:57,10:13,13329,4.783,9.5710001,34,704
Regular,2190,10:00,10:57,4808,20.865,41.7299995,35,60
Regular,13329,10:15,10:27,PC_3,4.645,9.28999996,36,705
Regular,2190,10:20,11:17,4808,20.865,41.7299995,37,64
Regular,GMV_H,10:22,10:47,PC_7,9.153,18.3059998,38,605
Regular,PC_6,10:27,10:53,ÖS_J,8.581,17.1669998,39,511
Regular,PC_10,10:47,11:23,HED_E,11.168,22.3409996,40,263
Regular,4808,11:04,11:59,2190,21.25,42.5,41,73
Regular,ÖS_H,11:05,11:27,PC_6,8.205,16.4099998,42,515
Regular,4808,11:24,12:19,2190,21.25,42.5,43,77
Regular,PC_3,11:27,11:43,13329,4.783,9.5710001,44,712
Regular,13329,11:45,11:57,PC_3,4.645,9.28999996,45,713
Regular,HED_D,11:48,12:17,PC_10,10.664,21.3279991,46,268
Regular,PC_6,11:57,12:23,ÖS_J,8.581,17.1669998,47,519
Regular,PC_9,12:17,12:32,JON_B,6.191,12.3870001,48,919
Regular,2190,12:29,13:27,4808,20.865,41.7299995,49,90
Regular,JON_A,12:34,12:47,PC_9,6.171,12.342,50,920
Regular,ÖS_H,12:35,12:57,PC_6,8.205,16.4099998,51,522
Regular,2190,12:39,13:37,4808,20.865,41.7299995,52,92
Regular,PC_9,12:47,13:02,JON_B,6.191,12.3870001,53,921
Regular,PC_3,12:57,13:13,13329,4.783,9.5710001,54,718
Regular,JON_A,13:05,13:17,PC_7,5.133,10.2659998,55,818
Regular,13329,13:15,13:27,PC_3,4.645,9.28999996,56,719
Regular,PC_7,13:17,13:34,JON_B,5.137,10.2790003,57,819
Regular,PC_9,13:27,13:42,JON_B,6.191,12.3870001,58,925
Regular,4808,13:34,14:30,2190,21.25,42.5,59,103
Regular,4808,13:44,14:40,2190,21.25,42.5,60,105
Regular,JON_A,13:45,13:57,PC_7,5.133,10.2659998,61,822
Regular,JON_A,13:54,14:07,PC_9,6.171,12.342,62,928
Regular,PC_5,13:57,14:28,HED_E,10.088,20.1809998,63,421
Regular,PC_9,14:07,14:22,JON_B,6.191,12.3870001,64,929
Regular,HED_D,14:30,14:57,PC_5,9.931,19.8619995,65,424
Regular,JON_A,14:33,14:47,PC_9,6.171,12.342,66,934
Regular,2190,14:48,15:50,4808,20.865,41.7299995,67,118
Regular,PC_7,14:50,15:15,GMV_G,9.319,18.6380005,68,636
Regular,PC_6,14:57,15:24,ÖS_J,8.581,17.1669998,69,531
Regular,13215,15:07,15:24,3127,10.033,20.066,70,292
Regular,2190,15:19,16:22,4808,20.865,41.7299995,71,124
Regular,GMV_H,15:20,15:47,PC_7,9.153,18.3059998,72,639
Regular,HED_D,15:25,15:57,PC_10,10.664,21.3279991,73,296
Regular,PC_7,15:50,16:16,GMV_G,9.319,18.6380005,74,642
Regular,6480,15:55,16:15,13421,11.116,22.2320004,75,209
Regular,4808,15:57,16:56,2190,21.25,42.5,76,131
Regular,PC_3,15:57,16:13,13329,4.783,9.5710001,77,730
Regular,13329,16:15,16:27,PC_3,4.645,9.28999996,78,731
Regular,GMV_H,16:20,16:47,PC_7,9.153,18.3059998,79,645
Regular,4808,16:28,17:27,2190,21.25,42.5,80,137
Regular,HED_D,16:35,17:07,PC_10,10.664,21.3279991,81,312
Regular,13215,16:37,16:54,3127,10.033,20.066,82,313
Regular,PC_7,16:50,17:16,GMV_G,9.319,18.6380005,83,648
Regular,HED_D,16:55,17:27,PC_10,10.664,21.3279991,84,317
Regular,2190,17:11,18:10,4808,20.865,41.7299995,85,146
Regular,GMV_H,17:20,17:47,PC_7,9.153,18.3059998,86,651
Regular,6480,17:25,17:44,13421,11.116,22.2320004,87,213
Regular,6480,17:40,18:01,13330,11.944,23.8880005,88,223
Regular,2190,17:41,18:38,4808,20.865,41.7299995,89,152
Regular,4808,18:17,19:10,2190,21.25,42.5,90,159
Regular,4808,18:42,19:35,2190,21.25,42.5,91,163
Regular,2190,19:19,20:15,4808,20.865,41.7299995,92,168
Regular,2190,19:49,20:45,4808,20.865,41.7299995,93,172
Regular,4808,20:27,21:19,2190,21.25,42.5,94,177
Regular,4808,20:57,21:49,2190,21.25,42.5,95,181
Regular,2190,21:30,22:25,4808,20.865,41.7299995,96,184
Regular,2190,22:30,23:24,4808,20.865,41.7299995,97,190
Regular,4808,22:36,23:27,2190,21.25,42.5,98,191
Regular,4808,23:36,24:26,2190,21.25,42.5,99,197
Regular,2190,24:32,25:23,4808,20.865,41.7299995,100,200
