duty_id,base_duty_id,included_variant,excluded_variant_id,trip_count,local_trip_ids_json,source_ordered_trip_ids_json,route_incidence_sha256,recorded_charge_count,recorded_charge_kwh
13301,13301,True,,36,"[3,7,25,42,75,98,124,290,314,336,360,389,418,429,443,456,476,489,530,559,594,621,673,702,722,735,752,765,777,782,820,837,858,871,892,905]","[769,360,363,491,494,779,205,606,609,613,617,815,924,720,721,823,826,425,432,303,443,315,327,958,961,661,663,966,967,339,344,672,675,676,679,680]",5d820d524f283a01784a1fad6e587030cba7a9bd168d0eb2f6f056708373de52,7,453.2620283
13302,13302,True,,50,"[5,12,37,60,84,95,137,172,210,235,246,256,304,327,339,348,387,413,435,449,475,497,542,572,598,612,641,655,682,692,721,740,750,757,768,776,786,793,805,810,833,843,865,878,901,909,928,936,941,944]","[570,224,364,775,778,372,243,251,255,907,908,259,264,915,916,267,271,923,926,630,633,288,433,835,838,839,842,843,846,457,460,853,854,855,856,857,858,750,751,555,558,474,477,563,566,482,485,877,878,488]",6c6ae946ccdbb579e0fc9d5cb5f24b4e1986b0911096fd8fa70565e0f7f26c5a,13,633.3262977
13303,13303,True,,54,"[2,16,38,59,91,117,158,174,199,219,230,242,254,264,294,311,323,333,363,380,393,404,436,454,486,508,525,540,565,579,597,632,672,693,723,739,751,756,769,774,798,811,823,826,849,861,873,879,891,896,906,912,920,923]","[569,572,883,367,371,375,247,899,902,700,701,702,703,508,512,710,711,516,520,716,717,523,526,527,530,726,727,940,943,307,310,539,542,543,546,744,745,746,747,551,554,752,753,557,560,758,759,760,761,871,872,873,874,766]",aa1cf30460ecb6de3313d362201864c2611dcad834d330b66501436ca534ec06,10,548.6235313
13304,13304,True,,37,"[8,13,31,51,64,77,115,160,205,546,581,607,622,640,676,699,711,729,737,760,775,787,794,804,812,822,825,848,860,883,894,917,924,931,935,942,946]","[880,571,573,884,776,369,237,206,218,300,944,948,316,318,845,848,849,852,462,465,748,749,859,860,861,862,472,475,561,564,565,568,875,876,767,768,986]",4b6237841487b596a653e7cd984ba5c1cdc72d007992626ec3fac13cce88a3d0,9,502.03969359999996
13305,13305,True,,30,"[10,20,54,78,103,118,148,165,182,193,224,244,268,295,321,341,367,420,445,488,519,544,561,587,601,619,633,652,666,681]","[361,362,366,777,780,781,786,696,697,501,504,600,603,399,402,405,409,276,279,285,938,941,942,945,732,733,734,735,736,737]",2b149c6ec27d4213529589baef6d8573b7ca5ecc3ba3f01f103abeb15b9021e6,8,349.4699741
13306,13306,True,,30,"[14,22,36,43,56,67,102,129,147,164,200,217,245,266,286,296,316,324,370,395,437,462,503,543,575,606,638,669,697,719]","[770,686,687,688,689,493,496,694,695,499,502,389,392,799,802,803,914,265,269,272,278,282,289,640,643,646,649,652,655,960]",74393f45041bc88937fe872fe59fd581f730ad3de94223ed34f88470425a43a9,7,306.0350723
13307,13307,True,,15,"[15,23,34,41,72,96,136,161,517,533,571,589,610,630,677]","[685,771,772,365,368,495,498,248,292,296,730,731,313,317,223]",22ba109000698cf3c7db02c1b37f3d139ebc8bdd4a81a39e803c15b6fc81b474,3,154.54798639999998
13308,13308,True,,31,"[19,30,48,63,110,139,179,192,382,408,433,458,478,514,550,578,590,637,667,689,703,732,745,784,803,824,835,847,852,864,868]","[225,882,774,203,374,378,252,385,621,625,628,631,284,291,833,836,442,449,954,957,656,660,335,340,668,671,974,975,976,977,349]",729086eac5a2d84d2a4a940a6f746f927792f4882f95e529f108a643cf974c24,6,414.05549890000003
13309,13309,True,,22,"[28,50,94,133,168,195,208,220,239,249,275,401,414,441,467,493,522,554,626,654,688,710]","[226,229,234,586,589,901,792,793,796,393,396,922,626,629,632,635,638,641,447,451,456,459]",fafb14155da90f1219f7dfffbbb0b6895b9a3f5022afea2e8e54f2be27496b52,4,321.1537248
13310,13310,True,,24,"[24,29,58,87,113,127,178,202,229,250,270,278,328,349,364,371,402,428,459,484,512,539,556,585]","[881,227,230,889,892,376,383,387,390,797,910,261,266,917,812,270,273,525,528,634,637,728,729,220]",1a600a58ae60539073d84aa5d8370148d6d0b933d34b4fe9bebe8c2d06657d23,5,248.408928
