time_block,cost
0,0.064638588811498338
1,0.06473848197249657
2,0.065044703079036009
3,0.065877885933316352
4,0.067885935998364247
5,0.072160859511252964
6,0.080167837665094388
7,0.093283389984050322
8,0.11189091518249078
9,0.13437020791245075
10,0.15671012533356671
11,0.17341525569316874
12,0.17963162584642797
13,0.17341525569316874
14,0.15671012533356671
15,0.13437020791245075
16,0.11189091518249078
17,0.093283389984050322
18,0.080167837665094388
19,0.072160859511252964
20,0.067885935998364247
21,0.065877885933316352
22,0.065044703079036009
23,0.06473848197249657
24,0.064638588811498338
