tariff_id,relative_path,sha256,format,spatial,currency,peak_hour,alpha,alpha_family,peak_window_start_hour,peak_window_end_hour,solar_station,solar_start_hour,solar_end_hour,source_flat_sha256,source_peak_sha256,availability
flat,data/hourly_prices_flat.csv,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,temporal_hourly,False,model_currency_per_kwh,,,,,,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,,available
peak08,data/hourly_prices_single_peak_08.csv,e5a63861eab532f4b72a490874209f66624da9615f1577bb240fbc06c02c7ee4,temporal_hourly,False,model_currency_per_kwh,8,,,8,9,,,,,,available
peak12,data/hourly_prices_single_peak_12.csv,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,temporal_hourly,False,model_currency_per_kwh,12,,,12,13,,,,,,available
peak12_alpha_0p0,data/tariff_response/peak12_alpha_0p0.csv,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,temporal_hourly,False,model_currency_per_kwh,12,0.0,peak12,12,13,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,available
peak12_alpha_0p25,data/tariff_response/peak12_alpha_0p25.csv,61781a5080fed0232f80a9e394587b089149b3368ead894e83f4ed2478f1cd05,temporal_hourly,False,model_currency_per_kwh,12,0.25,peak12,12,13,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,available
peak12_alpha_0p5,data/tariff_response/peak12_alpha_0p5.csv,be905234bdae4eb5d76803552960ef6702803d03e6d32291a9be360a502ba30d,temporal_hourly,False,model_currency_per_kwh,12,0.5,peak12,12,13,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,available
peak12_alpha_1p0,data/tariff_response/peak12_alpha_1p0.csv,0e3662b9b0cc095fa6cbc930e7f4f5786d17fd0f44164e008dc5dc9187e76b8e,temporal_hourly,False,model_currency_per_kwh,12,1.0,peak12,12,13,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,available
peak12_alpha_2p0,data/tariff_response/peak12_alpha_2p0.csv,6a9653b0db0ddbe9ee6fc7bc9151fcc9f4a34f182b10ca969794221c3dac4131,temporal_hourly,False,model_currency_per_kwh,12,2.0,peak12,12,13,,,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,available
peak18,data/hourly_prices_single_peak_18.csv,186662f6a7a2ff52ad3c7619b647ed83e26a1c44ee088e088dd478474e0056e1,temporal_hourly,False,model_currency_per_kwh,18,,,18,19,,,,,,available
sek,data/hourly_prices_transdev_sek.csv,691f3998810bda5c333cba146f18094edd2a7bd7572d810dcf93eabe9b04be8a,temporal_hourly,False,SEK_per_kwh,,,,,,,,,,,available
solar_parx_midday_free,data/tariff_response/spatial_solar_parx_midday_free.csv,d30f12b2d4dff69cea16e8fb333dffdbbc56855abfedf14d84b108ad9b379165,station_hourly,True,model_currency_per_kwh,,,,11,15,PARX,11,15,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,,available
