id,chain,k,added_duty,added_trip_count,trip_count,input_sha256,previous_case,stage_enabled
w1_k16,1,16,13410,15,379,17e97c85813306233f6d78263f6ca46899f57614b5fed730ce0560ea7281ad07,w1_k15,True
w1_k17,1,17,13309,22,401,0ea2a262f9907b6e7f5df8c6f4d6b87255f913cae1627dff82cb867d02674290,w1_k16,True
w1_k18,1,18,13302,50,451,99440b3274a597fb09ecc5b7ba1ab28947c4d972616d1fd3a4cfab15df3a9910,w1_k17,True
w1_k19,1,19,13325,42,493,1038593bb6493a922c3602f21aae658a739ee6fab215f7fd7e1ef322a0edbf1b,w1_k18,True
w1_k20,1,20,13320,16,509,81dccf8079752af8b04f5044655e4c8c039e43c513493d7a539cdeaec61e32dc,w1_k19,True
w1_k21,1,21,13323,8,517,1a0a37471f17db5809c083bdc82a2ad13d871c96320b638afc2bb31d899952e2,w1_k20,True
w1_k22,1,22,13401,12,529,e9b9fb5fa11877ee5fbf2db1ad2b01bb4793d13d34da5de2ac270b071e9d9885,w1_k21,True
w1_k23,1,23,13305,30,559,c0b7030e5ab79e62f2927e8135de81a1c1d4f4a9014a6fad7dd63476a4723d92,w1_k22,True
w1_k24,1,24,13414,12,571,50bf6011b00cfd4510175c9d2429292fc203159f513a9f08bd031569f527af25,w1_k23,True
w1_k25,1,25,13304,37,608,0b7bc72831fc650cdea935116d7904a6960849b301d19cfa9a850e6be9c50fb7,w1_k24,True
w1_k26,1,26,13307,15,623,ea3b55b160606ebb9c88d0a54cb5193ecdf5df85541c81df12c6b73d452da5e6,w1_k25,False
w1_k27,1,27,13411,14,637,ad06cdf81807937e064ac7f99448bfa874432cf7a2a7250e6f6b1b09768ee28e,w1_k26,False
w1_k28,1,28,13306,30,667,befe75d690efd98b2e7b25b5d7426f69e3a8a5720d5307d9fdad0fe03c130dbf,w1_k27,False
w1_k29,1,29,13316m,23,690,8e43b7ab4d2be69f2539fcb399b1d11987e9dbce7ab9eedaaa4ee1fc7dbffe76,w1_k28,False
w1_k30,1,30,13314,16,706,6f53fb67f3aeb4b63ffc7057e229d19b9e8ee97dbaa7e6944ae6312d5f8638dc,w1_k29,False
w1_k31,1,31,13308,31,737,6fd556389aae54d7c97e7b585c9d117da0a6f7eae47cf07ba5837c2c591a3bce,w1_k30,False
w1_k32,1,32,13315,31,768,04d756e9a60fb38f6e4d8f892d78565fff001a824cf5297437a8db2b2a8c1c3a,w1_k31,False
w1_k33,1,33,13407,17,785,a2f00fec091992c2cea04a21c32fde651c5b93a3cd9f20e70e48d5543d17be5b,w1_k32,False
w1_k34,1,34,13301,36,821,fc54aeb5d7fa588b30fdbda4043cda23e6a416b2da272a54e581b84a0a81d98e,w1_k33,False
w1_k35,1,35,13405,13,834,45055bb311570592c7bc840727a1dfbd5ae733a6ff0963fd55e17b87eb7db141,w1_k34,False
w1_k36,1,36,13317,37,871,b48b772ed231cf2ac7752390f7e4ccda2225203a355fc7aa7ab7bef9ca3678ae,w1_k35,False
w1_k37,1,37,13322,26,897,1a98205f63c65063ee848a7c140db1f48b03e8fc436a9d228d617b708b9ad403,w1_k36,False
w1_k38,1,38,13406,14,911,ed256fd49e55876599ec8a85ff9104cc520cb2ba278a6a7345c4865d32a20f09,w1_k37,False
w1_k39,1,39,13412,15,926,0866ddca9e35bafb71d834221aed6cd6848367e8be89bd3951446c71b51f8b56,w1_k38,False
w1_k40,1,40,13321,22,948,904070ec8919dd11bf431eab62e1396ad4882d95f7d5917bcf83f34d1e20e607,w1_k39,False
w2_k16,2,16,13407,17,402,76b6f793a04d530b76993e734aef87810d6f0aeef06a86e5fd67426739420fd3,w2_k15,True
w2_k17,2,17,13308,31,433,448c8830ca32a5f1f2b65c085a00b408ff86bb21b5e9a4170456ffb67d537b96,w2_k16,True
w2_k18,2,18,13309,22,455,1a6ba3ef7f15d7adaab285d8c901f1eacf6e09375df79ce0d1db2d9ddeecdac5,w2_k17,True
w2_k19,2,19,13323,8,463,0331ea1769e6d3a460299e6c551b86171a3572351dfa2502edcba8975ca579d2,w2_k18,True
w2_k20,2,20,13412,15,478,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,w2_k19,True
w2_k21,2,21,13413,15,493,f2ac0f50f42b32fbebbbc860a81e068f0ab1ecaab1c97f22e4dc493b066b9484,w2_k20,True
w2_k22,2,22,13402,17,510,6dd3487797a2bace681ecb9aea2fdd99a2880db11b03789ecef53d3186fbd294,w2_k21,True
w2_k23,2,23,13304,37,547,a2638915290d569f171eb93a99f4710ebaed5307ed6e507e56cb375f54213433,w2_k22,True
w2_k24,2,24,13401,12,559,6b5ff365076212078d0e3af2551c30bdf06bd50c77540ac3fb7a0a6264bf6ca5,w2_k23,True
w2_k25,2,25,13403,14,573,6c2b55b601a64a7453c6517bac6b0d7eaf16fd1a79c0d88b4c68194844e40aa3,w2_k24,True
w2_k26,2,26,13326,21,594,00f7fb119057feb069e97f988529858dfff859ac6118350e29337c888c29ca12,w2_k25,False
w2_k27,2,27,13318,33,627,c3e53be263de3915de7c864ad4961807256e4a0a3e5ac926f34ca91189408004,w2_k26,False
w2_k28,2,28,13314,16,643,996e242f858fa4f89de7bd3c73fd4e0ef4af063b42994067789c48767ca2a40f,w2_k27,False
w2_k29,2,29,13315,31,674,c0335faee802a06736c5f1067e512293ba922a5f7ad4eba1ae83ab82df467530,w2_k28,False
w2_k30,2,30,13305,30,704,010a3ee44af65c8bcae53bfd820ba154ef1a8057e8bde6d2eb54a50b8659f21b,w2_k29,False
w2_k31,2,31,13316uwt,21,725,4045b8fc6ab360088968f8b8efb6c118933e7d5ca7ceb7f4dbca7a76d879ebf3,w2_k30,False
w2_k32,2,32,13322,26,751,a4ce1d32036438604c93118d280a358686f261b398b6e57009bcb99758e7a2d3,w2_k31,False
w2_k33,2,33,13301,36,787,d5ce85534a8324393260238bd0b9141321e98f24dbc93872930397a2cf02617c,w2_k32,False
w2_k34,2,34,13317,37,824,f8c79fdcb3c03cf496a862e20252e64daa6b803645e083fbd47a40dbc469cd9b,w2_k33,False
w2_k35,2,35,13409,17,841,4800533137798064331d2ec49269198e72411a9939faf1b7184acc255cab6ad6,w2_k34,False
w2_k36,2,36,13313,37,878,d20e84bda698c3fb0a0efc79c6abd03d41e5b9f3307cf3be39a07f9c93d78b01,w2_k35,False
w2_k37,2,37,13306,30,908,99c61d29893dee4e466aabb374701d634df1576400d35dea333dccc654e1fac1,w2_k36,False
w2_k38,2,38,13410,15,923,fef4fa8b977365571b9b262b2f6d4114a4f30646acf59e3738d567afcc0d1dd1,w2_k37,False
w2_k39,2,39,13405,13,936,84f6807ab32d3201ac517b3fd7f98004320ede5923836d795400f542e55b918e,w2_k38,False
w2_k40,2,40,13408,11,947,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,w2_k39,False
w3_k16,3,16,13302,50,352,358fd3cd266b037fb01e1382c682912ca6074cc39862a188f2c38ac040a4d5fe,w3_k15,True
w3_k17,3,17,13407,17,369,e5bedace48c6c16425fe6a98f1282a8ee2b665eeea4c82c743bafe367c842c6c,w3_k16,True
w3_k18,3,18,13308,31,400,c6a037db955e54f59891f46b9fef5a7479bbf7530bbb7532c667e1c9703842b4,w3_k17,True
w3_k19,3,19,13305,30,430,dfe99e49ab3efb3bddfefc57e97269a98cf227c93815d1017a91a7a7f77287b1,w3_k18,True
w3_k20,3,20,13404,17,447,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,w3_k19,True
w3_k21,3,21,13312,46,493,dab242bca0678fca8b30bdbe9389ea6cda6916939a3a496d6d0432dd0f10cff1,w3_k20,True
