cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,nested_chain_id,nested_parent_cell_id,addition_rank_duty,relative_path,instance_file_sha256,published_upper_instance_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min,direct_compatibility_density
k02_p1,2,1,probability,1,fixed_seed_probability_1,nested_probability_1,,13310,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p01_20260908.csv,07ddc2cfb7483da4268b00d4ca7aba874ce9bac2b126d38539a9a5ad375d686d,,"[""13310"",""13313""]",e2341916b80f59461c9f9980bf7ed134fbdf2211919b8354490f02ef4acd88fa,2,True,9f05e3c7dde22172a6b7db9b6671d2f20d078fcd3b4bd655fcb9facb45b8771c,61,2,1065.72898402,532.86449201,37,0.213114754,2.0,1123,0.107103825137
k02_p2,2,2,probability,2,fixed_seed_probability_2,nested_probability_2,,13307,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p02_20260908.csv,92275e440ff1f9a396852df116b645fec9a16980050d1ba10dad1fd0475a2858,,"[""13307"",""13311""]",3680335cd6fc82b4f973043797dc91e28938061a7625d2b42bc4bd3bb40ceeb2,2,True,fb15b0cab2e644545fdd5a9504e96a70c265698205efdf323d68a4580d7425e0,29,2,517.28099342,258.64049671,15,0.034482759,2.0,804,0.221674876847
k02_p3,2,3,probability,3,fixed_seed_probability_3,nested_probability_3,,13309,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p03_20260908.csv,70403948038a1055ae58beb637c275e76b8434aaa48bd444755911dff8f0ba3f,,"[""13309"",""13316uwt""]",96f320a066f391c69046ad1af520df00a1b8a41031610e27b75675674671de58,2,True,5bc7069ca50404deaf2a484c0838fc6807ebed8ed7e1932cec3d2e96d8efae04,43,2,748.17999506,374.08999753,22,0.023255814,3.0,796,0.12292358804
k02_p4,2,4,probability,4,fixed_seed_probability_4,nested_probability_4,,13410,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p04_20260908.csv,4a502055f5bd3eea3bcbfebc1671d5b95299158c50367696c82375249a1dbf88,,"[""13406"",""13410""]",02ea85ff96092988fb71172ecceeefa3a41b2e4874ea03150efc6244e8bcae41,2,True,678502746d4853f8503c1056bfb010104f7197ee5259cf41eb6ad5074ad132bb,29,2,1220.9499925,610.47499625,15,0.034482759,7.0,1243,0.093596059113
k02_p5,2,5,probability,5,fixed_seed_probability_5,nested_probability_5,,13410,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p05_20260908.csv,fbaf04533d56ea26e74beb126da580b4c814c204f984adeea23576323642606a,,"[""13407"",""13410""]",99bc91621666a42bb7beab8298fc237e06759e2b1e2fb8494d4cb24382a83ae6,2,True,ecf1f6e4ec76219e0a2abf5c7a992e33ed6fa99f17f39595468ca3da967bf0ea,32,2,1346.9099915,673.45499575,17,0.0625,7.5,1209,0.100806451613
k02_p6,2,6,probability,6,fixed_seed_probability_6,nested_probability_6,,13320,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k02_p06_20260908.csv,e697937066af3b8bd3ee20c4c82dfa85d32adbd956163235d2b089eb96ec2166,,"[""13320"",""13401""]",e8b0a8d83bf9f476326086794ef661bcf75af8132731ecf9bc6521df2ed12656,2,True,83a25b8b69d67ba0f6941e529d97b15037d0a9562afa6cb4b1e486030b478118,28,2,771.2909936,385.6454968,16,0.142857143,7.0,875,0.100529100529
k03_p1,3,1,probability,1,fixed_seed_probability_1,nested_probability_1,k02_p1,13408,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p01_20260908.csv,4449a2a3ce7bc256b3ebca7e51b13b9d1f18d99a355f55d9897ff3159deb8e52,,"[""13310"",""13313"",""13408""]",53ab366f7c09a4365ad1f4cd21b40840c11595be87b989d790a8a11c7299db4a,3,True,f1fec2717e364a99fc61a7c0cb17a368cead29c0376193d309ee93922bdb43b9,72,3,1529.37898152,509.79299384,37,0.442268981,3.0,1123,0.080594679186
k03_p2,3,2,probability,2,fixed_seed_probability_2,nested_probability_2,k02_p2,13320,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p02_20260908.csv,f4c24c472b17783259a5e4fd8c561270ca4ad6fb392e12c42d9c973370c0091d,,"[""13307"",""13311"",""13320""]",d3d0be015d1dd10a3cde1787ead20fe0ff3ad22b7c6d9753ea9a80e668e769e8,3,True,d4c9b6f024cbab022ca594ead4b09e9b132c257f58beeb72cd1bed9657b2773a,45,3,783.19199002,261.063996673,16,0.054433105,3.0,825,0.176767676768
k03_p3,3,3,probability,3,fixed_seed_probability_3,nested_probability_3,k02_p3,13323,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p03_20260908.csv,edab22a03e518a19a3250c5488160e44552cd555f9f382ffac6c9ec57094e260,,"[""13309"",""13316uwt"",""13323""]",1a65f2ca34de81c21284d63ca805eafdc6b98f26bb2e394690a1e9d6e0c949b3,3,True,945cd7a1a4dfbe7cc4fedacdc30ea245176af622017d3d67b29014213a9b45fd,51,3,905.67099446,301.890331487,22,0.375120127,3.0,796,0.123137254902
k03_p4,3,4,probability,4,fixed_seed_probability_4,nested_probability_4,k02_p4,13311,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p04_20260908.csv,7c1d2ebea96cb28d4a5e284db051211b384c292d93b83d425edd9785261caf29,,"[""13311"",""13406"",""13410""]",04f95c4ee7037fd8efc19b6f3101c92b46bdff9e3c8ab61479e91831882db4c7,3,True,6129618f1634783aa79985ea11d8aff2e5f4709c72d0bb258fb2843a993af70a,43,3,1486.8979886,495.632662867,15,0.032888687,7.0,1243,0.068660022148
k03_p5,3,5,probability,5,fixed_seed_probability_5,nested_probability_5,k02_p5,13322,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p05_20260908.csv,845ef279078e9e8404f3dac90527273738a3174363beb77c7a1eacd6c3201cc0,,"[""13322"",""13407"",""13410""]",da6d0aa9d123338d7e687ae061e966eba139fe90155b28b6304bab3948c26069,3,True,4aa1ce8ba5fa1558aea1d21cbbc5c5ec3ec49aac3be53cab1592e05889265a00,58,3,1738.4629893,579.4876631,26,0.247460346,7.0,1209,0.072595281307
k03_p6,3,6,probability,6,fixed_seed_probability_6,nested_probability_6,k02_p6,13408,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k03_p06_20260908.csv,f44506e9dfbaa072e05a461284e1ae18926e274004b6b25505d65273988b339f,,"[""13320"",""13401"",""13408""]",e8a3bd7662e6d6e4736dc4b4bb0431eaa72a6e143e2dfef0f5697fc5ac6a25f4,3,True,31cf3c90fe10dc286c5f9574dd2692dea779c910b6806c65ace889481350dea6,39,3,1234.9409911,411.646997033,16,0.166172838,7.0,875,0.08636977058
k04_p1,4,1,probability,1,fixed_seed_probability_1,nested_probability_1,k03_p1,13413,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p01_20260908.csv,023bb7ecbd7f1c2cb3b7af028f174870cd90c63dae24bb6ffb0863fa87c18396,,"[""13310"",""13313"",""13408"",""13413""]",9e80bdcb181944a98cb5726fb7248404405c68e8b4ad7d53e61e778cc37b8dd7,4,True,bf26dd8619b6aba5fdd495694bb85404ef80e6f56fa8d45d9944c23e857dfe30,87,4,2161.48897802,540.372244505,37,0.459051162,5.0,1123,0.061480887463
k04_p2,4,2,probability,2,fixed_seed_probability_2,nested_probability_2,k03_p2,13406,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p02_20260908.csv,144ec75497d6dd9e703f148379f1ff73bdef808473c15835c6612b491d185f06,,"[""13307"",""13311"",""13320"",""13406""]",6298ac054018f5f0c404a7bdf174574b47ac6a583ae84b45b9bf0eb5eeae2d7c,4,True,debd74d627d0026d6b54e2f51810c39c9c0babc3f7fdb9a91340363612ce9e35,59,4,1372.80198652,343.20049663,16,0.056213979,7.0,1113,0.109292811222
k04_p3,4,3,probability,3,fixed_seed_probability_3,nested_probability_3,k03_p3,13324t,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p03_20260908.csv,ad34cc1c882c7efacd9bba6068f7d95b5e289c27f6d46a4f1bb9c0940a256ac6,,"[""13309"",""13316uwt"",""13323"",""13324t""]",05b558243bcc57a3b13ad90259245125f7aec65e00818dae90b406cc4e3b8de0,4,True,e917911739d9b9664e28cada9bdd5daa4ada631817f2274af324b497a03650fc,69,4,1221.74099079,305.435247698,22,0.321137968,3.0,796,0.115089514066
k04_p4,4,4,probability,4,fixed_seed_probability_4,nested_probability_4,k03_p4,13310,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p04_20260908.csv,0a64b43d3b6a6e85a12e3a7d3c236f50d84fcd2e42deac42a2935edc9f12148d,,"[""13310"",""13311"",""13406"",""13410""]",9c3c866f1616a0cf688878e63a1d13d4d1d43eb6e298d5828f0a71fad0db39d1,4,True,b92a3364aecb0ae6be1cc52ec3923781a0d52ed13811e7d2daac37840173fd2d,67,4,1893.60598406,473.401496015,24,0.251083639,7.0,1243,0.062867480778
k04_p5,4,5,probability,5,fixed_seed_probability_5,nested_probability_5,k03_p5,13319,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p05_20260908.csv,d3bbd0b33b02b17511b99a9fb72ceb78a500fa254b8c4236b40b62628475920d,,"[""13319"",""13322"",""13407"",""13410""]",9bdb4f562f24e5031ef154d8f1a1bf6b610fd3a5ee2d1398e997810a81cd30bc,4,True,ffaf76032c77508da12762a9521c4d6311fe9a268c135c3928f2b9c4a89aeb7f,85,4,2199.11498565,549.778746412,27,0.249844242,7.0,1209,0.054621848739
k04_p6,4,6,probability,6,fixed_seed_probability_6,nested_probability_6,k03_p6,13309,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k04_p06_20260908.csv,5cd5fe1a04cc806de1eafe6941aab0775c9cf7d6abe347873b86bf0a2d263cb0,,"[""13309"",""13320"",""13401"",""13408""]",f669df6c87d12513b0519fd376f2f984c39cbca1640e21f6db41e8fee896c869,4,True,a90dc28ab4e0385e371846d47145e167084a13e427a7f344b38f96c79f96fb1d,61,4,1623.382988,405.845747,22,0.283469122,7.0,875,0.072677595628
k05_p1,5,1,probability,1,fixed_seed_probability_1,nested_probability_1,k04_p1,13324muw,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p01_20260908.csv,eba01cda70407e36244a98c5b4e423dd463df071940d568c24358dfbced512f8,,"[""13310"",""13313"",""13324muw"",""13408"",""13413""]",0896ce5eca606bdf0c18bcac34a15a042dba4770ae6253fb673a31adb03788a7,5,True,e4f9acf1b244a49dd3e3c26b650930adc59de915789e3ccb4f12c5492275496a,104,5,2472.52297458,494.504594916,37,0.43895047,4.0,1123,0.069081404033
k05_p2,5,2,probability,2,fixed_seed_probability_2,nested_probability_2,k04_p2,13302,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p02_20260908.csv,286ef14718748dbeb88980e11f835ed920cb9a01f72708aec4b43a436001ec86,,"[""13302"",""13307"",""13311"",""13320"",""13406""]",ea1bb9859be40f1d51fb1d3dde5eedf8d8975e0b197bb6ceb673cecf2f774a43,5,True,ef7f52b3b373e7ec52f614afd75a902f3f2d464fccac6801dc053114458746e7,109,5,2145.93397718,429.186795436,50,0.647683031,3.0,1257,0.081719334013
k05_p3,5,3,probability,3,fixed_seed_probability_3,nested_probability_3,k04_p3,13301,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p03_20260908.csv,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4,,"[""13301"",""13309"",""13316uwt"",""13323"",""13324t""]",c588609d9ce510ff101404d653c6b45198e67c5e11855851f63190e5aba84764,5,True,95bfaacc607a699e3a8659fefdf923a835c0577a5416d7164c75603bbfd4c0ce,105,5,1819.67598865,363.93519773,36,0.428042001,3.0,1161,0.092857142857
k05_p4,5,4,probability,4,fixed_seed_probability_4,nested_probability_4,k04_p4,13313,data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p04_20260908.csv,d51b0dab0f1f20b7d9ce193b79f5ea1ac48a0d084b435ed7d0b4a26485fe3653,,"[""13310"",""13311"",""13313"",""13406"",""13410""]",19a21ac4873a38d22e339e213d7a9a933b254ad396fbef847d25ed849db611ee,5,True,0eecc8383c44615df7d9f5c650b21a3a225eaad242a64a78a347a12ab0cdd8ca,104,5,2552.62697262,510.525394524,37,0.429367568,5.0,1243,0.06067961165
