Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,4808,4:30,5:21,2190,21.25,42.5,1,1
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,2,569
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,3,769
Regular,2190,4:47,5:39,4808,20.865,41.7299995,4,2
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,5,570
Regular,4808,4:50,5:41,2190,21.25,42.5,6,3
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,7,360
Regular,JON_A,4:59,5:12,PC_9,6.171,12.342,8,880
Regular,2190,5:07,5:59,4808,20.865,41.7299995,9,4
Regular,6480,5:09,5:27,PC_5,8.062,16.1240005,10,361
Regular,4808,5:10,6:01,2190,21.25,42.5,11,5
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,12,224
Regular,PC_7,5:15,5:36,GMV_G,9.319,18.6380005,13,571
Regular,JON_A,5:15,5:27,PC_7,5.133,10.2659998,14,770
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,15,685
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,16,572
Regular,4808,5:25,6:16,2190,21.25,42.5,17,6
Regular,2190,5:26,6:19,4808,20.865,41.7299995,18,7
Regular,1310,5:26,5:42,PC_10,5.387,10.7740002,19,225
Regular,PC_5,5:27,5:56,HED_E,10.088,20.1809998,20,362
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,21,489
Regular,PC_3,5:27,5:43,13329,4.783,9.5710001,22,686
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,23,771
Regular,JON_A,5:29,5:42,PC_9,6.171,12.342,24,881
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,25,363
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,26,490
Regular,4808,5:36,6:27,2190,21.25,42.5,27,8
Regular,HED_D,5:37,6:07,PC_10,10.664,21.3279991,28,226
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,29,227
Regular,PC_9,5:42,5:57,JON_B,6.191,12.3870001,30,882
Regular,GMV_H,5:43,6:07,PC_7,9.153,18.3059998,31,573
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,32,574
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,33,772
Regular,4808,5:46,6:38,2190,21.25,42.5,34,10
Regular,13329,5:47,5:57,PC_3,4.645,9.28999996,35,687
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,36,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,37,883
Regular,4808,5:56,6:48,2190,21.25,42.5,38,11
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,39,228
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,40,365
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,41,491
Regular,PC_3,5:57,6:13,13329,4.783,9.5710001,42,688
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,43,773
Regular,2190,5:58,6:53,4808,20.865,41.7299995,44,12
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,45,575
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,46,492
Regular,JON_A,6:05,6:17,PC_7,5.133,10.2659998,47,774
Regular,4808,6:06,6:59,2190,21.25,42.5,48,13
Regular,PC_10,6:07,6:41,HED_E,11.168,22.3409996,49,229
Regular,PC_9,6:07,6:22,JON_B,6.191,12.3870001,50,884
Regular,2190,6:08,7:03,4808,20.865,41.7299995,51,14
