JobID|JobName|State|Elapsed|ReqMem|MaxRSS|ExitCode
187967_2|drX_graphs|FAILED|12:01:11|64G||124:0
187967_2.batch|batch|FAILED|12:01:11||24838840K|124:0
187967_2.extern|extern|COMPLETED|12:01:11|||0:0
187984|drX_w3_k28_cg|COMPLETED|04:01:24|96G||0:0
187984.batch|batch|COMPLETED|04:01:24||142762740K|0:0
187984.extern|extern|COMPLETED|04:01:24|||0:0
188002|drX_w6_k28_cg|COMPLETED|04:02:45|96G||0:0
188002.batch|batch|COMPLETED|04:02:45||179778832K|0:0
188002.extern|extern|COMPLETED|04:02:45|||0:0
189917|drGraphGate_w1_k28|COMPLETED|11:55:46|64G||0:0
189917.batch|batch|COMPLETED|11:55:46||37861336K|0:0
189917.extern|extern|COMPLETED|11:55:46|||0:0
