id,chain,k,distinct_stage_count,native_cumulative_wall_s,fresh_primary_budget_s,ancestor_external_graph_build_s,target_external_graph_build_s,fresh_graph_sensitivity_budget_s,cumulative_import_s,target_certified_rc_optimal,actual_cpu_s,allocated_cpu_s
c1_k05,1,5,4,12193.217363744276,12194,2766.4910905361176,1433.2960171699524,14960,0,True,86714.126,97936
c1_k08,1,8,7,32188.458679694217,32189,13968.898876190186,7279.346693992615,46158,728.6007193448022,True,191953.126,258360
c1_k10,1,10,9,34849.66944473889,34850,29718.87845635414,3850.578498363495,64569,1563.9278459241614,True,200183.126,279928
c1_k15,1,15,14,57135.80927807256,57136,56335.122666835785,9362.104323148727,113471,4720.725137772737,True,243806.126,459456
c2_k05,2,5,4,2048.108690548688,2049,954.2607419490814,1890.5734012126923,3003,0,True,7280.054,16824
c2_k08,2,8,7,36562.766734849894,36563,9353.214022874832,6870.649170160294,45916,0,True,260585.054,293312
c2_k10,2,10,9,39494.755646898644,39495,27624.532967090607,4967.788210630417,67120,460.1247114210855,True,266610.93,317208
c2_k15,2,15,14,57927.096986635355,57928,61047.67931962013,11869.832132101059,118975,2264.5617426703684,True,297293.452,466256
c3_k05,3,5,4,3057.6520908013918,3058,1694.5569524765015,1752.1660733222961,4753,0,True,19447.762,24672
c3_k08,3,8,7,22676.26655305922,22677,10659.396920681,3295.2819998264313,33336,0,True,167193.762,181792
c3_k10,3,10,9,53171.94293647329,53172,19270.774215698242,3676.726342201233,72443,0,True,395543.762,425912
c3_k15,3,15,14,59739.89729743637,59740,42096.76872229576,9790.407982587814,101837,905.8924234427977,True,408239.967,479824
c4_k05,4,5,4,1209.497876620153,1210,712.3606803417206,1161.5190567970276,1922,0,True,6582.238,10112
c4_k08,4,8,7,23220.512335795444,23221,6908.050617218018,4170.212093830109,30129,0,True,169350.238,186568
c4_k10,4,10,9,42982.566742421826,42983,16337.509643793106,4687.747172355652,59321,198.8880043812096,True,314824.005,345544
c4_k15,4,15,14,54930.324181786506,54931,53337.19036746025,13232.993341207504,108268,1520.6722729541361,True,335612.977,442376
c5_k05,5,5,4,6600.922155700857,6601,1218.721096754074,599.9566829204559,7820,0,True,45174.974,53152
c5_k08,5,8,7,37824.49508218444,37825,7492.647085189819,2520.2393231391907,45318,0,True,286154.974,303176
c5_k10,5,10,9,72588.89509307756,72589,13347.797366380692,3210.164469242096,85937,0,True,554150.974,581528
c5_k15,5,15,14,83321.09237741865,83322,36674.54800915718,9669.475131034851,119996,1391.1452759155072,True,574293.773,669120
c6_k05,6,5,4,900.0152176728006,901,670.0394723415375,376.97721672058105,1571,0,True,3566.3599999999997,7520
c6_k08,6,8,7,6273.499915446388,6274,3742.7383008003235,1438.4250137805939,10017,0,True,43269.36,50744
c6_k10,6,10,9,21198.488249652553,21199,7453.368896245956,2742.750204563141,28652,0,True,155317.36,170376
c6_k15,6,15,14,37927.20872871927,37928,36759.881410360336,14926.433968544006,74688,1387.4350596473087,True,181311.97,306368
