case_id,chain,target_k,fresh_cg_allowance_min,fresh_cg_actual_min,fresh_cg_certified,fresh_cg_stop,fresh_buses,fresh_fleet_proved_in_pool,fresh_charging_plus_start_cost,warm_buses,warm_fleet_proved_in_pool,warm_charging_plus_start_cost,snapshot,snapshot_sha256,collected_utc
c1_k05,1,5,203.23333333333332,,,,,,,5,True,237.975999999966,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c1_k08,1,8,536.4833333333333,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c1_k10,1,10,580.8333333333334,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c1_k15,1,15,952.2666666666667,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c2_k05,2,5,34.15,,,,,,,5,True,206.2399999999907,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c2_k08,2,8,609.3833333333333,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c2_k10,2,10,658.25,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c2_k15,2,15,965.4666666666667,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c3_k05,3,5,50.96666666666667,5.076166996313259,True,certified,5,True,125.7280000000028,5,True,134.9440000000177,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c3_k08,3,8,377.95,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c3_k10,3,10,886.2,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c3_k15,3,15,995.6666666666666,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c4_k05,4,5,20.166666666666668,,,,,,,5,True,233.84799999999814,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c4_k08,4,8,387.01666666666665,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c4_k10,4,10,716.3833333333333,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c4_k15,4,15,915.5166666666667,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c5_k05,5,5,110.01666666666667,8.019314299353088,True,certified,,,,5,True,307.4559999999474,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c5_k08,5,8,630.4166666666666,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c5_k10,5,10,1209.8166666666666,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c5_k15,5,15,1388.7,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c6_k05,6,5,15.016666666666667,6.132772368635051,True,certified,5,True,141.64000000001397,5,True,141.63999999995576,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c6_k08,6,8,104.56666666666666,,,,,,,8,True,310.8880000000354,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c6_k10,6,10,353.31666666666666,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
c6_k15,6,15,632.1333333333333,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T182856Z.json,ac53713f530c096b5eb943160fdc98f10b0da3a4c8a15e3d29e7bc92cecbefb0,2026-09-13T18:30:33.959779+00:00
