case_id,chain,target_k,fresh_allowance_min,fresh_cg_min,fresh_cg_certified,cg_stop,weighted_lp_objective,fractional_routes,min_reduced_cost,fresh_buses,fresh_fleet_bound,fresh_pool_proved,fresh_columns,fresh_mip_seconds,fresh_charging_plus_start_cost,warm_buses,warm_pool_proved,warm_columns,warm_charging_plus_start_cost,source_snapshot,source_snapshot_sha256,collected_utc
c1_k05,1,5,203.23333333333332,20.619252489499438,True,certified,500237.50599999976,4.999999999999997,-2.38362218851762e-10,5,5.0,True,28549,4.545419931411743,237.97600000002421,5,True,27340,237.975999999966,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c1_k08,1,8,536.4833333333333,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c1_k10,1,10,580.8333333333334,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c1_k15,1,15,952.2666666666667,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c2_k05,2,5,34.15,11.567657840667136,True,certified,500164.2479999964,4.9999999999999645,-7.696083770269979e-10,5,5.0,True,20813,110.3670904636383,189.83199999999488,5,True,21160,206.2399999999907,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c2_k08,2,8,609.3833333333333,18.020717868216646,True,certified,800235.9144683554,7.999999999999991,-3.2331159971477064e-09,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c2_k10,2,10,658.25,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c2_k15,2,15,965.4666666666667,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c3_k05,3,5,50.96666666666667,5.076166996313259,True,certified,500125.72799999977,4.999999999999998,-5.822595738891323e-10,5,5.0,True,10006,4.794543743133545,125.7280000000028,5,True,13850,134.9440000000177,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c3_k08,3,8,377.95,13.277519489316425,True,certified,800212.6874725271,7.999999999999997,-6.593571537027998e-05,,,,,,,8,True,23781,227.6879999996163,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c3_k10,3,10,886.2,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c3_k15,3,15,995.6666666666666,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c4_k05,4,5,20.166666666666668,11.326359283186806,True,certified,500221.5718461575,5.000000000000036,-4.5905945711410823e-10,5,5.0,True,17550,19.308908224105835,230.6239999999525,5,True,15452,233.84799999999814,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c4_k08,4,8,387.01666666666665,,,,,,,,,,,,,8,True,35482,428.2559999979567,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c4_k10,4,10,716.3833333333333,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c4_k15,4,15,915.5166666666667,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c5_k05,5,5,110.01666666666667,8.019314299353088,True,certified,500276.1920000015,5.000000000000015,-6.437845812001797e-10,6,6.0,True,14175,168.85387110710144,283.77599999995437,5,True,16870,307.4559999999474,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c5_k08,5,8,630.4166666666666,,,,,,,,,,,,,8,True,29421,505.17599999997765,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c5_k10,5,10,1209.8166666666666,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c5_k15,5,15,1388.7,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c6_k05,6,5,15.016666666666667,6.132772368635051,True,certified,500141.64,5.0,-2.6341240300098434e-10,5,5.0,True,11998,1.243492841720581,141.64000000001397,5,True,10249,141.63999999995576,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c6_k08,6,8,104.56666666666666,12.782074214572397,True,certified,800293.6644705884,8.000000000000002,-1.0538716566088624e-09,8,8.0,True,15842,92.37830352783203,338.16800000006333,8,True,19640,310.8880000000354,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c6_k10,6,10,353.31666666666666,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
c6_k15,6,15,632.1333333333333,,,,,,,,,,,,,,,,,outputs/post_meeting_20260910/monitor/20260913T184244Z.json,8fc7f7f1b411b425b109ae60325c2c4661b740e316826dfac20005145dd9f92e,2026-09-13T18:44:44.399398+00:00
