case_id,chain,target_k,fresh_cg_allowance_min,fresh_cg_min,fresh_cg_certified,fresh_lp_objective,fresh_fractional_routes,fresh_buses,fresh_pool_fleet_bound,fresh_pool_fleet_proven,fresh_mip_status,fresh_integer_interpretation,warm_buses,warm_pool_fleet_proven,snapshot_path,snapshot_sha256
c1_k05,1,5,203.23333333333332,20.619252489499438,True,500237.50599999976,4.999999999999997,5,5.0,True,OPTIMAL,target matched,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c1_k08,1,8,536.4833333333333,51.09873878766472,True,800383.6879776365,7.999999999999991,,,,,MIP pending,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c1_k10,1,10,580.8333333333334,80.01890566223301,True,1000511.2045748298,9.999999999999991,,,,,MIP pending,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c1_k15,1,15,952.2666666666667,,,,,,,,,CG running,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c2_k05,2,5,34.15,11.567657840667136,True,500164.2479999964,4.9999999999999645,5,5.0,True,OPTIMAL,target matched,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c2_k08,2,8,609.3833333333333,18.020717868216646,True,800235.9144683554,7.999999999999991,9,8.000000000000005,False,TIME_LIMIT,integer gap open,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c2_k10,2,10,658.25,45.94994359918249,True,1000371.1457444351,9.999999999999977,,,,,MIP pending,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c2_k15,2,15,965.4666666666667,,,,,,,,,CG running,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c3_k05,3,5,50.96666666666667,5.076166996313259,True,500125.72799999977,4.999999999999998,5,5.0,True,OPTIMAL,target matched,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c3_k08,3,8,377.95,13.277519489316425,True,800212.6874725271,7.999999999999997,9,8.000000000000004,False,TIME_LIMIT,integer gap open,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c3_k10,3,10,886.2,30.026636184220358,True,1000316.8231857817,9.999999999999993,11,10.000000000000009,False,TIME_LIMIT,integer gap open,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c3_k15,3,15,995.6666666666666,76.69281622530349,True,1500507.4203245102,15.000000000000064,,,,,MIP pending,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c4_k05,4,5,20.166666666666668,11.326359283186806,True,500221.5718461575,5.000000000000036,5,5.0,True,OPTIMAL,target matched,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c4_k08,4,8,387.01666666666665,47.293512854154685,True,800359.8182244832,7.999999999999983,,,,,MIP pending,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c4_k10,4,10,716.3833333333333,59.40527100576243,True,1000426.2710758037,10.000000000000014,,,,,MIP pending,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c4_k15,4,15,915.5166666666667,,,,,,,,,CG running,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c5_k05,5,5,110.01666666666667,8.019314299353088,True,500276.1920000015,5.000000000000015,6,6.0,True,OPTIMAL,pool needs more buses,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c5_k08,5,8,630.4166666666666,25.948461752089983,True,800431.7722696166,8.000000000000025,9,9.0,True,TIME_LIMIT,pool needs more buses,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c5_k10,5,10,1209.8166666666666,33.47974148831175,True,1000456.3339241291,9.999999999999913,,,,,MIP pending,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c5_k15,5,15,1388.7,,,,,,,,,CG running,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c6_k05,6,5,15.016666666666667,6.132772368635051,True,500141.64,5.0,5,5.0,True,OPTIMAL,target matched,5,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c6_k08,6,8,104.56666666666666,12.782074214572397,True,800293.6644705884,8.000000000000002,8,8.0,True,OPTIMAL,target matched,8,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c6_k10,6,10,353.31666666666666,27.156949346962694,True,1000377.8715555579,10.000000000000023,11,10.000000000000018,False,TIME_LIMIT,integer gap open,10,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
c6_k15,6,15,632.1333333333333,,,,,,,,,CG running,15,True,outputs/post_meeting_20260910/monitor/20260913T195049Z.json,716b2d3455fa209e25706aff6bc700f9ea677765bbce09fa59dc7b0ecc6feba3
