case_id,chain,target_k,cg_minutes_at_this_k,pricing_certified,stop_reason,iterations,weighted_rmp_objective,fractional_route_weight,last_min_reduced_cost,source_path,source_sha256,snapshot_path,snapshot_sha256
w1_k16,1,16,47.69827642966217,True,certified,206,1600773.527766161,16.00000000000012,-4.572974887651071e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w1_k17,1,17,83.26131981393944,True,certified,380,1700800.4040138263,17.000000000000295,-4.594085112330504e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w1_k18,1,18,234.32334600906663,True,certified,595,1800875.6489314782,18.000000000000234,-7.278865066240314e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w1_k19,1,19,239.31682532416502,False,wall_limit,456,1900937.3998528144,18.99999999999961,-0.06574062970129102,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k16,2,16,44.28484435174226,True,certified,199,1600685.7013360031,15.999999999999977,-7.346675004193948e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k17,2,17,102.40232212621873,True,certified,445,1700731.7292930596,16.999999999999936,-4.168993683606459e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k18,2,18,123.14828624875517,True,certified,431,1800755.859425204,18.00000000000025,-6.786064954411586e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k19,2,19,95.69782099976825,True,certified,220,1900750.4918483591,19.000000000000085,-9.328166372668534e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k20,2,20,67.81102417637594,True,certified,110,2000806.3818165213,19.999999999999897,-1.798681736886465e-07,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k21,2,21,79.71300590212923,True,certified,136,2100861.3026837367,20.999999999999943,-1.4717325136359705e-07,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k21/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w2_k22,2,22,86.26264341683127,True,certified,118,2200928.1186187225,22.000000000000234,-3.529080760955594e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k22/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k16,3,16,47.11864920204971,True,certified,341,1600580.7907903567,15.999999999999963,-9.873933748005825e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k17,3,17,32.014535494924836,True,certified,175,1700643.357469441,17.00000000000036,-5.547249620629913e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k18,3,18,48.15024766811015,True,certified,270,1800689.8350047814,18.00000000000044,-4.693786426201996e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k19,3,19,82.62754838532614,True,certified,428,1900714.5692811017,19.000000000000142,-5.026505112848412e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k20,3,20,64.15508412957813,True,certified,166,2000780.1004924162,19.99999999999998,-4.552892018949706e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k21,3,21,208.5119645375448,True,certified,553,2100846.379779231,21.000000000000288,-6.0638891976161347e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k21/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k22,3,22,76.06953830669323,True,certified,129,2200899.3664887524,22.00000000000019,-5.3396829180485383e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k22/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w3_k23,3,23,77.8554851539433,True,certified,130,2300945.26694009,23.000000000000416,-1.8309063776200674e-07,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k23/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k16,4,16,102.55466983000515,True,certified,517,1600712.3734439802,16.000000000000295,-7.156916029726901e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k17,4,17,77.7171644435885,True,certified,277,1700779.1686177808,17.000000000000078,-9.283480650879028e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k18,4,18,68.93730294267492,True,certified,267,1800795.6604092887,17.999999999999783,-1.4539709880523333e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k19,4,19,239.14683105872246,False,wall_limit,565,1900863.0783518585,19.00000000000035,-0.003185266591251068,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k20,4,20,79.3658609316762,True,certified,157,2000918.6508342363,19.999999999999904,-1.0063964328566044e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
