Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,4808,4:30,5:21,2190,21.25,42.5,1,1
Regular,4808,4:50,5:41,2190,21.25,42.5,4,3
Regular,2190,5:07,5:59,4808,20.865,41.7299995,7,4
Regular,4808,5:10,6:01,2190,21.25,42.5,9,5
Regular,4808,5:25,6:16,2190,21.25,42.5,12,6
Regular,2190,5:26,6:19,4808,20.865,41.7299995,13,7
Regular,4808,5:36,6:27,2190,21.25,42.5,19,8
Regular,2190,5:44,6:37,4808,20.865,41.7299995,24,9
Regular,2190,5:58,6:53,4808,20.865,41.7299995,29,12
Regular,4808,6:06,6:59,2190,21.25,42.5,31,13
Regular,2190,6:08,7:03,4808,20.865,41.7299995,34,14
Regular,4808,6:16,7:10,2190,21.25,42.5,38,15
Regular,2190,6:18,7:14,4808,20.865,41.7299995,41,16
Regular,4808,6:26,7:20,2190,21.25,42.5,45,17
Regular,2190,6:28,7:24,4808,20.865,41.7299995,46,18
Regular,4808,6:34,7:31,2190,21.25,42.5,49,19
Regular,2190,6:38,7:35,4808,20.865,41.7299995,54,20
Regular,4808,6:42,7:40,2190,21.25,42.5,56,21
Regular,2190,6:48,7:45,4808,20.865,41.7299995,61,22
Regular,4808,6:51,7:49,2190,21.25,42.5,62,23
Regular,4808,7:01,8:01,2190,21.25,42.5,68,25
Regular,2190,7:09,8:08,4808,20.865,41.7299995,72,26
Regular,4808,7:11,8:11,2190,21.25,42.5,76,27
Regular,2190,7:20,8:19,4808,20.865,41.7299995,82,28
Regular,4808,7:21,8:21,2190,21.25,42.5,83,29
Regular,4808,7:31,8:31,2190,21.25,42.5,93,31
Regular,2190,7:39,8:39,4808,20.865,41.7299995,97,32
Regular,4808,7:42,8:42,2190,21.25,42.5,102,33
Regular,2190,7:49,8:49,4808,20.865,41.7299995,108,34
Regular,4808,7:52,8:52,2190,21.25,42.5,110,35
Regular,2190,8:00,8:59,4808,20.865,41.7299995,118,36
Regular,2190,8:09,9:09,4808,20.865,41.7299995,123,38
Regular,4808,8:15,9:14,2190,21.25,42.5,129,39
Regular,2190,8:20,9:19,4808,20.865,41.7299995,133,40
Regular,4808,8:26,9:24,2190,21.25,42.5,136,41
Regular,2190,8:30,9:29,4808,20.865,41.7299995,141,42
Regular,2190,8:40,9:39,4808,20.865,41.7299995,147,44
Regular,4808,8:46,9:42,2190,21.25,42.5,151,45
Regular,2190,8:50,9:49,4808,20.865,41.7299995,153,46
Regular,4808,8:56,9:52,2190,21.25,42.5,156,47
Regular,2190,8:59,9:57,4808,20.865,41.7299995,159,48
Regular,4808,9:06,10:02,2190,21.25,42.5,164,49
Regular,4808,9:16,10:11,2190,21.25,42.5,168,51
Regular,2190,9:20,10:17,4808,20.865,41.7299995,173,52
Regular,4808,9:26,10:21,2190,21.25,42.5,176,53
Regular,2190,9:30,10:27,4808,20.865,41.7299995,179,54
Regular,4808,9:36,10:31,2190,21.25,42.5,181,55
Regular,2190,9:40,10:37,4808,20.865,41.7299995,184,56
Regular,4808,9:44,10:39,2190,21.25,42.5,186,57
Regular,2190,9:50,10:47,4808,20.865,41.7299995,190,58
Regular,4808,9:54,10:49,2190,21.25,42.5,193,59
Regular,2190,10:00,10:57,4808,20.865,41.7299995,196,60
Regular,4808,10:04,10:59,2190,21.25,42.5,198,61
Regular,2190,10:20,11:17,4808,20.865,41.7299995,208,64
Regular,4808,10:24,11:19,2190,21.25,42.5,210,65
Regular,2190,10:30,11:27,4808,20.865,41.7299995,212,66
Regular,4808,10:34,11:29,2190,21.25,42.5,215,67
