JobIDRaw|JobID|JobName|User|Submit|Start|End|State|ElapsedRaw|AllocCPUS|ReqMem|MaxRSS|MaxVMSize|NodeList|Restarts
228596|228596|drX_w1_k32_cg|nc437|2026-09-15T10:23:12|2026-09-16T05:38:32|2026-09-16T09:40:13|COMPLETED|14501|8|100663296K|||sonic-cpu-02|0
228596.batch|228596.batch|batch||2026-09-16T05:38:32|2026-09-16T05:38:32|2026-09-16T09:40:13|COMPLETED|14501|8||243453936K|258423288K|sonic-cpu-02|
228596.extern|228596.extern|extern||2026-09-16T05:38:32|2026-09-16T05:38:32|2026-09-16T09:40:13|COMPLETED|14501|8||||sonic-cpu-02|
228600|228600|drX_w2_k32_cg|nc437|2026-09-15T10:23:13|2026-09-16T05:11:34|2026-09-16T09:13:37|COMPLETED|14523|8|100663296K|||unicorn-cpu-75|0
228600.batch|228600.batch|batch||2026-09-16T05:11:34|2026-09-16T05:11:34|2026-09-16T09:13:37|COMPLETED|14523|8||222006916K|236246692K|unicorn-cpu-75|
228600.extern|228600.extern|extern||2026-09-16T05:11:34|2026-09-16T05:11:34|2026-09-16T09:13:37|COMPLETED|14523|8||||unicorn-cpu-75|
228604|228604|drX_w3_k32_cg|nc437|2026-09-15T10:23:14|2026-09-16T02:02:20|2026-09-16T06:03:45|COMPLETED|14485|8|100663296K|||unicorn-cpu-73|0
228604.batch|228604.batch|batch||2026-09-16T02:02:20|2026-09-16T02:02:20|2026-09-16T06:03:45|COMPLETED|14485|8||216185072K|230352732K|unicorn-cpu-73|
228604.extern|228604.extern|extern||2026-09-16T02:02:20|2026-09-16T02:02:20|2026-09-16T06:03:45|COMPLETED|14485|8||||unicorn-cpu-73|
228608|228608|drX_w4_k32_cg|nc437|2026-09-15T10:23:15|2026-09-16T04:56:34|2026-09-16T08:58:07|COMPLETED|14493|8|100663296K|||unicorn-cpu-75|0
228608.batch|228608.batch|batch||2026-09-16T04:56:34|2026-09-16T04:56:34|2026-09-16T08:58:07|COMPLETED|14493|8||224816148K|238975844K|unicorn-cpu-75|
228608.extern|228608.extern|extern||2026-09-16T04:56:34|2026-09-16T04:56:34|2026-09-16T08:58:07|COMPLETED|14493|8||||unicorn-cpu-75|
228612|228612|drX_w5_k32_cg|nc437|2026-09-15T10:23:16|2026-09-16T02:04:20|2026-09-16T06:05:43|COMPLETED|14483|8|100663296K|||sonic-cpu-01|0
228612.batch|228612.batch|batch||2026-09-16T02:04:20|2026-09-16T02:04:20|2026-09-16T06:05:43|COMPLETED|14483|8||216821444K|230339348K|sonic-cpu-01|
228612.extern|228612.extern|extern||2026-09-16T02:04:20|2026-09-16T02:04:20|2026-09-16T06:05:43|COMPLETED|14483|8||||sonic-cpu-01|
228616|228616|drX_w6_k32_cg|nc437|2026-09-15T10:23:17|2026-09-16T02:58:25|2026-09-16T07:00:01|COMPLETED|14496|8|100663296K|||unicorn-cpu-76|0
228616.batch|228616.batch|batch||2026-09-16T02:58:25|2026-09-16T02:58:25|2026-09-16T07:00:01|COMPLETED|14496|8||239469200K|254593028K|unicorn-cpu-76|
228616.extern|228616.extern|extern||2026-09-16T02:58:25|2026-09-16T02:58:25|2026-09-16T07:00:01|COMPLETED|14496|8||||unicorn-cpu-76|
