job,source,state,start,end_or_projection,basis
340949,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340950,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340952,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340953,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340954,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340955,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340956,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340957,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340958,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340959,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340960,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340961,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340962,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340963,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340964,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340965,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340966,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340967,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340968,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-17T07:22:17-04:00,allocation deadline
340969,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340970,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340971,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340972,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340973,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340974,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340975,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
340976,p1/jobs.json,RUNNING,2026-09-16T17:52:17,2026-09-16T22:22:17-04:00,allocation deadline
341152,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341153,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341154,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341155,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341156,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341157,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341158,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341159,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341160,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341161,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341162,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341163,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341164,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341165,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341166,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341167,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341168,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341169,p2/dr_mincharge/jobs.json,COMPLETED,2026-09-16T18:04:07,2026-09-16T19:54:56-04:00,actual completion
341170,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341171,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T03:04:07-04:00,allocation deadline
341172,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
341173,p2/dr_mincharge/jobs.json,COMPLETED,2026-09-16T18:04:07,2026-09-16T19:57:05-04:00,actual completion
341174,p2/dr_mincharge/jobs.json,RUNNING,2026-09-16T18:04:07,2026-09-17T07:04:07-04:00,allocation deadline
