chain,k,unchanged_giro_schedule_valid_count,unchanged_recorded_activity_valid_count,unchanged_production_schedule_valid_count,fixed_trip_optimized_charging_reported_valid_count,fixed_trip_certificate_reverified_this_audit,duties,unchanged_schedule_rejected_duties,fixed_trip_optimized_charging_reverified_valid_count
1,2,0,0,0,2,True,13313;13310,13313;13310,2
1,3,0,0,0,3,True,13313;13310;13408,13313;13310;13408,3
1,4,0,0,0,4,True,13313;13310;13408;13413,13313;13310;13408;13413,4
1,5,0,0,0,5,True,13313;13310;13408;13413;13324muw,13313;13310;13408;13413;13324muw,5
1,6,0,0,0,6,True,13313;13310;13408;13413;13324muw;13312,13313;13310;13408;13413;13324muw;13312,6
1,7,0,0,0,7,True,13313;13310;13408;13413;13324muw;13312;13319,13313;13310;13408;13413;13324muw;13312;13319,7
1,8,0,0,0,8,True,13313;13310;13408;13413;13324muw;13312;13319;13409,13313;13310;13408;13413;13324muw;13312;13319;13409,8
1,9,0,0,0,9,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404,13313;13310;13408;13413;13324muw;13312;13319;13409;13404,9
1,10,0,0,0,10,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403,10
1,11,0,0,0,11,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326,11
1,12,0,0,0,12,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402,12
1,13,0,0,0,13,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318,13
1,14,0,0,0,14,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311,14
1,15,0,0,0,15,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303,15
1,16,0,0,0,16,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410,16
1,17,0,0,0,17,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309,17
1,18,0,0,0,18,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302,18
1,19,0,0,0,19,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325,19
1,20,0,0,0,20,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320,20
