VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,1.0,PC_6,13215.0,7:27,7:54,ÖS_J,7880.0,0.27,0.0,70.1122818,,8.581,17.1669998,62.9297371,,497
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,8:04,8:27,PC_6,13215.0,0.23,0.0,80.3753052,,8.205,16.4099998,73.5094757,,500
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,1.0,PC_6,13215.0,8:57,9:23,ÖS_J,7880.0,0.26,0.0,65.6167908,,8.581,17.1669998,58.4342499,,503
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,9:35,9:57,PC_6,13215.0,0.22,0.0,80.1371002,,8.205,16.4099998,73.2712708,,507
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,1.0,PC_6,13215.0,10:27,10:53,ÖS_J,7880.0,0.26,0.0,65.3785858,,8.581,17.1669998,58.1960449,,511
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,11:05,11:27,PC_6,13215.0,0.22,0.0,80.017601,,8.205,16.4099998,73.1517792,,515
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,1.0,PC_6,13215.0,11:57,12:23,ÖS_J,7880.0,0.26,0.0,65.2590866,,8.581,17.1669998,58.0765419,,519
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,12:35,12:57,PC_6,13215.0,0.22,0.0,79.9371567,,8.205,16.4099998,73.0713348,,522
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,2.0,GMV_H,7581.0,6:03,6:27,PC_7,13215.0,0.24,0.0,93.5567551,,9.153,18.3059998,85.8976669,,575
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,1.0,PC_7,13215.0,14:50,15:15,GMV_G,7581.0,0.25,0.0,70.571701,,9.319,18.6380005,62.7736969,,636
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,2.0,GMV_H,7581.0,15:20,15:47,PC_7,13215.0,0.27,0.03,62.5624123,,9.153,18.3059998,54.9033165,,639
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,1.0,PC_7,13215.0,15:50,16:16,GMV_G,7581.0,0.26,0.0,54.9012184,,9.319,18.6380005,47.1032219,,642
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,2.0,GMV_H,7581.0,16:20,16:47,PC_7,13215.0,0.27,0.03,46.8926315,,9.153,18.3059998,39.2335358,,645
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,1.0,PC_7,13215.0,16:50,17:16,GMV_G,7581.0,0.26,0.0,39.2314453,,9.319,18.6380005,31.433445,,648
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5515.0,2.0,GMV_H,7581.0,17:20,17:47,PC_7,13215.0,0.27,0.0,31.2228527,,9.153,18.3059998,23.5637589,,651
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,6:27,6:43,13329,,0.16,0.02,85.8976669,,4.783,9.5710001,81.8932266,,690
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,6:45,6:57,PC_3,13215.0,0.12,0.0,81.8918381,,4.645,9.28999996,78.0049744,,691
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,6:57,7:13,13329,,0.16,0.02,78.0049744,,4.783,9.5710001,74.0005341,,692
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,7:15,7:27,PC_3,13215.0,0.12,0.0,73.9991455,,4.645,9.28999996,70.1122818,,693
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,8:27,8:43,13329,,0.16,0.02,73.5094757,,4.783,9.5710001,69.5050507,,698
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,8:45,8:57,PC_3,13215.0,0.12,0.0,69.5036545,,4.645,9.28999996,65.6167908,,699
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,9:57,10:13,13329,,0.16,0.02,73.2712708,,4.783,9.5710001,69.2668381,,704
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,10:15,10:27,PC_3,13215.0,0.12,0.0,69.2654495,,4.645,9.28999996,65.3785858,,705
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,11:27,11:43,13329,,0.16,0.02,73.1517792,,4.783,9.5710001,69.1473389,,712
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,11:45,11:57,PC_3,13215.0,0.12,0.0,69.1459503,,4.645,9.28999996,65.2590866,,713
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,2.0,PC_3,13215.0,12:57,13:13,13329,,0.16,0.02,73.0713348,,4.783,9.5710001,69.0669022,,718
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5517.0,1.0,13329,,13:15,13:27,PC_3,13215.0,0.12,0.0,69.0655136,,4.645,9.28999996,65.1786423,,719
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5519.0,2.0,PC_9,13215.0,13:27,13:42,JON_B,13410.0,0.15,0.03,65.1786423,,6.191,12.3870001,59.9960213,,925
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5519.0,1.0,JON_A,13410.0,13:54,14:07,PC_9,13215.0,0.13,0.0,74.0786819,,6.171,12.342,68.9148865,,928
13315,PARX,5:43,17:55,PARX,12.12,223.135,PARX,Regular,5519.0,2.0,PC_9,13215.0,14:07,14:22,JON_B,13410.0,0.15,0.03,68.9148865,,6.191,12.3870001,63.732254,,929
