VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:27,8:04,HED_E,3127.0,0.37,0.0,73.8096008,,11.168,22.3409996,64.4622955,,241
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,1.0,PC_10,13215.0,13:07,13:42,HED_E,3127.0,0.35,0.0,59.7028008,,11.168,22.3409996,50.3554955,,274
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,2.0,HED_D,3127.0,13:56,14:27,PC_10,13215.0,0.31,0.0,72.9483109,,10.664,21.3279991,64.0248337,,280
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,1.0,PC_10,13215.0,15:07,15:43,HED_E,3127.0,0.36,0.0,65.9914703,,11.168,22.3409996,56.6441612,,293
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,2.0,13215,,17:07,17:24,3127,,0.17,0.01,57.379921,,10.033,20.066,48.9844513,,319
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5510.0,2.0,HED_D,3127.0,17:25,17:57,PC_10,13215.0,0.32,0.0,48.983757,,10.664,21.3279991,40.0602798,,324
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5513.0,2.0,HED_D,3127.0,15:49,16:17,PC_5,13215.0,0.28,0.1,63.2089081,,9.931,19.8619995,54.8987923,,436
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,1.0,PC_7,13215.0,6:30,6:54,GMV_G,7581.0,0.24,0.0,89.4786835,,9.319,18.6380005,81.6806793,,578
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,2.0,GMV_H,7581.0,7:00,7:27,PC_7,13215.0,0.27,0.0,81.4686966,,9.153,18.3059998,73.8096008,,582
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,1.0,PC_7,13215.0,11:10,11:34,GMV_G,7581.0,0.24,0.0,91.0458374,,9.319,18.6380005,83.2478409,,610
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,2.0,GMV_H,7581.0,11:42,12:07,PC_7,13215.0,0.25,0.03,83.034462,,9.153,18.3059998,75.3753662,,614
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,1.0,PC_7,13215.0,12:10,12:34,GMV_G,7581.0,0.24,0.0,75.3732758,,9.319,18.6380005,67.5752792,,618
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,2.0,GMV_H,7581.0,12:42,13:07,PC_7,13215.0,0.25,0.0,67.3619003,,9.153,18.3059998,59.7028008,,622
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5515.0,1.0,PC_7,13215.0,18:30,18:53,GMV_G,7581.0,0.23,0.0,32.1647987,,9.319,18.6380005,24.3667984,,658
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5517.0,2.0,PC_3,13215.0,17:57,18:13,13329,,0.16,0.03,40.0602798,,4.783,9.5710001,36.0558472,,738
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5517.0,1.0,13329,,18:16,18:27,PC_3,13215.0,0.11,0.03,36.0537567,,4.645,9.28999996,32.1668892,,740
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,1.0,JON_A,13410.0,6:13,6:27,PC_9,13215.0,0.14,0.03,94.644577,,6.171,12.342,89.4807739,,885
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,2.0,PC_9,13215.0,8:45,8:50,13722,,0.05,0.02,55.8252678,,2.59,5.17999983,53.6580009,,903
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,1.0,13722,,8:52,8:57,PC_9,13215.0,0.05,0.0,53.6566086,,2.518,5.03599977,51.5495834,,905
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,2.0,PC_9,13215.0,14:27,14:44,JON_B,13410.0,0.17,0.01,64.0248337,,6.191,12.3870001,58.8422127,,932
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,1.0,JON_A,13410.0,14:53,15:07,PC_9,13215.0,0.14,0.0,71.1552658,,6.171,12.342,65.9914703,,936
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,2.0,PC_9,13215.0,16:27,16:44,JON_B,13410.0,0.17,0.01,54.8918228,,6.191,12.3870001,49.7091942,,946
13316m,PARX,5:55,19:09,PARX,13.01,213.224,PARX,Regular,5519.0,1.0,JON_A,13410.0,16:53,17:07,PC_9,13215.0,0.14,0.0,62.5437126,,6.171,12.342,57.379921,,950
