VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5501.0,2.0,6480,,16:55,17:14,13421,,0.19,0.0,30.5360222,,11.116,22.2320004,21.2343178,,212
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:17,7:54,HED_E,3127.0,0.37,0.0,98.8284988,,11.168,22.3409996,89.4811935,,239
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5510.0,2.0,HED_D,3127.0,7:57,8:27,PC_10,13215.0,0.3,0.03,89.438652,,10.664,21.3279991,80.5151749,,250
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5510.0,2.0,13215,,14:42,14:59,3127,,0.17,0.01,71.72509,,10.033,20.066,63.3296242,,287
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5510.0,1.0,PC_10,13215.0,15:27,16:03,HED_E,3127.0,0.36,0.0,55.0188179,,11.168,22.3409996,45.6715088,,299
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5513.0,1.0,PC_5,13215.0,11:57,12:28,HED_E,3127.0,0.31,0.0,72.6590805,,10.088,20.1809998,64.2154999,,408
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5513.0,2.0,HED_D,3127.0,12:32,12:57,PC_5,13215.0,0.25,0.0,64.1722717,,9.931,19.8619995,55.8621521,,412
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5513.0,2.0,HED_D,3127.0,15:00,15:27,PC_5,13215.0,0.27,0.0,63.3289261,,9.931,19.8619995,55.0188179,,429
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5513.0,2.0,HED_D,3127.0,16:08,16:37,PC_5,13215.0,0.29,0.0,45.6275787,,9.931,19.8619995,37.3174667,,441
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5514.0,1.0,PC_6,13215.0,9:27,9:53,ÖS_J,7880.0,0.26,0.0,64.8426132,,8.581,17.1669998,57.6600685,,506
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,10:05,10:27,PC_6,13215.0,0.22,0.0,79.5610733,,8.205,16.4099998,72.6952515,,510
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5514.0,1.0,PC_6,13215.0,10:57,11:23,ÖS_J,7880.0,0.26,0.0,64.8025665,,8.581,17.1669998,57.6200142,,514
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,11:35,11:57,PC_6,13215.0,0.22,0.0,79.5249023,,8.205,16.4099998,72.6590805,,518
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5515.0,1.0,PC_7,13215.0,8:30,8:54,GMV_G,7581.0,0.24,0.0,80.5130844,,9.319,18.6380005,72.7150803,,593
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:02,9:27,PC_7,13215.0,0.25,0.0,72.5017014,,9.153,18.3059998,64.8426132,,597
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5517.0,2.0,PC_3,13215.0,10:27,10:43,13329,,0.16,0.02,72.6952515,,4.783,9.5710001,68.6908188,,707
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5517.0,1.0,13329,,10:45,10:57,PC_3,13215.0,0.12,0.0,68.6894226,,4.645,9.28999996,64.8025665,,709
13324t,PARX,7:05,17:24,PARX,10.19,177.06,PARX,Regular,5519.0,1.0,13722,,14:07,14:12,PC_9,13215.0,0.05,0.3,73.853035,,2.518,5.03599977,71.7460098,,930
