duty,trip_count,battery_kwh,charge_kw,reserve_kwh,source_valid,production_valid,both_valid,minimum_source_soc_kwh,source_terminal_soc_kwh,source_violations,production_first_rejection,input_sha256
13301,36,240,240,0,False,False,False,39.151030328799976,39.151030328799976,"[""row 18: SOC 240.018347 exceeds capacity"", ""row 34: recharge exceeds power/window"", ""row 38: recharge exceeds power/window"", ""row 45: recharge exceeds power/window"", ""row 50: recharge exceeds power/window"", ""row 60: recharge exceeds power/window""]",charge at PARX_1 raises SOC to 240.2 > capacity 240.0,33caecc5249124ca13e0477d523dc96b6320b0dbbd4a28ca6917a3a45af53526
13301,36,240,350,0,False,False,False,39.151030328799976,39.151030328799976,"[""row 18: SOC 240.018347 exceeds capacity""]",charge at PARX_1 raises SOC to 240.2 > capacity 240.0,33caecc5249124ca13e0477d523dc96b6320b0dbbd4a28ca6917a3a45af53526
13302,50,240,240,0,False,False,False,40.63432390819983,63.44230700759984,"[""row 80: recharge exceeds power/window"", ""row 95: recharge exceeds power/window"", ""row 103: recharge exceeds power/window"", ""row 108: recharge exceeds power/window"", ""row 115: recharge exceeds power/window"", ""row 120: recharge exceeds power/window"", ""row 124: recharge exceeds power/window"", ""row 128: recharge exceeds power/window"", ""row 146: recharge exceeds power/window"", ""row 151: recharge exceeds power/window"", ""row 156: recharge exceeds power/window"", ""row 161: recharge exceeds power/window""]",charge 40.7 kWh exceeds 240 kW in 10 min at JON_A_0,de23c09b516a39a7ce583ce521b0f9ae94a3bb945333c3325e434c347d720bf1
13302,50,240,350,0,True,True,True,40.63432390819983,63.44230700759984,[],,de23c09b516a39a7ce583ce521b0f9ae94a3bb945333c3325e434c347d720bf1
13303,54,240,240,0,False,False,False,37.18453534420005,37.18453534420005,"[""row 184: recharge exceeds power/window"", ""row 192: recharge exceeds power/window"", ""row 199: recharge exceeds power/window"", ""row 206: recharge exceeds power/window"", ""row 211: recharge exceeds power/window"", ""row 218: recharge exceeds power/window"", ""row 224: recharge exceeds power/window"", ""row 229: recharge exceeds power/window"", ""row 238: recharge exceeds power/window"", ""row 245: recharge exceeds power/window""]",charge 33.2 kWh exceeds 240 kW in 7 min at JON_A_0,f11d542b977d5180a9d65a443ab9b4be58f5e6c7ef09ffd4f4f3616f47ce15e0
13303,54,240,350,0,True,True,True,37.18453534420005,37.18453534420005,[],,f11d542b977d5180a9d65a443ab9b4be58f5e6c7ef09ffd4f4f3616f47ce15e0
13304,37,240,240,0,False,False,False,41.89328959729999,95.92069576169995,"[""row 272: recharge exceeds power/window"", ""row 281: SOC 240.034998 exceeds capacity"", ""row 293: recharge exceeds power/window"", ""row 314: recharge exceeds power/window"", ""row 319: recharge exceeds power/window"", ""row 324: recharge exceeds power/window""]",charge 25.4 kWh exceeds 240 kW in 6 min at 3127L_0,e6b1adb266cd87dab3bb265c3c33c31524e5f1d5e03582661607523117673d71
13304,37,240,350,0,False,False,False,41.89328959729999,95.92069576169995,"[""row 281: SOC 240.034998 exceeds capacity""]",charge at PARX_1 raises SOC to 240.8 > capacity 240.0,e6b1adb266cd87dab3bb265c3c33c31524e5f1d5e03582661607523117673d71
13305,30,240,240,0,False,False,False,51.38765403320001,108.89297659680001,"[""row 368: recharge exceeds power/window"", ""row 373: recharge exceeds power/window"", ""row 378: recharge exceeds power/window"", ""row 382: recharge exceeds power/window""]",charge 120.2 kWh exceeds 240 kW in 24 min at 3127L_0,7e25329514de9704a5b47b4b4cf15b7125baabcad7b4d52d8454d9c0ed4ff8f0
13305,30,240,350,0,True,True,True,51.38765403320001,108.89297659680001,[],,7e25329514de9704a5b47b4b4cf15b7125baabcad7b4d52d8454d9c0ed4ff8f0
