case_id,chain,target_k,cohort,trip_count,recorded_fractional_route_weight,weighted_lp_objective,cg_certificate,cg_stop_reason,source_path,source_file_sha256,input_sha256,status,matches_last_priced_rmp,last_priced_rmp_objective,endpoint_minus_last_priced_objective,endpoint_source,endpoint_is_final_pool,endpoint_iteration,endpoint_pool_columns,later_unsolved_columns,final_lp_sha256,positive_support_sha256,saved_positive_route_count,mixed_positive_route_count,positive_route_count_above_1e_7,mixed_route_count_above_1e_7,total_saved_positive_lambda,mixed_group_lambda,pure_group_lambda,mixed_lambda_fraction,mixed_group_lambda_above_1e_7,positive_minus_reported_signed_mass,positive_objective_minus_recorded,minimum_trip_coverage_from_positive_support,max_recorded_bound_violation,end_to_end_group_assignment_verified
w1_k16,1,16,k,379,16.00000000000012,1600773.527766161,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k16/cg.json,5a934f9d29f006f70a093391ef49c2e8aa7da561f31aa1ac9ef86291f3499171,17e97c85813306233f6d78263f6ca46899f57614b5fed730ce0560ea7281ad07,verified_saved_endpoint,True,1600773.527766161,0.0,final_pool_resolve,True,206,135877,0,a37a38c7b4463c47f996e35497de5da0b7bf0f6f6bd9e5bc9e9006a9f3599923,c2f9e0d5539761cff5b6b847d6edfce11911376cf77e445f68d9f63271907ce8,235,43,225,38,16.000000000002117,2.4652381012836724,13.534761898718445,0.15407738133020912,2.4652381012828246,1.9966250874858815e-12,2.00001522898674e-07,0.9999999999998181,2.2843120908756414e-13,True
w2_k16,2,16,k,402,15.999999999999977,1600685.7013360031,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k16/cg.json,04e82d62b69783d8fa4f526e32575c61cfdbdced43a6a7abe20ad0dd7b6df95b,76b6f793a04d530b76993e734aef87810d6f0aeef06a86e5fd67426739420fd3,verified_saved_endpoint,True,1600685.7013360031,0.0,final_pool_resolve,True,199,110954,0,5e2e1744f2f6732370ec940ae079f45a56c7a149cea7a69274242de0192f25eb,79775e7352503b0577b97ef97185ce6e21e986a8dddd747f12d305dc41e3da91,256,35,231,26,16.000000000005354,2.6000000000021597,13.400000000003194,0.1625000000000806,2.600000000000127,5.377032152864558e-12,5.380716174840927e-07,0.9999999999995999,4.914402218503255e-13,True
w3_k16,3,16,k,352,15.999999999999963,1600580.7907903567,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k16/cg.json,433fed006c70499a69d5a60acfb82beece6036161b37e4f5f04f8b758dcde7c9,358fd3cd266b037fb01e1382c682912ca6074cc39862a188f2c38ac040a4d5fe,verified_saved_endpoint,True,1600580.7907903567,0.0,final_pool_resolve,True,341,79640,0,409fe7f332556ad19461ad229967c0803badb1713ff3e3a7cb42a42d49992251,ce1d8d03652b9254fee94a34b21fed976b1d6dd326adb1b845170d75b96957c0,241,42,241,42,15.999999999999963,2.723799213271237,13.276200786728726,0.1702374508294527,2.723799213271237,0.0,0.0,0.9999999999998967,0.0,True
w4_k16,4,16,k,407,16.000000000000295,1600712.3734439802,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k16/cg.json,0c55ca50d60f5990ad392aa14f25fcab67086c4070140b27a7e47fc01afab396,34a92b1b015d80e42d7e3a26c820f677402807ab5f754b66ce4fae0cc5bd85b7,verified_saved_endpoint,True,1600712.3734439802,0.0,final_pool_resolve,True,517,101328,0,986ad64279658fbe76bf07d7b9207d4d1ea9757abbf507216c8a6965e025872a,553e7a4db7b60ebeecae74cb3e2a00295839262f5d3b870e703eaeac1769ab32,261,43,245,37,16.00000000000169,3.2000000000009465,12.800000000000745,0.200000000000038,3.199999999999404,1.3962164757685969e-12,1.3969838619232178e-07,0.999999999999669,3.5512231015915134e-13,True
w5_k16,5,16,k,362,16.000000000000234,1600718.3061523081,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k16/cg.json,c3dbd4a1e3055e07e5504f48b5b3a2d53f580afe7c5c941cd15fcf0d72f928ba,6b369cad6fd86c11b032b81efb0a2cea16020e60d9f8de8eae8e672e994d3527,verified_saved_endpoint,True,1600718.3061523081,0.0,final_pool_resolve,True,653,95550,0,d6e3b54154df271af111055f5bee624c2c5cf635da3d8fda69f233a907f9a4ca,08318609791daba1bf61b3d22a585cd8a21fc86e7afae41f9ece1e0957185b38,220,53,211,49,16.000000000001645,3.477642692671005,12.52235730733064,0.21735266829191546,3.477642692670573,1.4104273304837989e-12,1.41095370054245e-07,0.999999999999655,1.7502665983215593e-13,True
w6_k16,6,16,k,388,15.999999999999984,1600662.900496011,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k16/cg.json,b343495a4027b33df780443b49b2724e11e9235860a162b31a6a315dca590537,a265ffaac7032c6fb26994d40b916b50b075d469b1e064f3ad6cee2dc2960aba,verified_saved_endpoint,True,1600662.900496011,0.0,final_pool_resolve,True,353,102207,0,3630fb514ee6ab7ca28f5c7a99e93f0a191b84fef6b1aa1fc1af084997d47d5c,5c5baabf9afce790686ef40d05dc006508036f21f6792ff17d6f238028bfcf08,251,55,229,45,16.00000000000634,3.1387550153465025,12.86124498465984,0.19617218845907866,3.1387550153443846,6.3575811282134964e-12,6.360933184623718e-07,0.999999999999696,7.759903830617532e-13,True
w1_k17,1,17,k,401,17.000000000000295,1700800.4040138263,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k17/cg.json,1d0846ed2e86e9e016b860f9d3d41d50bfeee0fe5495c58e1b0a28dd483a5100,0ea2a262f9907b6e7f5df8c6f4d6b87255f913cae1627dff82cb867d02674290,verified_saved_endpoint,True,1700800.4040138263,0.0,final_pool_resolve,True,380,146754,0,a9dff6b0232d39a4c44c219a49db617ab4268ab78b6f9e32b9a7846123c8f7cc,3ad769402a0c7843b1b20aed5aa83d969718c87388f060ae0f5f1c4301d6e48e,254,54,238,49,17.00000000000273,2.272958478868959,14.727041521133769,0.13370343993344672,2.272958478867905,2.433608869978343e-12,2.4354085326194763e-07,0.9999999999997452,3.7175817979573367e-13,True
w2_k17,2,17,k,433,16.999999999999936,1700731.7292930596,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/cg.json,30311ddb8ac29652324ce92b0110077c1414d3b7ccff211764a32cf59a980512,448c8830ca32a5f1f2b65c085a00b408ff86bb21b5e9a4170456ffb67d537b96,verified_saved_endpoint,True,1700731.7292930596,0.0,final_pool_resolve,True,445,124261,0,348d5504af924768b2897fc28289e2cda4a00ededee472067ab7ef9e2ff8131e,202549daffe006de528d74fdcf6fa20854d19880c3a97ac9e39555f21a5844d9,274,26,253,21,17.000000000003215,2.6666666666679837,14.333333333335231,0.156862745098087,2.666666666666811,3.2791547255328624e-12,3.282912075519562e-07,0.9999999999997,3.367514600505217e-13,True
w3_k17,3,17,k,369,17.00000000000036,1700643.357469441,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k17/cg.json,b8463be2527d6fc8a8ea257bb35d7d82fa828a4ee0cd3dbdbe9b8a1cab67d3b1,e5bedace48c6c16425fe6a98f1282a8ee2b665eeea4c82c743bafe367c842c6c,verified_saved_endpoint,True,1700643.357469441,0.0,final_pool_resolve,True,175,84732,0,9c68ba42a166cc53fff26ad511b9838647632e1c95732b6f0ba8921ea7204a16,bef8d521098e0845754769d23583079c701faab61c9263c9b08bab29d812a16c,269,41,259,38,17.00000000000225,3.0625000000008633,13.937500000001386,0.18014705882355636,3.0625000000003566,1.8900436771218665e-12,1.89291313290596e-07,0.9999999999997368,2.2072621508328893e-13,True
w4_k17,4,17,k,424,17.000000000000078,1700779.1686177808,True,certified,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k17/cg.json,cb3e66c6569420104c3d8d4dd60fcdb7902b4ba41274e834af04f9a48f7e2469,d82f857d9a2e7b34171cabac98906efb40d6aed4e5f43d6981529451c64e445d,verified_saved_endpoint,True,1700779.1686177808,0.0,final_pool_resolve,True,277,109428,0,048f5292f691223b86f1d4589e2384fd86b96469f435917ecbb6d483a68c354a,8a395fb367594955c9505a2a94f489a402ad0d6ea8b771a6ef2ab55cb3f9b68b,289,36,268,29,17.000000000004345,2.47658908441878,14.523410915585565,0.1456817108481263,2.4765890844176157,4.266809128239402e-12,4.2677856981754303e-07,0.9999999999995929,4.624356453319933e-13,True
