JobIDRaw|JobID|State|ExitCode|ElapsedRaw|Start|End|AllocCPUS|ReqMem|MaxRSS|NodeList|Restarts
294801|294801|COMPLETED|0:0|12860|2026-09-16T07:50:54|2026-09-16T11:25:14|8|24G||unicorn-cpu-01|0
294801.batch|294801.batch|COMPLETED|0:0|12860|2026-09-16T07:50:54|2026-09-16T11:25:14|8||14539460K|unicorn-cpu-01|
294801.extern|294801.extern|COMPLETED|0:0|12860|2026-09-16T07:50:54|2026-09-16T11:25:14|8|||unicorn-cpu-01|
294802|294802|COMPLETED|0:0|12913|2026-09-16T07:50:54|2026-09-16T11:26:07|8|24G||jingjie-cpu-06|0
294802.batch|294802.batch|COMPLETED|0:0|12913|2026-09-16T07:50:54|2026-09-16T11:26:07|8||16277372K|jingjie-cpu-06|
294802.extern|294802.extern|COMPLETED|0:0|12913|2026-09-16T07:50:54|2026-09-16T11:26:07|8|||jingjie-cpu-06|
307593|307593|COMPLETED|0:0|13084|2026-09-16T10:47:50|2026-09-16T14:25:54|8|24G||snavely-cpu-13|0
307593.batch|307593.batch|COMPLETED|0:0|13084|2026-09-16T10:47:50|2026-09-16T14:25:54|8||14417500K|snavely-cpu-13|
307593.extern|307593.extern|COMPLETED|0:0|13084|2026-09-16T10:47:50|2026-09-16T14:25:54|8|||snavely-cpu-13|
340949|340949|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||unicorn-cpu-76|0
340949.batch|340949.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||unicorn-cpu-76|
340949.extern|340949.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||unicorn-cpu-76|
340950|340950|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||garg-cpu-02|0
340950.batch|340950.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340950.extern|340950.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340952|340952|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||garg-cpu-02|0
340952.batch|340952.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340952.extern|340952.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340953|340953|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||garg-cpu-02|0
340953.batch|340953.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340953.extern|340953.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||garg-cpu-02|
340954|340954|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||sablab-cpu-02|0
340954.batch|340954.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||sablab-cpu-02|
340954.extern|340954.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||sablab-cpu-02|
340955|340955|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-04|0
340955.batch|340955.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-04|
340955.extern|340955.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-04|
340956|340956|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-04|0
340956.batch|340956.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-04|
340956.extern|340956.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-04|
340957|340957|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-01|0
340957.batch|340957.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340957.extern|340957.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340958|340958|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-01|0
340958.batch|340958.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340958.extern|340958.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340959|340959|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-01|0
340959.batch|340959.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340959.extern|340959.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340960|340960|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-01|0
340960.batch|340960.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340960.extern|340960.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340961|340961|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-01|0
340961.batch|340961.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340961.extern|340961.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-01|
340962|340962|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-02|0
340962.batch|340962.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340962.extern|340962.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340963|340963|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-02|0
340963.batch|340963.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340963.extern|340963.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340964|340964|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-02|0
340964.batch|340964.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340964.extern|340964.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340965|340965|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-02|0
340965.batch|340965.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340965.extern|340965.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340966|340966|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-02|0
340966.batch|340966.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340966.extern|340966.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-02|
340967|340967|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-08|0
340967.batch|340967.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340967.extern|340967.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340968|340968|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-08|0
340968.batch|340968.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340968.extern|340968.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340969|340969|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-08|0
340969.batch|340969.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340969.extern|340969.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-08|
340970|340970|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-06|0
340970.batch|340970.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340970.extern|340970.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340971|340971|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-06|0
340971.batch|340971.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340971.extern|340971.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340972|340972|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-06|0
340972.batch|340972.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340972.extern|340972.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340973|340973|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-06|0
340973.batch|340973.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340973.extern|340973.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-06|
340974|340974|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-07|0
340974.batch|340974.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
340974.extern|340974.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
340975|340975|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-07|0
340975.batch|340975.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
340975.extern|340975.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
340976|340976|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|24G||jingjie-cpu-07|0
340976.batch|340976.batch|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
340976.extern|340976.extern|RUNNING|0:0|1511|2026-09-16T17:52:17|Unknown|8|||jingjie-cpu-07|
341152|341152|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|32G||joachims-cpu-01|0
341152.batch|341152.batch|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||joachims-cpu-01|
341152.extern|341152.extern|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||joachims-cpu-01|
341153|341153|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|32G||joachims-cpu-02|0
341153.batch|341153.batch|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||joachims-cpu-02|
341153.extern|341153.extern|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||joachims-cpu-02|
341154|341154|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|32G||garg-cpu-02|0
341154.batch|341154.batch|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||garg-cpu-02|
341154.extern|341154.extern|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|||garg-cpu-02|
341155|341155|RUNNING|0:0|801|2026-09-16T18:04:07|Unknown|8|32G||garg-cpu-02|0
