341405|PENDING|(Dependency)|0:00|2-02:00:00|8|128G|
341379|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341377|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341375|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341373|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341371|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341369|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341367|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341365|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341363|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341361|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341359|PENDING|(Dependency)|0:00|5:00:00|8|96G|
341322|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341320|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341318|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341316|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341314|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341312|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341310|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341308|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341306|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341304|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341302|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341300|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341298|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341296|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341294|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341292|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341290|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341286|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341284|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341282|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341280|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341278|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341276|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341274|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341272|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341270|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341267|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341265|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341261|PENDING|(Dependency)|0:00|6:00:00|8|48G|
341406|PENDING|(Dependency)|0:00|4:30:00|8|24G|
341380|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341378|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341376|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341374|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341372|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341370|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341368|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341366|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341364|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341362|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341360|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341358|PENDING|(Dependency)|0:00|2:00:00|8|24G|
341323|PENDING|(Dependency)|0:00|1:15:00|8|24G|
