case_id,item,findings,chain,k,seed,fleet_seconds,status,result_path,result_sha256,buses,pool_fleet_bound,fleet_proven_in_pool,target_matched,physical_route_replay,duplicate_cleanup,ordered_pool_sha256,runtime_s,seed_observed
fresh_c1_k15_seed0,7,F5,1,15,0,10800,not_completed,,,,,,,,,,,
fresh_c1_k15_seed1,7,F5,1,15,1,10800,not_completed,,,,,,,,,,,
fresh_c1_k15_seed2,7,F5,1,15,2,10800,not_completed,,,,,,,,,,,
fresh_c2_k15_seed0,7,F5,2,15,0,10800,not_completed,,,,,,,,,,,
fresh_c2_k15_seed1,7,F5,2,15,1,10800,not_completed,,,,,,,,,,,
fresh_c2_k15_seed2,7,F5,2,15,2,10800,not_completed,,,,,,,,,,,
fresh_c3_k15_seed0,7,F5,3,15,0,10800,not_completed,,,,,,,,,,,
fresh_c3_k15_seed1,7,F5,3,15,1,10800,not_completed,,,,,,,,,,,
fresh_c3_k15_seed2,7,F5,3,15,2,10800,not_completed,,,,,,,,,,,
fresh_c4_k15_seed0,7,F5,4,15,0,10800,not_completed,,,,,,,,,,,
fresh_c4_k15_seed1,7,F5,4,15,1,10800,not_completed,,,,,,,,,,,
fresh_c4_k15_seed2,7,F5,4,15,2,10800,not_completed,,,,,,,,,,,
fresh_c5_k15_seed0,7,F5,5,15,0,10800,not_completed,,,,,,,,,,,
fresh_c5_k15_seed1,7,F5,5,15,1,10800,not_completed,,,,,,,,,,,
fresh_c5_k15_seed2,7,F5,5,15,2,10800,not_completed,,,,,,,,,,,
fresh_c6_k15_seed0,7,F5,6,15,0,10800,not_completed,,,,,,,,,,,
fresh_c6_k15_seed1,7,F5,6,15,1,10800,not_completed,,,,,,,,,,,
fresh_c6_k15_seed2,7,F5,6,15,2,10800,not_completed,,,,,,,,,,,
warm_w1_k32_seed1,9,F2/F5,1,32,1,10800,not_completed,,,,,,,,,,,
warm_w1_k32_seed2,9,F2/F5,1,32,2,10800,not_completed,,,,,,,,,,,
warm_w3_k32_seed1,9,F2/F5,3,32,1,10800,not_completed,,,,,,,,,,,
warm_w3_k32_seed2,9,F2/F5,3,32,2,10800,not_completed,,,,,,,,,,,
warm_w4_k32_seed1,9,F2/F5,4,32,1,10800,not_completed,,,,,,,,,,,
warm_w4_k32_seed2,9,F2/F5,4,32,2,10800,not_completed,,,,,,,,,,,
warm_w5_k32_seed1,9,F2/F5,5,32,1,10800,not_completed,,,,,,,,,,,
warm_w5_k32_seed2,9,F2/F5,5,32,2,10800,not_completed,,,,,,,,,,,
warm_w5_k31_seed0_12h,8,F2/F4,5,31,0,43200,not_completed,,,,,,,,,,,
warm_w1_k32_seed0,9,F2/F5,1,32,0,10800,reused_not_completed,,,,,,,,,,,
warm_w3_k32_seed0,9,F2/F5,3,32,0,10800,reused_finished,/home/nc437/ladder-lite/continuation_gaps12_20260916/cases/w3_k32_longmip/attempts/294801_r0/result.json,4b8363f9094232d219b2b80362a20429456e99cfb0db7898d8f8c9eb0d0e8c06,33,32.00000000000003,False,False,True,False,72ebd87045d298ee4ea597ba5e98422d52f464b3b3de2f68a43847d1001c5ddd,12611.20448064804,0
warm_w4_k32_seed0,9,F2/F5,4,32,0,10800,reused_finished,/home/nc437/ladder-lite/continuation_gaps14_20260916/cases/w4_k32_longmip/attempts/307593_r0/result.json,25e569ac2d8f5d12ca9701258845ba19649978701d715a13ce1bef6381cc6f0a,32,31.000000000000064,False,True,True,False,2ad64802fffb885a67e6889f2bb4b414dbb4e4cd3ea3b44d3943f647b8b59679,12613.759742975235,0
warm_w5_k32_seed0,9,F2/F5,5,32,0,10800,reused_finished,/home/nc437/ladder-lite/continuation_gaps12_20260916/cases/w5_k32_longmip/attempts/294802_r0/result.json,dd6a6d43f0d600bd82cb6dc60641103cd4bf505424f6dcc8f11f55f2d39fce51,32,31.00000000000006,False,True,True,False,42ff7885d30af71fdea9d3f569cf9cbcc102db6e0beb12fbfc0a3f5467b33f1f,12608.151831150055,0
