Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,2190,4:47,5:39,4808,20.865,41.7299995,1,2
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,2,572
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,3,227
Regular,4808,5:46,6:38,2190,21.25,42.5,4,10
Regular,4808,5:56,6:48,2190,21.25,42.5,5,11
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,6,228
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,7,773
Regular,2190,5:58,6:53,4808,20.865,41.7299995,8,12
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,9,492
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,10,367
Regular,2190,6:38,7:35,4808,20.865,41.7299995,11,20
Regular,13329,6:40,7:00,6480,11.706,23.4120007,12,214
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,13,233
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,14,371
Regular,2190,6:58,7:56,4808,20.865,41.7299995,15,24
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,16,373
Regular,JON_A,7:13,7:27,PC_9,6.171,12.342,17,892
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,18,238
Regular,PC_5,7:27,8:01,HED_E,10.088,20.1809998,19,376
Regular,PC_9,7:27,7:42,JON_B,6.191,12.3870001,20,893
Regular,2190,7:29,8:29,4808,20.865,41.7299995,21,30
Regular,PC_10,7:37,8:14,HED_E,11.168,22.3409996,22,244
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,23,380
Regular,PC_7,7:50,8:14,GMV_G,9.319,18.6380005,24,588
Regular,3127,7:53,8:07,13215,9.735,19.4699993,25,247
Regular,JON_A,7:53,8:07,PC_9,6.171,12.342,26,898
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,27,249
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,28,787
Regular,4808,8:03,9:03,2190,21.25,42.5,29,37
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,30,788
Regular,PC_5,8:07,8:40,HED_E,10.088,20.1809998,31,382
Regular,2190,8:09,9:09,4808,20.865,41.7299995,32,38
