VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,5:44,6:37,4808,,0.53,0.05,96.9849319,,20.865,41.7299995,79.33564,,9
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,6:42,7:40,2190,,0.58,0.0,84.9176636,,21.25,42.5,66.9426956,,21
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,7:49,8:49,4808,,1.0,0.07,81.2021255,,20.865,41.7299995,63.5528259,,34
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,8:56,9:52,2190,,0.56,0.0,77.2040405,,21.25,42.5,59.2290764,,47
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,10:00,10:57,4808,,0.57,0.07,72.9833679,,20.865,41.7299995,55.3340683,,60
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,11:04,11:59,2190,,0.55,0.0,69.5984344,,21.25,42.5,51.6234741,,73
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,12:39,13:37,4808,,0.58,0.07,51.4275131,,20.865,41.7299995,33.7782135,,92
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,13:44,14:40,2190,,0.56,0.0,49.5223045,,21.25,42.5,31.5473404,,105
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,15:19,16:22,4808,,1.03,0.06,42.7870674,,20.865,41.7299995,25.1377697,,124
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,16:28,17:27,2190,,0.59,0.04,39.2160606,,21.25,42.5,21.2410965,,137
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,17:41,18:38,4808,,0.57,0.04,42.1561317,,20.865,41.7299995,24.5068321,,152
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,18:42,19:35,2190,,0.53,0.0,33.9876823,,21.25,42.5,16.0127201,,163
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,19:49,20:45,4808,,0.56,0.12,46.3670082,,20.865,41.7299995,28.7177086,,172
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,20:57,21:49,2190,,0.52,0.0,55.5190697,,21.25,42.5,37.5441017,,181
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,22:30,23:24,4808,,0.54,0.12,57.0191383,,20.865,41.7299995,39.3698387,,190
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,2.0,4808,,23:36,24:26,2190,,0.5,0.0,64.9287033,,21.25,42.5,46.953743,,197
13407,PARX,5:08,25:33,PARX,20.25,377.285,PARX,Regular,5021.0,1.0,2190,,24:32,25:23,4808,,0.51,0.0,57.47155,,20.865,41.7299995,39.8222542,,200
