Location,Ref
,
1004,1004
1119,1119
1130,1130
1140,1140
1179,1179
1179C,1179C
1179P,1179P
12110,12110
12110C,12110C
12110L,12110L
12114,12114
12115,12115
12128,12128
12145,12145
12232,12232
12312,12312
12329,12329
12330,12330
12337,12337
12342,12342
12344,12344
12349,12349
12411,12411
12423,12423
12510,12510
12542,12542
12610,12610
12636,12636
12636C,12636C
12636P,12636P
12644,12644
12662,12662
12666,12666
12710,12710
12711,12711
12730,12730
12736,12736
12750,12750
12766,12766
12810,12810
12811,12811
12880,12880
1310,1310
13138,13138
13215,13215
13240,13240
13311,13311
13329,13329
13330,13330
13410,13410
13410C,13410C
13421,13421
13514,13514
13722,13722
14001,14001
14002,14002
1410,1410
14150,14150
14152,14152
1420,1420
14715,14715
14948,14948
1595,1595
1595P,1595P
1715,1715
17320,17320
1740,1740
1760,1760
18110,18110
18112,18112
18115,18115
18116,18116
18117,18117
18120,18120
18125,18125
18130,18130
1815,1815
18162,18162
18210,18210
18711,18711
19205,19205
19235,19235
19240,19240
1950,1950
2043,2043
2100,2100
2190,2190
2190C,2190C
2190L,2190L
2240,2240
2350,2350
2350C,2350C
2350L,2350L
2530,2530
2530C,2530C
2530L,2530
25456,25456
2580,2580
2695,2695
3127,3127
3127C,3127C
3127L,3127L
3160,3160
3170,3170
3180,3180
3215,3215
3235,3235
3245,3245
3640,3640
3645,3645
3680,3680
3680C,3680C
3860,3860
3940,3940
3980,3980
4100,4100
4290,4290
4290C,4290C
4290L,4290
4457,4457
4485,4485
4490,4490
4510,4510
4524,4524
4527,4527
4565,4565
4760,4760
4760C,4760C
4760L,4760
4808,4808
4808C,4808C
4940,4940
4945,4945
5120,5120
5125,5125
5147,5147
5175,5175
5180,5180
5320,5320
5421,5421
5460,5460
5630,5630
5710,5710
5767,5767
5865,5865
6125,6125
6145,6145
6225,6225
6242,6242
6260,6260
6480,6480
6650,6650
7200,7200
7300,7300
7340,7340
7470,7470
7485,7485
7488,7488
7492,7492
7498,7498
7500,7500
7506,7506
7581,7581
7600,7600
7630,7630
7880,7880
7880C,7880C
8566,8566
8570,8570
9620,9620
ARX,ARX
BGM,BGM
BUX,BUX
C_J,C_J
C_K,C_K
ETL,ETL
ETU,ETU
ET_H,ET_H
ET_K,ET_K
ET_P,ET_P
ET_R,ET_R
FTLL,FTLL
FTU,2530
FTXL,FTXL
F_C,2530
F_E,2530
F_F,2530
F_G,2530
F_J,2530
F_K,2530
F_L,F_L
GMV_G,GMV_G
GMV_H,GMV_H
GMV_P,GMV_P
GRIX,GRIX
GVX,GVX
GÅO_P,GÅO_P
HEDL,HEDL
HEDU,HEDU
HED_A,HED_A
HED_C,HED_C
HED_D,HED_D
HED_E,HED_E
HED_P,HED_P
HPU,3180
JBX,JBX
JON_A,JON_A
JON_B,JON_B
JON_P,JON_P
KB_A,KB_A
KB_B,3680
KB_C,KB_C
KEX,KEX
KEXC,KEXC
KRC_P,KRC_P
KRC_U,KRC_U
KRGL,KRGL
KRG_P,KRG_P
KS_B,KS_B
KS_E,KS_E
KS_G,KS_G
KS_H,KS_H
KS_P,KS_P
KÖ_A,4290
KÖ_F,4290
KÖ_P,KÖ_P
KÖ_U,4290
LA_C,LA_C
LA_E,LA_E
LISEA1,LISEA1
LISEC1,LISEC1
LIS_A,LIS_A
LIS_B,LIS_B
LP_D,LP_D
LP_E,LP_E
MB_B1,MB_B1
MB_B2,MB_B2
MB_B3,MB_B3
MB_B4,MB_B4
MB_B5,MB_B5
MB_B6,MB_B6
MB_B7,MB_B7
MB_B8,MB_B8
MGL,MGL
MGU,4760
MG_C,4760
MG_G,MG_G
MG_H,MG_H
MI_A10,MI_A10
MI_A4,MI_A4
MI_A5,MI_A5
MI_A7,MI_A7
MI_A8,MI_A8
MI_A9,MI_A9
MSTN10,MSTN10
MSTN11,MSTN11
MSTN_4,MSTN_4
MSTN_5,MSTN_5
MSTN_6,MSTN_6
MSTN_7,MSTN_7
MSTN_8,MSTN_8
MSTN_9,MSTN_9
MSTN_P,MSTN_P
MYTL,MYTL
MYT_P,MYT_P
MÖLCL,MÖLCL
MÖLC_D,MÖLC_D
MÖLC_H,MÖLC_H
MÖLC_J,MÖLC_J
MÖLC_P,MÖLC_P
PAGX,PAGX
PARX,PARX
PC_P,PC_P
PC_U,PC_U
RÄV,RÄV
RÄX,RÄX
SAX,SAX
SHX,SHX
cMYT,cMYT
ÖS_H,ÖS_H
ÖS_J,ÖS_J
