Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,F_K,5:20,5:52,3640,15.171,28.8248997,0,278
Regular,3640,6:07,6:37,F_K,13.098,24.886198,1,279
Regular,2350,6:57,7:20,3645,11.794,22.4085999,2,280
Regular,MG_C,7:45,8:05,2695,6.827,12.9713001,3,281
Regular,2695,8:07,8:27,MG_C,6.958,13.2202005,4,282
Regular,MG_C,8:30,8:58,4485,11.3,21.4699993,5,283
Regular,4485,9:00,9:28,MG_C,11.222,21.3218002,6,284
Regular,MG_C,9:43,9:57,F_J,4.683,8.89770031,7,285
Regular,F_E,10:00,10:08,3245,3.312,6.29279995,8,286
Regular,3245,10:09,10:17,F_E,3.148,5.98119974,9,287
Regular,F_K,10:20,10:57,3640,15.171,28.8248997,10,288
Regular,3640,11:04,11:37,F_K,13.098,24.886198,11,289
Regular,F_G,11:50,12:18,3180,11.809,22.4370995,12,290
Regular,3180,12:27,12:57,F_G,12.044,22.8835983,13,291
Regular,F_F,13:00,13:22,5125,8.949,17.0031013,14,292
Regular,5125,13:25,13:37,F_E,4.807,9.13329983,15,293
Regular,F_G,14:00,14:29,3180,11.809,22.4370995,16,294
Regular,3180,14:37,15:07,F_G,12.044,22.8835983,17,295
Regular,F_K,15:10,15:30,2350,7.51,14.2690001,18,296
Regular,2350,15:36,15:57,F_K,7.176,13.6344004,19,297
Regular,F_J,16:00,16:16,MG_C,4.875,9.26249981,20,298
Regular,MG_C,16:17,16:38,1179,6.853,13.7060003,21,299
Regular,1179,16:41,17:02,MG_C,6.93,12.473999,22,300
Regular,MG_C,17:23,17:37,F_J,4.683,8.89770031,23,301
Regular,F_E,17:40,17:52,5125,5.09,9.67100048,24,302
Regular,F_K,18:10,18:28,2350,7.51,14.2690001,25,303
Regular,3180,18:49,19:17,F_G,12.044,22.8835983,26,304
Regular,F_F,19:20,19:57,3640,14.2168,27.011919,27,305
Regular,3640,20:06,20:37,F_K,13.098,24.886198,28,306
Regular,F_C,5:31,6:05,7485,16.106,30.6014004,29,584
Regular,F_J,6:30,6:46,1179,6.331,12.6619997,30,585
Regular,1179,6:51,7:07,F_J,6.274,11.2931995,31,586
Regular,F_G,7:15,7:44,3180,11.809,22.4370995,32,587
Regular,3180,7:45,8:17,F_G,12.044,22.8835983,33,588
Regular,F_G,8:20,8:50,3180,11.809,22.4370995,34,589
Regular,3180,8:52,9:00,5320,2.074,3.94059968,35,590
Regular,3180,15:06,15:37,F_G,12.044,22.8835983,36,591
Regular,F_G,15:40,16:10,3180,11.809,22.4370995,37,592
Regular,3180,16:15,16:47,F_G,12.044,22.8835983,38,593
Regular,F_G,16:50,17:19,3180,11.809,22.4370995,39,594
Regular,3180,17:27,17:57,F_G,12.044,22.8835983,40,595
Regular,F_J,18:00,18:14,MG_C,4.875,9.26249981,41,596
Regular,MG_C,18:28,18:48,1179,6.853,13.7060003,42,597
Regular,1179,18:59,19:17,F_J,6.274,11.2931995,43,598
Regular,F_K,19:20,19:56,3640,15.171,28.8248997,44,599
Regular,3640,20:05,20:42,F_F,14.3405,27.2469501,45,600
Regular,F_J,20:45,21:02,1179,6.331,12.6619997,46,601
Regular,1179,21:08,21:28,MG_C,6.93,12.473999,47,602
Regular,MG_C,21:29,21:47,1179,6.853,13.7060003,48,603
Regular,1179,21:57,22:12,F_J,6.274,11.2931995,49,604
Regular,F_E,22:15,22:31,5125,7.147,13.5792999,50,605
Regular,5125,22:31,22:42,F_E,4.807,9.13329983,51,606
Regular,F_E,22:45,22:56,5125,5.09,9.67100048,52,607
Regular,5125,22:58,23:12,F_E,6.846,13.0074005,53,608
Regular,F_J,23:15,23:31,1179,6.331,12.6619997,54,609
Regular,1179,23:40,23:58,MG_C,6.93,12.473999,55,610
Regular,MG_C,23:59,24:17,1179,6.853,13.7060003,56,611
Regular,1119,7:28,7:47,3645,9.973,18.948698,57,1216
Regular,5630,8:14,8:39,1760,10.953,20.8106995,58,1217
Regular,3180,8:47,9:17,F_G,12.044,22.8835983,59,1218
Regular,F_E,9:20,9:32,5125,5.09,9.67100048,60,1219
Regular,5125,9:35,9:57,F_F,8.632,16.4007988,61,1220
Regular,F_J,10:00,10:15,MG_C,4.875,9.26249981,62,1221
Regular,MG_C,10:43,10:57,F_J,4.683,8.89770031,63,1222
Regular,F_G,11:00,11:28,3180,11.809,22.4370995,64,1223
Regular,3180,11:37,12:07,F_G,12.044,22.8835983,65,1224
Regular,F_G,12:10,12:38,3180,11.809,22.4370995,66,1225
Regular,3180,12:47,13:17,F_G,12.044,22.8835983,67,1226
Regular,F_K,13:20,13:58,3640,15.171,28.8248997,68,1227
Regular,3640,14:03,14:37,F_K,13.098,24.886198,69,1228
Regular,F_G,14:40,15:09,3180,11.809,22.4370995,70,1229
Regular,KÖ_A,6:06,6:48,4760,16.435,31.2264977,71,1314
Regular,4760,6:55,7:36,KÖ_F,15.979,30.3600998,72,1315
Regular,KÖ_A,7:43,8:31,4760,16.435,31.2264977,73,1316
Regular,4760,8:36,9:20,KÖ_F,15.979,30.3600998,74,1317
