Start Place,End Place,Base Duration,Energy used
1004,2190,10.0,11.0
1004,3215,10.0,10.4
1004,7492,7.0,11.8
1004,GRIX,24.0,27.6
1119,1130,18.0,25.0
1119,1179,12.0,15.6
1119,1179C,12.0,15.6
1119,1410,3.0,4.2
1119,1760,15.0,24.6
1119,2350,3.0,3.4
1119,2350C,3.0,3.4
1119,2530,7.0,6.4
1119,2530C,6.0,5.2
1119,3180,18.0,27.0
1119,3245,7.0,9.8
1119,3640,19.0,20.4
1119,3645,15.0,20.4
1119,3680,21.0,30.4
1119,3680C,19.0,30.2
1119,4100,9.0,12.0
1119,4485,18.0,24.2
1119,4490,15.0,25.6
1119,4760,13.0,17.2
1119,4760C,12.0,17.2
1119,5125,8.0,9.4
1119,5175,4.0,5.2
1119,5180,20.0,19.2
1119,5630,11.0,10.6
1119,5767,1.0,0.6
1119,7485,18.0,27.2
1119,7630,4.0,6.0
1119,8570,11.0,14.2
1119,9620,11.0,10.6
1119,BGM,11.0,14.2
1119,JBX,10.0,9.0
1119,KEX,20.0,28.4
1119,KEXC,20.0,28.4
1130,1179,24.0,32.0
1130,1179C,24.0,32.0
1130,13514,30.0,48.2
1130,1410,17.0,20.0
1130,14715,38.0,73.8
1130,14948,33.0,63.8
1130,1760,20.0,25.2
1130,19205,40.0,65.0
1130,19235,34.0,54.2
1130,2350,22.0,26.2
1130,2350C,22.0,26.2
1130,2530,18.0,21.6
1130,2530C,18.0,21.6
1130,3180,14.0,18.8
1130,3215,20.0,18.8
1130,3235,27.0,33.8
1130,3245,21.0,27.2
1130,3640,19.0,20.8
1130,3645,16.0,23.2
1130,3680,30.0,36.6
1130,3680C,30.0,36.6
1130,4100,14.0,14.4
1130,4485,32.0,45.0
1130,4490,16.0,17.4
1130,4760,14.0,19.0
1130,4760C,14.0,19.0
1130,5125,22.0,29.0
1130,5175,19.0,24.8
1130,5180,21.0,24.6
1130,5630,22.0,23.0
1130,5767,19.0,22.8
1130,5865,30.0,40.2
1130,6125,31.0,45.4
1130,7485,9.0,12.6
1130,7630,17.0,25.6
1130,9620,22.0,23.0
1130,BGM,13.0,15.6
1130,GRIX,23.0,22.2
1130,KEX,21.0,17.6
1130,RÄX,30.0,48.0
1130,SAX,28.0,45.4
1140,4100,9.0,11.8
1140,8566,15.0,17.0
1140,8570,10.0,13.0
1140,BGM,10.0,13.0
1140,KEX,15.0,17.0
1140,KEXC,15.0,17.0
1179,1179C,0,0
1179,1179P,0,0
1179,1410,10.0,14.4
1179,1760,22.0,32.8
1179,2350,15.0,19.2
1179,2350C,14.0,18.0
1179,2530,8.0,11.2
1179,2530C,8.0,11.2
1179,3180,23.0,34.2
1179,3245,12.0,14.0
1179,3640,15.0,20.2
1179,3645,18.0,25.6
1179,3680,19.0,24.2
1179,3680C,18.0,24.2
1179,4100,12.0,19.0
1179,4485,16.0,16.8
1179,4490,20.0,31.6
1179,4760,12.0,18.4
1179,4760C,12.0,18.4
1179,5125,14.0,17.4
1179,5175,12.0,15.4
1179,5180,19.0,22.2
1179,5630,20.0,22.4
1179,5767,13.0,16.8
1179,7485,19.0,33.0
1179,7630,12.0,14.0
1179,8566,26.0,36.2
1179,8570,17.0,23.0
1179,9620,20.0,22.4
1179,BGM,17.0,23.0
1179,JBX,10.0,8.4
1179,KEX,26.0,36.2
1179,KEXC,26.0,36.2
1179C,1410,10.0,14.4
1179C,1760,22.0,32.8
1179C,2350,14.0,19.2
1179C,2350C,14.0,18.0
1179C,2530,8.0,11.2
1179C,2530C,8.0,11.2
1179C,3180,23.0,34.2
1179C,3245,12.0,14.0
1179C,3640,15.0,19.0
