case_id,chain,target_buses,trip_count,fractional_route_weight,cg_pricing_certificate,input_sha256,cohort,18E1_giro_duties,18E1_service_overlap,18E1_direct_minimum,18E1_direct_edges,18E1_closure_relaxation_minimum,18E1_closure_relaxation_edges,18E2_giro_duties,18E2_service_overlap,18E2_direct_minimum,18E2_direct_edges,18E2_closure_relaxation_minimum,18E2_closure_relaxation_edges,mixed_giro_duties,mixed_service_overlap,mixed_direct_minimum,mixed_direct_edges,mixed_closure_relaxation_minimum,mixed_closure_relaxation_edges,segregated_closure_lp_fleet_lower_bound,segregated_direct_minimum,group_separation_closure_premium,segregated_closure_excludes_k_minus_1,mixed_recorded_lp_weight_minus_time_lower_bound
w1_k16,1,16,379,16.00000000000012,True,17e97c85813306233f6d78263f6ca46899f57614b5fed730ce0560ea7281ad07,k,7,7,7,5007,7,5007,9,9,9,33672,9,35526,16,15,16,38679,16,66509,16,16,0,True,1.2079226507921703e-13
w2_k16,2,16,402,15.999999999999977,True,76b6f793a04d530b76993e734aef87810d6f0aeef06a86e5fd67426739420fd3,k,5,5,5,2443,5,2443,11,11,11,49144,11,51362,16,16,16,51587,16,75630,16,16,0,True,-2.3092638912203256e-14
w3_k16,3,16,352,15.999999999999963,True,358fd3cd266b037fb01e1382c682912ca6074cc39862a188f2c38ac040a4d5fe,k,4,4,4,1329,4,1329,12,11,12,37699,12,41873,16,15,16,39028,16,57792,16,16,0,True,-3.730349362740526e-14
w4_k16,4,16,407,16.000000000000295,True,34a92b1b015d80e42d7e3a26c820f677402807ab5f754b66ce4fae0cc5bd85b7,k,5,5,5,2192,5,2192,11,11,11,51429,11,54059,16,16,16,53621,16,77400,16,16,0,True,2.948752353404416e-13
w5_k16,5,16,362,16.000000000000234,True,6b369cad6fd86c11b032b81efb0a2cea16020e60d9f8de8eae8e672e994d3527,k,7,7,7,4995,7,4995,9,9,9,29297,9,31257,16,16,16,34292,16,60642,16,16,0,True,2.3447910280083306e-13
w6_k16,6,16,388,15.999999999999984,True,a265ffaac7032c6fb26994d40b916b50b075d469b1e064f3ad6cee2dc2960aba,k,5,5,5,2318,5,2318,11,11,11,44939,11,47492,16,16,16,47257,16,70181,16,16,0,True,-1.5987211554602254e-14
w1_k17,1,17,401,17.000000000000295,True,0ea2a262f9907b6e7f5df8c6f4d6b87255f913cae1627dff82cb867d02674290,k,7,7,7,5007,7,5007,10,10,10,38806,10,41404,17,16,17,43813,17,74448,17,17,0,True,2.948752353404416e-13
w2_k17,2,17,433,16.999999999999936,True,448c8830ca32a5f1f2b65c085a00b408ff86bb21b5e9a4170456ffb67d537b96,k,5,5,5,2443,5,2443,12,12,12,58307,12,61478,17,17,17,60750,17,87806,17,17,0,True,-6.394884621840902e-14
w3_k17,3,17,369,17.00000000000036,True,e5bedace48c6c16425fe6a98f1282a8ee2b665eeea4c82c743bafe367c842c6c,k,5,5,5,2297,5,2297,12,11,12,37699,12,41873,17,16,17,39996,17,63315,17,17,0,True,3.588240815588506e-13
w4_k17,4,17,424,17.000000000000078,True,d82f857d9a2e7b34171cabac98906efb40d6aed4e5f43d6981529451c64e445d,k,6,6,6,3388,6,3388,11,11,11,51429,11,54059,17,16,17,54817,17,83752,17,17,0,True,7.815970093361102e-14
w5_k17,5,17,383,16.99999999999993,True,6e65114752b645b56741e29ed9b6c1e7b6e9a8da9a6463a7c5c825d50dbd1a38,k,7,7,7,4995,7,4995,10,10,10,34034,10,36563,17,17,17,39029,17,67909,17,17,0,True,-7.105427357601002e-14
w6_k17,6,17,402,17.00000000000005,True,d0180e450f5e159fa70c35d2a0a34a46268d4b3226e1a1a40898c0bbc894032f,k,6,6,6,3294,6,3294,11,11,11,44939,11,47492,17,17,17,48233,17,75083,17,17,0,True,4.973799150320701e-14
w1_k18,1,18,451,18.000000000000234,True,99440b3274a597fb09ecc5b7ba1ab28947c4d972616d1fd3a4cfab15df3a9910,k,7,7,7,5007,7,5007,11,11,11,53499,11,56710,18,17,18,58506,18,94558,18,18,0,True,2.3447910280083306e-13
w2_k18,2,18,455,18.00000000000025,True,1a6ba3ef7f15d7adaab285d8c901f1eacf6e09375df79ce0d1db2d9ddeecdac5,k,5,5,5,2443,5,2443,13,13,13,65032,13,69160,18,18,18,67475,18,96921,18,18,0,True,2.4868995751603507e-13
w3_k18,3,18,400,18.00000000000044,True,c6a037db955e54f59891f46b9fef5a7479bbf7530bbb7532c667e1c9703842b4,k,5,5,5,2297,5,2297,13,12,13,45772,13,51025,18,17,18,48069,18,74468,18,18,0,True,4.405364961712621e-13
w4_k18,4,18,440,17.999999999999783,True,feda8690d136bb879bdff415a6b6cc666ccb86bbcb56f670e800f5f2500220ab,k,6,6,6,3388,6,3388,12,12,12,56101,12,59235,18,17,18,59489,18,90161,18,18,0,True,-2.1671553440683056e-13
w5_k18,5,18,398,18.00000000000037,True,05b6ee5d0fca1ec4f546d2f18f2f7ac7ba85ce3befb750bd7c2333810b7cfe08,k,8,8,8,6506,8,6506,10,10,10,34034,10,36563,18,18,18,40540,18,73151,18,18,0,True,3.694822225952521e-13
w6_k18,6,18,432,17.999999999999748,True,0bff3387a3a683c459a370e76b4e69ba72e8d270ba893c75866baa31aecd6608,k,6,6,6,3294,6,3294,12,12,12,53861,12,56871,18,18,18,57155,18,86746,18,18,0,True,-2.5224267119483557e-13
w1_k19,1,19,493,19.00000000000017,False,1038593bb6493a922c3602f21aae658a739ee6fab215f7fd7e1ef322a0edbf1b,k,7,7,7,5007,7,5007,12,12,12,67800,12,71363,19,18,19,72807,19,113230,19,19,0,True,1.7053025658242404e-13
w2_k19,2,19,463,19.000000000000085,True,0331ea1769e6d3a460299e6c551b86171a3572351dfa2502edcba8975ca579d2,k,5,5,5,2443,5,2443,14,14,14,67410,14,72012,19,19,19,69853,19,100291,19,19,0,True,8.526512829121202e-14
w3_k19,3,19,430,19.000000000000142,True,dfe99e49ab3efb3bddfefc57e97269a98cf227c93815d1017a91a7a7f77287b1,k,5,5,5,2297,5,2297,14,13,14,54729,14,60755,19,18,19,57026,19,86109,19,19,0,True,1.4210854715202004e-13
w4_k19,4,19,494,18.999999999999872,False,6256a26241416f81efbba9cd46aae5e7be900cbc3aea1b3744218ae4e94e5b61,k,6,6,6,3388,6,3388,13,13,13,74854,13,78875,19,18,19,78242,19,114062,19,19,0,True,-1.2789769243681803e-13
w5_k19,5,19,452,18.999999999999698,False,7d7b1c55460635ac8b4803f7de48d14c3702caacefdae552b3b7cebfe49461bc,k,8,8,8,6506,8,6506,11,11,11,48960,11,52333,19,19,19,55466,19,94838,19,19,0,True,-3.019806626980426e-13
w6_k19,6,19,445,19.00000000000018,True,9f35327b913849b5988aadc69a18c9cf0a2763cdfbf85306ce446899ecb28167,k,7,7,7,4354,7,4354,12,12,12,53861,12,56871,19,19,19,58215,19,91774,19,19,0,True,1.8118839761882555e-13
w1_k20,1,20,509,19.99999999999968,False,81dccf8079752af8b04f5044655e4c8c039e43c513493d7a539cdeaec61e32dc,k,7,7,7,5007,7,5007,13,13,13,73082,13,77325,20,18,20,78089,20,120699,20,20,0,True,-3.197442310920451e-13
w2_k20,2,20,478,19.999999999999897,True,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,k,6,6,6,3521,6,3521,14,14,14,67410,14,72012,20,20,20,70931,20,106606,20,20,0,True,-1.0302869668521453e-13
w3_k20,3,20,447,19.99999999999998,True,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,k,6,6,6,3515,6,3515,14,13,14,54729,14,60755,20,19,20,58244,20,92798,20,20,0,True,-2.1316282072803006e-14
w4_k20,4,20,509,19.999999999999904,True,ca5a9a1c54ff25317905656cdd9a9cc5a634eb09df9ee9ef4821a3250d5ceb30,k,7,7,7,4632,7,4632,13,13,13,74854,13,78875,20,19,20,79486,20,120780,20,20,0,True,-9.592326932761353e-14
w5_k20,5,20,488,19.999999999999932,True,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,k,8,8,8,6506,8,6506,12,12,12,59598,12,64324,20,20,20,66104,20,110760,20,20,0,True,-6.750155989720952e-14
w6_k20,6,20,459,19.999999999999712,True,27b3ff58da15ecef2b9dc00337e5c7714c0bcd5721016f36fb3d21a722fb5d1a,k,8,8,8,5663,8,5663,12,12,12,53861,12,56871,20,20,20,59524,20,97419,20,20,0,True,-2.877698079828406e-13
w1_k21,1,21,517,20.999999999999286,False,1a0a37471f17db5809c083bdc82a2ad13d871c96320b638afc2bb31d899952e2,k,7,7,7,5007,7,5007,14,14,14,75609,14,80343,21,19,21,80616,21,124463,21,21,0,True,-7.140954494389007e-13
w2_k21,2,21,493,20.999999999999943,True,f2ac0f50f42b32fbebbbc860a81e068f0ab1ecaab1c97f22e4dc493b066b9484,k,7,7,7,4788,7,4788,14,14,14,67410,14,72012,21,21,21,72198,21,113104,21,21,0,True,-5.684341886080802e-14
w3_k21,3,21,493,21.000000000000288,True,dab242bca0678fca8b30bdbe9389ea6cda6916939a3a496d6d0432dd0f10cff1,k,6,6,6,3515,6,3515,15,14,15,70692,15,77500,21,20,21,74207,21,113237,21,21,0,True,2.877698079828406e-13
w4_k21,4,21,542,21.000000000000252,False,a1838b57a17da0c4f9637f517871b70f6a4f616f1d2833804484ace290f7bdab,k,7,7,7,4632,7,4632,14,14,14,87143,14,92165,21,20,21,91775,21,137115,21,21,0,True,2.5224267119483557e-13
w5_k21,5,21,519,21.000000000000103,False,42c8813a6d46e3d7cc289a2808efcc17ae324ad0109b405fd5cd46201aaa3691,k,8,8,8,6506,8,6506,13,13,13,69623,13,75573,21,21,21,76129,21,125377,21,21,0,True,1.0302869668521453e-13
w6_k21,6,21,480,20.99999999999962,True,a5f5028e21af3e30b86eb3e9b10b23b320be161a0e038f840dba2e8054423fb7,k,8,8,8,5663,8,5663,13,13,13,60101,13,63912,21,21,21,65764,21,106544,21,21,0,True,-3.801403636316536e-13
w1_k22,1,22,529,21.9999999999995,True,e9b9fb5fa11877ee5fbf2db1ad2b01bb4793d13d34da5de2ac270b071e9d9885,k,8,8,8,6197,8,6197,14,14,14,75609,14,80343,22,20,22,81806,22,130082,22,22,0,True,-5.009326287108706e-13
w2_k22,2,22,510,22.000000000000234,True,6dd3487797a2bace681ecb9aea2fdd99a2880db11b03789ecef53d3186fbd294,k,8,8,8,6493,8,6493,14,14,14,67410,14,72012,22,21,22,73903,22,120784,22,22,0,True,2.3447910280083306e-13
w3_k22,3,22,508,22.00000000000019,True,6f6fe008df2765b6c7f7cc6211922a0910642e0fd1751bcc3d7ede8afce44976,k,7,7,7,4810,7,4810,15,14,15,70692,15,77500,22,21,22,75502,22,119993,22,22,0,True,1.8829382497642655e-13
w4_k22,4,22,550,21.999999999999705,True,cf50f0082407eb9cb5317797ebcd3a088184fcd27fe8721eac50348d163a66c0,k,7,7,7,4632,7,4632,15,15,15,89888,15,95462,22,21,22,94520,22,141125,22,22,0,True,-2.948752353404416e-13
w5_k22,5,22,541,21.999999999999492,False,86fcf27aec87222f92c576f4f13e963768724a3e7fa97c91e01d29c985be9cd3,k,8,8,8,6506,8,6506,14,13,14,76955,14,84067,22,21,22,83461,22,136224,22,22,0,True,-5.080380560684716e-13
