case_id,original_case,chain,target_k,treatment,replicate,original_buses,original_fleet_stage_minutes,original_fleet_stage_nodes,longer_buses,longer_fleet_stage_minutes,buses,pool_fleet_bound,fleet_proven,target_matched,individual_route_replay,stage1_buses,stage1_status,fleet_stage_minutes,fleet_stage_nodes,stage1_budget_s,total_budget_s,solver_host,wrapper_host,gurobi_version,threads,seed,process_wall_s,process_user_cpu_s,process_system_cpu_s,ordered_pool_sha256,same_input_hashes,same_start_summary,original_result_path,original_result_sha256,result_path,result_sha256,execution_commit,snapshot_sha256
w2_k17_original_budget_repeat1,w2_k17,2,17,original_budget_repeatability,1,18,30.076845773061116,402.0,17,25.21369969447454,17,17.0,True,True,True,17,OPTIMAL,22.69646781682968,860.0,1800,3600,jingjie-cpu-06.mae.cornell.edu,en-cc-unicorn-cpu-55.coecis.cornell.edu,12.0.3,8,0,3733.595236488851,11599.633266,273.810566,60862667ec8a287ed0ca523dc6eaf5d4245e9d324b31614023c71ff222622e84,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat1/mip_result.json,3da7fcef1cc30bf615be2da3ee215bc2c8029cb96151964ad170da4c9a6ab3eb,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k17_original_budget_repeat2,w2_k17,2,17,original_budget_repeatability,2,18,30.076845773061116,402.0,17,25.21369969447454,17,17.0,True,True,True,17,OPTIMAL,24.24032211303711,860.0,1800,3600,jingjie-cpu-06.mae.cornell.edu,en-cc-unicorn-cpu-55.coecis.cornell.edu,12.0.3,8,0,3731.712932532886,11969.036934,255.478941,60862667ec8a287ed0ca523dc6eaf5d4245e9d324b31614023c71ff222622e84,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat2/mip_result.json,be7d9612a58eee7005026cb5fd16cc04bbe9c126d4c9f7e569830501ce8db859,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k17_original_budget_repeat3,w2_k17,2,17,original_budget_repeatability,3,18,30.076845773061116,402.0,17,25.21369969447454,17,17.0,True,True,True,17,OPTIMAL,23.883096186319985,860.0,1800,3600,jingjie-cpu-06.mae.cornell.edu,en-cc-unicorn-cpu-55.coecis.cornell.edu,12.0.3,8,0,3731.258577177068,11998.159587,261.79432499999996,60862667ec8a287ed0ca523dc6eaf5d4245e9d324b31614023c71ff222622e84,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat3/mip_result.json,6ac1279cbeb242f2ecc719b355c9c0bf247e3713c32289cd67001a3bfb055b34,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k18_original_budget_repeat1,w2_k18,2,18,original_budget_repeatability,1,19,30.171984120210013,227.0,18,10.03578330675761,18,18.0,True,True,True,18,OPTIMAL,9.24065231482188,290.0,1800,3600,jingjie-cpu-06.mae.cornell.edu,en-cc-unicorn-cpu-55.coecis.cornell.edu,12.0.3,8,0,3743.2025104649365,10473.984819,279.881565,835b47f33f35e5a08f7c80095ba4e8329a549c8186130f53a6447cf318cbdd68,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat1/mip_result.json,e8fd49fce7ca13bcb862c05b76f00f261e48f8fa6128d59f0ac0f1d1d69000f8,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k18_original_budget_repeat2,w2_k18,2,18,original_budget_repeatability,2,19,30.171984120210013,227.0,18,10.03578330675761,18,18.0,True,True,True,18,OPTIMAL,8.554085691769918,290.0,1800,3600,jingjie-cpu-01.mae.cornell.edu,en-cc-unicorn-cpu-50.coecis.cornell.edu,12.0.3,8,0,3742.9484613048844,11497.530594,257.774606,835b47f33f35e5a08f7c80095ba4e8329a549c8186130f53a6447cf318cbdd68,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat2/mip_result.json,87afce41338a3d9d253f7b0cf1a39c041f6113354b948b45333b13ba33e869a0,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k18_original_budget_repeat3,w2_k18,2,18,original_budget_repeatability,3,19,30.171984120210013,227.0,18,10.03578330675761,18,18.0,True,True,True,18,OPTIMAL,8.595140186945597,290.0,1800,3600,jingjie-cpu-01.mae.cornell.edu,en-cc-unicorn-cpu-50.coecis.cornell.edu,12.0.3,8,0,3742.92247830797,11480.568443,254.00419599999998,835b47f33f35e5a08f7c80095ba4e8329a549c8186130f53a6447cf318cbdd68,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat3/mip_result.json,58ce3f96e9d0e5fa84c56e810f427e5b78be94462fda699b8745c4fd3ebd7e6f,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k19_original_budget_repeat1,w2_k19,2,19,original_budget_repeatability,1,20,30.15736973285675,214.0,19,17.40641967058182,19,19.0,True,True,True,19,OPTIMAL,14.98566919962565,216.0,1800,3600,jingjie-cpu-01.mae.cornell.edu,en-cc-unicorn-cpu-50.coecis.cornell.edu,12.0.3,8,0,3748.9646628713235,10991.568445,266.309748,f7150ed0382534b7455a9b5926e8599ab8e31ff1ec49781fc5b3ad1867a0f061,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/mip/133936_r0/result.json,fc1f2a0831a059414e6e6cf5277397aa895c2254275c9fb487758aaf7295318f,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat1/mip_result.json,75016e9472eedde14b7163dfe18169af14664d7bae61caf5d6d0ff54fe651eaa,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k19_original_budget_repeat2,w2_k19,2,19,original_budget_repeatability,2,20,30.15736973285675,214.0,19,17.40641967058182,19,19.0,True,True,True,19,OPTIMAL,15.009911104043324,216.0,1800,3600,jingjie-cpu-01.mae.cornell.edu,en-cc-unicorn-cpu-50.coecis.cornell.edu,12.0.3,8,0,3750.119227222167,10990.538132000001,267.961214,f7150ed0382534b7455a9b5926e8599ab8e31ff1ec49781fc5b3ad1867a0f061,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/mip/133936_r0/result.json,fc1f2a0831a059414e6e6cf5277397aa895c2254275c9fb487758aaf7295318f,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat2/mip_result.json,155f1bf8f0e27f5922fc3e944a1e8e5921bab32e9017f0973cbc28f4592c6b86,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k19_original_budget_repeat3,w2_k19,2,19,original_budget_repeatability,3,20,30.15736973285675,214.0,19,17.40641967058182,19,19.0,True,True,True,19,OPTIMAL,14.92523061434428,216.0,1800,3600,jingjie-cpu-01.mae.cornell.edu,en-cc-unicorn-cpu-50.coecis.cornell.edu,12.0.3,8,0,3750.2382115540095,10827.971843000001,263.938193,f7150ed0382534b7455a9b5926e8599ab8e31ff1ec49781fc5b3ad1867a0f061,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/mip/133936_r0/result.json,fc1f2a0831a059414e6e6cf5277397aa895c2254275c9fb487758aaf7295318f,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat3/mip_result.json,ec89d3542c2f86c86c1d8fef3a28cfdc6081544e70560474e8ce56d334c51bbc,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k20_original_budget_repeat1,w2_k20,2,20,original_budget_repeatability,1,21,30.16129262447357,150.0,20,20.998239620526633,20,20.0,True,True,True,20,OPTIMAL,17.773765591780343,403.0,1800,3600,jingjie-cpu-02.mae.cornell.edu,en-cc-unicorn-cpu-51.coecis.cornell.edu,12.0.3,8,0,3754.1768928016536,13724.277943,192.399552,828de0b13f67e385101da00ee59c5b591aa8054aedd825c10d6deae7d46a1805,True,True,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k20/mip/133938_r0/result.json,51aec9eaf9299a4d76cfeab92a069596da463fe3215d6bff56f478588dce4b01,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k20_original_budget_repeat1/mip_result.json,c28b02d8e08b6f57f1821d7ec9b9db305bf0531406ab6dd8ac876c10c407aefe,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
