case_id,pair_id,chain,target_k,treatment,inherited_sequences,cg_minutes,cg_certified,stopping_reason,weighted_lp_objective,fractional_route_weight,minimum_reduced_cost,buses,pool_fleet_bound,fleet_proved_in_pool,individual_route_replay,mip_minutes,input_sha256,cg_path,cg_sha256,mip_path,mip_sha256
c1_k08_core,c1_k08,1,8,previous_k_core,95,38.54269082287792,True,certified,800383.6879776372,7.999999999999999,-6.987761480559129e-10,,,,,,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c1_k08_core/cg.json,5933ef1e0cc7879d83943e2ab55c580fb9080c25ca4661d48f233605a59b681e,,
c1_k08_core512,c1_k08,1,8,previous_k_core512,512,31.422294972852495,True,certified,800383.687977637,7.999999999999998,-6.128999530119472e-10,8,8.0,True,True,3.801745045185089,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c1_k08_core512/cg.json,a0b3c88662f6075e5bda1dfed401bf051d48d20162e8892b8b7e1b8946e58e4c,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c1_k08_core512_mip/mip_result.json,243baa47022f27f92afb166dc52a70030a45b171961f1096cae6497eb0fe86f2
c2_k08_core,c2_k08,2,8,previous_k_core,83,15.472018244063172,True,certified,800235.9144683575,8.000000000000012,-1.3150183164611917e-09,8,8.0,True,True,20.57215773264567,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c2_k08_core/cg.json,90d3050bee1ddcbfe99ec8f07afc7c8001c44429482c1d7b721454eb902d6c2e,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c2_k08_core_mip/mip_result.json,13ccc820bfe41691c0a40012299531e0808fe24e503f03c12207f4d09e0baa29
c2_k08_core512,c2_k08,2,8,previous_k_core512,512,14.192687129233187,True,certified,800235.9144683565,8.000000000000002,-4.137805653670057e-10,,,,,,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c2_k08_core512/cg.json,b358975c97fbba34e79d920f904dea90b744e65c4f1abfbb39943ac42cbc242b,,
c3_k08_core,c3_k08,3,8,previous_k_core,82,10.217378551210277,True,certified,800212.6874725138,7.999999999999863,-6.59341496866972e-05,8,8.0,True,True,0.8961007436116536,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c3_k08_core/cg.json,ee9f8aff7b081f75b0921397aca50170f870a4c7d6b7da7be6f8f92f6c5eb2c8,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c3_k08_core_mip/mip_result.json,328eca1007bcc0855344ba48a24743aafecb7d09dec4536efa90ce14259c68de
c3_k08_core512,c3_k08,3,8,previous_k_core512,512,5.4989428265020255,True,certified,800212.6874725262,7.999999999999987,-6.593528792508963e-05,8,8.0,True,True,0.4736744960149129,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c3_k08_core512/cg.json,6b31107a19779ec1ad296d424af2f41b4cc097ac671602a107fa51f9937e7bf4,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c3_k08_core512_mip/mip_result.json,061d2cdf6ff5701fa753515aba9190e63cec460087957776a1f55f6fc7f47842
c4_k08_core,c4_k08,4,8,previous_k_core,74,,,,,,,,,,,,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,,,,
c4_k08_core512,c4_k08,4,8,previous_k_core512,512,36.40219638973164,True,certified,800359.8182244881,8.000000000000032,-1.9636177128745658e-09,,,,,,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c4_k08_core512/cg.json,ab6aa120754f340d81173ee2c2de9581a043cec79f32c11cb847636eff69ba93,,
c5_k08_core,c5_k08,5,8,previous_k_core,102,14.033678530730928,True,certified,800431.772269616,8.000000000000018,-1.093475532343291e-09,8,8.0,True,True,0.7458094318707784,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c5_k08_core/cg.json,f95ece0d6b4fe2ffcf187ac83663d8db336fe81501b2626c65aa07f6782f66da,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c5_k08_core_mip/mip_result.json,c0ef20be3e6967d450720733a5175e9b6a1ab871fe252721106417e5ad3f3040
c5_k08_core512,c5_k08,5,8,previous_k_core512,512,6.466030730935745,True,certified,800431.7722696142,7.999999999999999,-1.9126744632558257e-09,8,8.0,True,True,0.34168638785680133,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c5_k08_core512/cg.json,4329d86dbb41124a6d19d3f018c59248eea7a8c0adfd1829a5358613e1eb3465,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c5_k08_core512_mip/mip_result.json,410ce14d626c8c20aa7fb48d92557c7166d5efcfe8bd263b0dcad0ffd091942f
