case,iterations,weighted_objective,fractional_weight,min_rc,artificials,cg_minutes,pool_columns,source_path,source_sha256,input_sha256,execution_commit,rc_tolerance
d00_g0,239,800291.3712000034,8.000000000000036,-1.5220926741221774e-09,0.0,27.712757150588246,6145,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g0/cg.json,93fa2da0cae23f05cfc811c256e70d2df89a04e20c701c5aa91c4deb59fdfcc1,0ee1ff2b04d5ab75e40dfc841dbf91f4383a6b612e2a7db017e4b5d80f099f89,a29992196acb74d02b8c7891be4061718889999f,0.0001
d00_g1,444,800370.1011284214,8.000000000000004,-3.158571182382275e-10,0.0,52.15514464251076,12699,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g1/cg.json,349fa2849b62c5f62cf29d224c1ced912e425d64e92a4e00e2f49bcdeae7a492,0c8cec257e17dec782f82fc3d078bf489ff09eedaa27ee03f6e80c36dbe91696,a29992196acb74d02b8c7891be4061718889999f,0.0001
d02_g0,1229,800385.0365290325,8.000000000000002,-8.416680685741085e-10,0.0,116.15798725875405,35691,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g0/cg.json,88d32372407703aa414f41a7c56729e2998f8c9cc3c14863a26473a09c09db10,ee2fe18cfc566c6831384bfc22cf07906799cc50158bf669383899442b30532c,a29992196acb74d02b8c7891be4061718889999f,0.0001
d02_g3,1029,800353.082857142,7.999999999999991,-4.822644505964035e-10,0.0,73.30175290654103,29073,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g3/cg.json,0fa1f1abe151ffd977eff08387e27d4b5574f20264bd93cc6d8541febb6a4418,31d01d3cb20cf7bded81427307361a36da72ad3d3db7695af5e5c75c6e1edf9a,a29992196acb74d02b8c7891be4061718889999f,0.0001
d03_g0,922,800363.8363762498,8.000000000000021,-1.1289023049698699e-09,0.0,84.84588574458225,25616,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g0/cg.json,3a3a800652ee15561ba3eb9b05e96d9fa6fb2f6c22e94d11521a53a548167be9,af3fe734949ae655894da2c7c5606be8805e02011e47b42078c1bcddea5e7d8a,a29992196acb74d02b8c7891be4061718889999f,0.0001
d03_g1,991,800397.6918128566,8.000000000000057,-6.842260091843855e-10,0.0,91.82101965359567,27998,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g1/cg.json,fd9b5019364098859b8cab340ef643516b69f5d96a99f32c8e6a8abc2aee3965,133bdaeb52aab6707e2b9be412d1cfa25d4e51f096fc3ecd54db0d79a3f779e7,a29992196acb74d02b8c7891be4061718889999f,0.0001
d03_g2,981,800235.6160975916,7.999999999999957,-1.5456915747336097e-09,0.0,113.9360173514889,27817,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g2/cg.json,eceb89dbb11ffa57395321762a8ce10d9108557817ca4ff016407db826c228c7,c6c5534343731e024036f9933fa559379e9d978355c763232b1c7d87ec4d2b89,a29992196acb74d02b8c7891be4061718889999f,0.0001
d04_g2,712,800303.7322807806,7.999999999999974,-1.0989413823381255e-09,0.0,57.644083660732335,20221,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d04_g2/cg.json,14af9c270563dda8e864d6a410e38a243b4fdd869b7503e3a32cd81f773e75b6,73b50096d2c7a8768ac84e5a8f8d513d150f8c71f7673ff92c625559cf674df9,a29992196acb74d02b8c7891be4061718889999f,0.0001
d05_g1,911,800302.1237913055,8.000000000000012,-6.928955187390784e-10,0.0,79.003321361988,23415,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g1/cg.json,e7f93dd381cd0613f1ea2479dfb3bd7dc668593978855ce1cd21d3ea30f9f5e1,54c5684f43771ba1b6f48c6ee5743eb91b9ec274f6997214790836955de5233b,a29992196acb74d02b8c7891be4061718889999f,0.0001
d05_g3,768,800299.2886575357,8.000000000000014,-3.127258452195747e-10,0.0,56.27497960422188,21514,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g3/cg.json,de3e8394f2e63e2c46e4e75c0e6cf8909a1f2a3ea56617da8c48220306f16b0c,1fae176ede68b555f4826f25217db4e1a894f28dbc813cd02b0f2854d1154318,a29992196acb74d02b8c7891be4061718889999f,0.0001
d06_g2,547,800271.8719999997,7.999999999999997,-9.941185652451168e-10,0.0,48.77667100039932,15612,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d06_g2/cg.json,696c3fad05567ab9864f65414f1bbd4a4b4fecde15e979cd0afe6827fb16c298,59a26432f704fcc837800fe087a4540787cecbc719da09cd43a3ee551cdc0a5a,a29992196acb74d02b8c7891be4061718889999f,0.0001
d07_g0,1447,800334.9560459702,8.0,-8.426255249105452e-10,0.0,122.9618396265277,42769,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g0/cg.json,8574623d809402d236b962b4778dd70114457c85de4d6f2cd1d78a12e482281c,1ad9967ed28bfb2688a53adc4d0f18e34d17254ed1760c1b08d67ab03f75ef60,a29992196acb74d02b8c7891be4061718889999f,0.0001
d07_g1,1165,800383.5396146193,8.000000000000014,-1.428138940440249e-09,0.0,84.54372699527691,33054,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g1/cg.json,cc6fa7c248fc8ea548de41034a30dcbffaa80b4f7bcffb3ae601e54d811a3f76,62ca4aa05e878d591f8254f90b278db2e58a989401db872a76530423da758a9c,a29992196acb74d02b8c7891be4061718889999f,0.0001
d08_g0,532,800310.2146666714,8.000000000000048,-1.207757449606106e-09,0.0,50.88296385424522,15461,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g0/cg.json,9e2998c1843a0cde580c813be71ed41260bbd9356ab2416bc56e0a7b6486a334,1d5665f380375eedb85217d9a20d235ca9aa4feb8939291a91ca8abf72b796a0,a29992196acb74d02b8c7891be4061718889999f,0.0001
d08_g3,1137,800301.5364791151,8.000000000000027,-9.903882158823762e-10,0.0,107.6663980240856,32687,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g3/cg.json,704673120dfd93cbf3caf25ba4e9df909e4fd5a41d790572611cd9eaf711f42f,4a5d12de1eff0216516da341eede23992a95e5255c27c1e40cf2078334a79a90,a29992196acb74d02b8c7891be4061718889999f,0.0001
d09_g0,1064,800313.1942346385,8.000000000000016,-1.6515926404281345e-09,0.0,74.15396433779581,29767,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g0/cg.json,dafee33b58a25c90cfafa572978a027d5d6a28c96af90418ad1e98c15e1261af,b763752c2b2f3f726298533c74b3dee8487356189c3924e44cd4e23207e57fc9,a29992196acb74d02b8c7891be4061718889999f,0.0001
d09_g1,1373,800356.2386413004,7.999999999999981,-7.033893467678354e-10,0.0,126.7918059238155,38345,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g1/cg.json,9163623c8aea824fa66f8806e25301494c348d431e9d87d46f21f170617a42cc,f45f77989359645fa4f72022b2571a447282198cadad8f2e0555707177acb243,a29992196acb74d02b8c7891be4061718889999f,0.0001
d09_g2,1545,800388.1523036278,8.000000000000002,-2.341579374842695e-09,0.0,111.8258385406807,43892,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g2/cg.json,68988c7daabd809186e72bc7d4b75db284ce320b79f15711a4362cec05187452,47337f4aafdffec3fc107c89c5d6102e1a68023d623ba78c53966c43fc5bfdd9,a29992196acb74d02b8c7891be4061718889999f,0.0001
w1_k07,942,700313.4570986059,7.000000000000007,-5.431814997791662e-10,0.0,53.64970807080002,26195,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/cg.json,851553ece66ddb9b55b1cddb6cceb55c3af660d32d3df6a491347f5b239aa641,c1ddecd62cc584d309a486886062f26c4dc8adc2221fc621a47d9c30713304d6,a29992196acb74d02b8c7891be4061718889999f,0.0001
w1_k08,806,800383.6879776368,7.999999999999996,-8.817284680162629e-10,0.0,49.486640045318445,23254,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/cg.json,ef338d0b73b309749014cb7f7569d56a1fe7968f622a1c8b793f79f5161882ea,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,a29992196acb74d02b8c7891be4061718889999f,0.0001
w2_k09,933,900301.3529861263,8.999999999999979,-2.6717383860841437e-09,0.0,64.02966338108915,25173,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/cg.json,2d9dab7a69c8b188076c16e4cde6bc7d66ffafaf5721833d61002e283a694e62,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,a29992196acb74d02b8c7891be4061718889999f,0.0001
w2_k10,739,1000371.1457444398,10.000000000000023,-4.5279247018470414e-09,0.0,55.67655384997682,21237,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k10/cg.json,0d65bb40c1cac693cecedaefd64397615d22a52585e161640dac78b2bb5212b0,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,a29992196acb74d02b8c7891be4061718889999f,0.0001
w3_k11,669,1100375.8586881026,11.000000000000002,-2.8147506547782086e-09,0.0,27.66142933285446,20210,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k11/cg.json,5d0c29e43305d970679546ee38bdf6d91b9bcdc34b3b8621e8f6d11760d1dda2,d44ae4a734a62fb603359e97f3d8b187c2cb0bd10c5e00bf20e33f1b321d0dc1,a29992196acb74d02b8c7891be4061718889999f,0.0001
w3_k12,719,1200427.901093246,12.00000000000006,-9.650014121120876e-10,0.0,32.839099164586514,21542,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k12/cg.json,2a17e93877fcbef5f087aba31b39a5d4ef8cee713a24df03f669931921191a15,66992416ee607061fe538bcd137d1f065465f5befeca51e11717935178d24e76,a29992196acb74d02b8c7891be4061718889999f,0.0001
w3_k13,979,1300474.5587871363,12.999999999999908,-5.6059894504301155e-09,0.0,52.61632275571076,29169,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k13/cg.json,198ad0f9176d07a852556b467932f98baa12161df4fb77b8dccd2b38e8570b14,23ea33b676cfbdcdd4f9f652106081ad60c87ba346a069110af7b007fbbf74b2,a29992196acb74d02b8c7891be4061718889999f,0.0001
w4_k10,909,1000426.2710758074,10.000000000000052,-1.3455974112730473e-09,0.0,42.03142781167602,26691,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k10/cg.json,afad352b6510b5bd83d0e6d9d7bd3964ede47298feaa7892742d67b689e5a170,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,a29992196acb74d02b8c7891be4061718889999f,0.0001
w4_k11,1126,1100462.8646986168,10.99999999999997,-1.1811351896540145e-09,0.0,59.421039104252124,33822,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k11/cg.json,b62026a71b09b0a643af23d390246b2ddcf147a9e6097804cfb4f3d543c1ef33,837037c026cf3971309c96c719f594565fdc5521dfe2d43241e2a344b31f1a92,a29992196acb74d02b8c7891be4061718889999f,0.0001
w5_k11,1304,1100522.2275381838,11.000000000000059,-2.02411598593244e-09,0.0,70.46116025556888,38125,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k11/cg.json,569391eb7728d87fff1761fc0f94936aeb84e4dfb20a83f1abc965462a32f20b,cb70c268c96b64775379f148cc7522f0ec0446a7b469e8f7d6697fcea4b6eaaf,a29992196acb74d02b8c7891be4061718889999f,0.0001
w6_k11,811,1100399.0287869393,11.000000000000009,-2.1816743966951435e-09,0.0,32.45629696778487,23242,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k11/cg.json,9e107f40a43346f372e8bec5a351f24b3c25252a612cec465ee93d98af9068cf,9199478f9fc6d2771233763af0f16d780f629bb72268203b0dabc466be94661f,a29992196acb74d02b8c7891be4061718889999f,0.0001
w6_k12,1173,1200464.54775349,11.9999999999999,-6.512273831305038e-09,0.0,64.6088104746809,34553,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k12/cg.json,d5325368e2b4e2329fd29d123cfaa2499a42c5ca065df1065417b28ee0d67012,8b8ec38fc2303f2aad71358fae7583c1c4fe009efeb1a147eb9eeebd93abacc6,a29992196acb74d02b8c7891be4061718889999f,0.0001
