case,target,buses,fleet_bound,fleet_proven,cg_minutes,weighted_lp_objective,fractional_route_weight,cg_min_rc,cg_certified,stage1_status,stage2_status,overcovered_trips,physical_replay,duplicate_removal_validated,shared_capacity_validated,cg_path,cg_sha256,mip_path,mip_sha256,input_sha256,execution_commit
d00_g0,8,8,8.0,True,27.712757150588246,800291.3712000034,8.000000000000036,-1.5220926741221774e-09,True,OPTIMAL,OPTIMAL,3,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g0/cg.json,93fa2da0cae23f05cfc811c256e70d2df89a04e20c701c5aa91c4deb59fdfcc1,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g0/mip/949625_r0/result.json,b772358a2ff71e982b12a31515ce827cdbbd110f2f643323718fd785ba062fa1,0ee1ff2b04d5ab75e40dfc841dbf91f4383a6b612e2a7db017e4b5d80f099f89,a29992196acb74d02b8c7891be4061718889999f
d00_g1,8,8,8.0,True,52.15514464251076,800370.1011284214,8.000000000000004,-3.158571182382275e-10,True,OPTIMAL,OPTIMAL,5,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g1/cg.json,349fa2849b62c5f62cf29d224c1ced912e425d64e92a4e00e2f49bcdeae7a492,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d00_g1/mip/949626_r0/result.json,804e8f7399bc33267bee679758f1ca562a1ae1a3c5ed9f62dd84c4795a582c02,0c8cec257e17dec782f82fc3d078bf489ff09eedaa27ee03f6e80c36dbe91696,a29992196acb74d02b8c7891be4061718889999f
d02_g0,8,9,9.0,True,116.15798725875405,800385.0365290325,8.000000000000002,-8.416680685741085e-10,True,OPTIMAL,TIME_LIMIT,20,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g0/cg.json,88d32372407703aa414f41a7c56729e2998f8c9cc3c14863a26473a09c09db10,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g0/mip/949633_r0/result.json,2184ee8f80ef41dc70384f9d5e1e3dcd35b6808b818ef539495f8aae77d7a0f5,ee2fe18cfc566c6831384bfc22cf07906799cc50158bf669383899442b30532c,a29992196acb74d02b8c7891be4061718889999f
d02_g3,8,8,8.0,True,73.30175290654103,800353.082857142,7.999999999999991,-4.822644505964035e-10,True,OPTIMAL,OPTIMAL,2,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g3/cg.json,0fa1f1abe151ffd977eff08387e27d4b5574f20264bd93cc6d8541febb6a4418,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g3/mip/952033_r0/result.json,5139624cbf0e59b916f1725970a2e5bbab6c280cb03b0ad11b10eb36d0dec94c,31d01d3cb20cf7bded81427307361a36da72ad3d3db7695af5e5c75c6e1edf9a,a29992196acb74d02b8c7891be4061718889999f
d03_g0,8,9,8.000000000000004,False,84.84588574458225,800363.8363762498,8.000000000000021,-1.1289023049698699e-09,True,TIME_LIMIT,TIME_LIMIT,21,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g0/cg.json,3a3a800652ee15561ba3eb9b05e96d9fa6fb2f6c22e94d11521a53a548167be9,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g0/mip/952696_r0/result.json,3da9af668bdcf2d54feb912c92058ec532655012f8584a9d630ff01d5dabbccc,af3fe734949ae655894da2c7c5606be8805e02011e47b42078c1bcddea5e7d8a,a29992196acb74d02b8c7891be4061718889999f
d03_g1,8,9,9.0,True,91.82101965359567,800397.6918128566,8.000000000000057,-6.842260091843855e-10,True,OPTIMAL,TIME_LIMIT,18,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g1/cg.json,fd9b5019364098859b8cab340ef643516b69f5d96a99f32c8e6a8abc2aee3965,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g1/mip/953359_r0/result.json,4b239a97cfd60b3a224d356251efc2380e418863310cb02cda87a98f7cdab3bb,133bdaeb52aab6707e2b9be412d1cfa25d4e51f096fc3ecd54db0d79a3f779e7,a29992196acb74d02b8c7891be4061718889999f
d03_g2,8,8,8.0,True,113.9360173514889,800235.6160975916,7.999999999999957,-1.5456915747336097e-09,True,OPTIMAL,TIME_LIMIT,23,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g2/cg.json,eceb89dbb11ffa57395321762a8ce10d9108557817ca4ff016407db826c228c7,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g2/mip/953430_r0/result.json,61aa2fa206a6edb9ba0b01186ccada97d6e0f93fbcfc283764b7e3dcdcb668c0,c6c5534343731e024036f9933fa559379e9d978355c763232b1c7d87ec4d2b89,a29992196acb74d02b8c7891be4061718889999f
w1_k07,7,8,8.0,True,53.64970807080002,700313.4570986059,7.000000000000007,-5.431814997791662e-10,True,OPTIMAL,TIME_LIMIT,30,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/cg.json,851553ece66ddb9b55b1cddb6cceb55c3af660d32d3df6a491347f5b239aa641,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/mip/949636_r0/result.json,40ff159cf6f4dd677477adf37d23e043b351af58b4ac4091d1452db35517f808,c1ddecd62cc584d309a486886062f26c4dc8adc2221fc621a47d9c30713304d6,a29992196acb74d02b8c7891be4061718889999f
w1_k08,8,9,9.0,True,49.486640045318445,800383.6879776368,7.999999999999996,-8.817284680162629e-10,True,OPTIMAL,TIME_LIMIT,29,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/cg.json,ef338d0b73b309749014cb7f7569d56a1fe7968f622a1c8b793f79f5161882ea,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/mip/949638_r0/result.json,bf00821a6c80c6adb133bcc565c9872ea8fcaa75c06fe7f54b732e5d62551e54,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,a29992196acb74d02b8c7891be4061718889999f
w2_k09,9,10,9.000000000000004,False,64.02966338108915,900301.3529861263,8.999999999999979,-2.6717383860841437e-09,True,TIME_LIMIT,TIME_LIMIT,59,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/cg.json,2d9dab7a69c8b188076c16e4cde6bc7d66ffafaf5721833d61002e283a694e62,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/mip/949694_r0/result.json,39a2ac2ec040e77f879f31c06c20f494f239579f2b0838cd89b60c54c4a03392,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,a29992196acb74d02b8c7891be4061718889999f
