case_id,chain,target,treatment,starting_sequences,cg_minutes,cg_certificate,cg_stop_reason,weighted_lp_objective,fractional_route_weight,cg_pool_columns,last_reduced_cost,cg_path,cg_sha256
c1_k20_core,1,20,previous_k_core,373,,,,,,,,,
c1_k20_core512,1,20,previous_k_core512,512,,,,,,,,,
c1_k25_core,1,25,previous_k_core,417,,,,,,,,,
c1_k25_core512,1,25,previous_k_core512,512,,,,,,,,,
c2_k20_core,2,20,previous_k_core,338,,,,,,,,,
c2_k20_core512,2,20,previous_k_core512,512,171.38475604446526,True,certified,2000806.3818164899,19.99999999999958,54090,-5.1695427050191256e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k20_core512/cg.json,1ddbc14e586ca27e83d8efbc3d66ef5b174d8f94f6c10a7ce979b9e65a8b2e18
c2_k25_core,2,25,previous_k_core,434,,,,,,,,,
c2_k25_core512,2,25,previous_k_core512,512,,,,,,,,,
c3_k20_core,3,20,previous_k_core,306,110.7440848493871,True,certified,2000780.1004924544,20.00000000000036,45303,-2.15175814943791e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core/cg.json,03205b4a9060233842d9a24864671a41107b34229640be6482bb88d399e29bff
c3_k20_core512,3,20,previous_k_core512,512,102.66127110224528,True,certified,2000780.1004924024,19.99999999999984,42569,-2.769945606218016e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core512/cg.json,4e4f288997551533b31b593c69a02a649077ad06bfbff57e8714f02c14b8bee1
c3_k25_core,3,25,previous_k_core,385,,,,,,,,,
c3_k25_core512,3,25,previous_k_core512,512,,,,,,,,,
c4_k20_core,4,20,previous_k_core,356,,,,,,,,,
c4_k20_core512,4,20,previous_k_core512,512,,,,,,,,,
c4_k25_core,4,25,previous_k_core,406,,,,,,,,,
c4_k25_core512,4,25,previous_k_core512,512,,,,,,,,,
c5_k20_core,5,20,previous_k_core,291,,,,,,,,,
c5_k20_core512,5,20,previous_k_core512,512,,,,,,,,,
c5_k25_core,5,25,previous_k_core,452,,,,,,,,,
c5_k25_core512,5,25,previous_k_core512,512,,,,,,,,,
c6_k20_core,6,20,previous_k_core,288,,,,,,,,,
c6_k20_core512,6,20,previous_k_core512,512,,,,,,,,,
c6_k25_core,6,25,previous_k_core,403,,,,,,,,,
c6_k25_core512,6,25,previous_k_core512,512,,,,,,,,,
