case_id,pair_id,chain,target,treatment,source_pool_sha256,buses,pool_fleet_bound,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256
c1_k08_support_only,c1_k08,1,8,donor_final_positive_support_only,6fa1bfe466cd220e2e5cf1deea18e14109e075003b8373981c30d20ce2d5179d,9,9.0,True,100,0.010825419425964355,0.001907956600189209,OPTIMAL,True,False,False,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_support_only/mip_result.json,9a519042614ab2fbbfcf24ce499da7b6867b60889b724fb92206d1a78171630a
c1_k08_integer_positive_added,c1_k08,1,8,positive_added,9c34a911c93d9950263d44370e4a3051cbd333bd1f69cd51adef84f2dc82ae33,,,,,,,,,,,,
c1_k08_integer_matched_zero_added,c1_k08,1,8,matched_zero_added,c93a5fb5be7f71d7295ac67587b21033e4e604f2b15df0e75fc45ae9ec5ff92c,,,,,,,,,,,,
c1_k08_lpweight_positive_added,c1_k08,1,8,positive_added,72887e326c50769278d2533c92b05c35277be2b5b343d2d60a8adf19c4ddab86,,,,,,,,,,,,
c1_k08_lpweight_matched_zero_added,c1_k08,1,8,matched_zero_added,0223905fbdc6a210444e336ff63c127982327055ca486f8900e34d95ed09aeb4,,,,,,,,,,,,
c1_k10_support_only,c1_k10,1,10,donor_final_positive_support_only,4d28ff90d7139f4a5f802279011b7a79e737f69ab183ee368ac42b64498dda45,12,12.0,True,122,0.033011674880981445,0.005562214056650797,OPTIMAL,True,False,False,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k10_support_only/mip_result.json,c6f51dee25a36803b7576a0083e116b0ec5bdb650e6b5a34ed30f9d5bca930ab
c1_k10_integer_positive_added,c1_k10,1,10,positive_added,60b55e432cce76cc7fc6b0942b9ec7f980f65ed3ea0c08a623afdcb5f42b1133,,,,,,,,,,,,
c1_k10_integer_matched_zero_added,c1_k10,1,10,matched_zero_added,e820fd79f20d71b6f0e51d7e33959e0a980ccd669a8b07c9628afac817a38a4e,,,,,,,,,,,,
c2_k08_support_only,c2_k08,2,8,donor_final_positive_support_only,14c8a01e2c7b99836c24ea66f622a6a636449b7a1c669dde02ed49d77d7c720d,10,10.0,True,101,0.01641373634338379,0.0035535812377929686,OPTIMAL,True,False,False,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c2_k08_support_only/mip_result.json,2bb8f728b9f182631d4f55dd7ee204044a6c0a963283f0e8e81e9f9b01eb0762
c2_k08_lpweight_positive_added,c2_k08,2,8,positive_added,e70ceb40c83362c513958ecfb5dce16701b197fd5c2238b895969f190b2797b4,,,,,,,,,,,,
