case_id,chain,target,treatment,starting_sequences,cg_minutes,cg_certificate,cg_stop_reason,weighted_lp_objective,fractional_route_weight,cg_pool_columns,last_reduced_cost,cg_path,cg_sha256,buses,pool_fleet_bound,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256
c1_k20_core,1,20,previous_k_core,373,239.13802356009836,False,wall_limit,2000941.4956030329,20.000000000000256,31872,-1.1845962488354473,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k20_core/cg.json,0fb61966cf082170ac2f64e9c1667d1ab87cc3019d3b8ca744af5d3fa2023a31,,,,,,,,,,,,
c1_k20_core512,1,20,previous_k_core512,512,239.29683731233234,False,wall_limit,2000941.2703984235,20.00000000000003,31141,-0.9036477276272361,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k20_core512/cg.json,8f683f9c25f879bb6f515118a59a67e35301130c2eb4079e94dfc116402f1efb,,,,,,,,,,,,
c1_k25_core,1,25,previous_k_core,417,239.09010045477578,False,wall_limit,2501088.61329135,25.00000000000048,30335,-2.2079621876450086,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k25_core/cg.json,af8c9470fec77867bf67e2a14ee7faa100d159dd06ba4baf8892e72976006c9a,25,25.0,True,30335,5.6930638154347735,0.5019207239151001,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k25_core_mip/mip_result.json,28ac2426d252d1d8c98576eec2b814b8b772baa378b65e10ce72b1f9f4147f59
c1_k25_core512,1,25,previous_k_core512,512,239.17135022901772,False,wall_limit,2501089.137709322,24.999999999999623,28540,-3.2076449360939994,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k25_core512/cg.json,4f6ac80e8e500e5a2b240597460494e053e3172080060956d869e85a76045e5c,25,25.0,True,28540,6.167418118317922,0.4552406072616577,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c1_k25_core512_mip/mip_result.json,37bec44f8c44a1787bda8e032e6dcc3c49daa8215005ec2f78913a2e865bbeb4
c2_k20_core,2,20,previous_k_core,338,239.07134112163914,False,wall_limit,2000806.5377717596,20.00000000000075,51786,-0.6729855731086936,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k20_core/cg.json,7aa33c9f707a66ca94b2bf333525bdacd3a5f4f3a3098d7d00a42458f311bf54,,,,,,,,,,,,
c2_k20_core512,2,20,previous_k_core512,512,171.38475604446526,True,certified,2000806.3818164899,19.99999999999958,54090,-5.1695427050191256e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k20_core512/cg.json,1ddbc14e586ca27e83d8efbc3d66ef5b174d8f94f6c10a7ce979b9e65a8b2e18,21,20.000000000000078,False,54090,210.0717479467392,180.03322391112644,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k20_core512_mip/mip_result.json,abce14e52e8a6be7a9e12e403a88e1f4fcd56b9a0336cb03660dcd1592665466
c2_k25_core,2,25,previous_k_core,434,239.1497256401616,False,wall_limit,2501069.0908613494,25.00000000000004,58067,-0.3621277433116301,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k25_core/cg.json,1f46a75736429f9545d234ce7a6cb9810b87e289807f790af968f8194524102a,,,,,,,,,,,,
c2_k25_core512,2,25,previous_k_core512,512,239.13850058038562,False,wall_limit,2501069.003468997,25.000000000000217,59435,-0.24882521514838318,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c2_k25_core512/cg.json,0128b19b5f75c6ec4540f44d52c628b2b2b4bf2fb3e66fd9b0f79926def9094a,,,,,,,,,,,,
c3_k20_core,3,20,previous_k_core,306,110.7440848493871,True,certified,2000780.1004924544,20.00000000000036,45303,-2.15175814943791e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core/cg.json,03205b4a9060233842d9a24864671a41107b34229640be6482bb88d399e29bff,24,20.00000000000002,False,45303,210.06135531663895,180.0289156516393,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core_mip/mip_result.json,c9c90d450f3f94f3d755919d504ce93b94d5bee938a5b83d842d136aa3f39016
c3_k20_core512,3,20,previous_k_core512,512,102.66127110224528,True,certified,2000780.1004924024,19.99999999999984,42569,-2.769945606218016e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core512/cg.json,4e4f288997551533b31b593c69a02a649077ad06bfbff57e8714f02c14b8bee1,23,20.000000000000043,False,42569,210.07837441364924,180.0273707906405,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core512_mip/mip_result.json,9b813dba7209616f36a3860f18f1e55e02781c067f41988881c312bbe91a02ca
