case_id,chain,target,treatment,validation_only,total_budget_s,fleet_budget_s,input_sha256,execution_commit,new_cg_run,new_pricing_certificate,initialization_policy,known_donor_fleet_upper_bound,donor_bound_is_solver_incumbent,donor_child_cg_minutes,construction_minutes,union_columns
c1_k15_union,1,15,union,False,12600,10800,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,16,False,316.0464100821254,0.9992398960826298,100861
c1_k20_union,1,20,union,False,12600,10800,81dccf8079752af8b04f5044655e4c8c039e43c513493d7a539cdeaec61e32dc,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.4348608724307,0.5466360144627591,62122
c2_k20_union,2,20,union,False,12600,10800,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,410.45609716610437,0.967886411305517,105042
c2_k20_control,2,20,control,False,12600,10800,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,410.45609716610437,0.967886411305517,105042
c2_k25_union,2,25,union,False,12600,10800,6c2b55b601a64a7453c6517bac6b0d7eaf16fd1a79c0d88b4c68194844e40aa3,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.28822622054724,0.9168784450196351,116470
c2_k25_control,2,25,control,False,12600,10800,6c2b55b601a64a7453c6517bac6b0d7eaf16fd1a79c0d88b4c68194844e40aa3,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.28822622054724,0.9168784450196351,116470
c3_k20_union,3,20,union,False,12600,10800,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,23,False,213.40535595163237,0.5767619023642813,86980
c3_k20_control,3,20,control,False,12600,10800,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,23,False,213.40535595163237,0.5767619023642813,86980
c4_k25_union,4,25,union,False,12600,10800,86894981fc7618414b4c5683c87e18198b0c6d40561ab55af72b2044458a6e07,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.25394628598974,0.8155918648156028,100510
c5_k20_union,5,20,union,False,12600,10800,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.12210532755904,0.8626652021038657,144659
c5_k20_control,5,20,control,False,12600,10800,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.12210532755904,0.8626652021038657,144659
c5_k25_union,5,25,union,False,12600,10800,c16a85cdc05d7cbf0ecd4ac0de2e295d9cddf3800b961cb9f3e1e4fca446a908,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.4374415611072,0.6038752956859147,97881
