buses,campaign,final,fleet_bound,fleet_proven,new_path,path,payload_sha256,physical_replay_validated,runtime_s,sha256,stage,status_name
16,compact_pool_union_20260915,{},15.00000000000003,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c1_k15_union/mip_result.json,d3880d093edee172bb4aed30a6709348444d29e6055c0fb0000651a96b12d5c9,True,12613.893635866232,d3880d093edee172bb4aed30a6709348444d29e6055c0fb0000651a96b12d5c9,mip,TIME_LIMIT
21,compact_pool_union_20260915,{},21.0,True,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c1_k20_union/mip_result.json,a084ff0298b7edba57d9c881963669e122550ad12edb45e96f19e219c376fcb4,True,12608.578931877855,a084ff0298b7edba57d9c881963669e122550ad12edb45e96f19e219c376fcb4,mip,TIME_LIMIT
21,compact_pool_union_20260915,{},20.000000000000078,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k20_control/mip_result.json,684dca8367e6d6a32dea5e9521b6d5d08b1784e292358e64f981cf5c2b1fdf0c,True,12605.418599704746,684dca8367e6d6a32dea5e9521b6d5d08b1784e292358e64f981cf5c2b1fdf0c,mip,TIME_LIMIT
21,compact_pool_union_20260915,{},20.000000000000043,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k20_union/mip_result.json,971fb4ba22479511a30fbb1b37afadc67ee3b0738346d1a0911a268404848fdc,True,12607.311857904075,971fb4ba22479511a30fbb1b37afadc67ee3b0738346d1a0911a268404848fdc,mip,TIME_LIMIT
26,compact_pool_union_20260915,{},25.000000000000057,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k25_control/mip_result.json,c644369938810e725acf331334e40b6a778359dbbe7a0958f8bb811db60b3bbb,True,12605.19027324603,c644369938810e725acf331334e40b6a778359dbbe7a0958f8bb811db60b3bbb,mip,TIME_LIMIT
26,compact_pool_union_20260915,{},25.0,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k25_union/mip_result.json,2238e34911cca88b0b6a088512ede0027e3c9a8345c980b7f47260eaf4a0ff97,True,12605.77875033603,2238e34911cca88b0b6a088512ede0027e3c9a8345c980b7f47260eaf4a0ff97,mip,TIME_LIMIT
23,compact_pool_union_20260915,{},20.000000000000043,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c3_k20_control/mip_result.json,267f8632df38c7c763b8ad4f3c5427e729b4db04b9b78facff76c53f61523fbb,True,12603.714996910887,267f8632df38c7c763b8ad4f3c5427e729b4db04b9b78facff76c53f61523fbb,mip,TIME_LIMIT
23,compact_pool_union_20260915,{},20.00000000000007,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c3_k20_union/mip_result.json,d7d18d38b7757b18e99b9e3b1ff6ebf26487b212b740a59a5fbd03049e7db878,True,12604.277506829938,d7d18d38b7757b18e99b9e3b1ff6ebf26487b212b740a59a5fbd03049e7db878,mip,TIME_LIMIT
26,compact_pool_union_20260915,{},25.00000000000247,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c4_k25_union/mip_result.json,e8163eef613782b09e0e44fdda4bcfba8c7b79e48f1971f07943585f06bd8007,True,12608.038856916828,e8163eef613782b09e0e44fdda4bcfba8c7b79e48f1971f07943585f06bd8007,mip,TIME_LIMIT
21,compact_pool_union_20260915,{},20.000000000000057,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k20_control/mip_result.json,a9623aa291e93a2f7685b387ce7dadbf7428d5a0ebe178f972b9a5228b060e32,True,12604.552796750795,a9623aa291e93a2f7685b387ce7dadbf7428d5a0ebe178f972b9a5228b060e32,mip,TIME_LIMIT
21,compact_pool_union_20260915,{},20.000000000000107,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k20_union/mip_result.json,0eaa064190b2809e51d0a1a9b8d4ca289cf43a51bf1d1b6731435baf9ca81b04,True,12604.710642097052,0eaa064190b2809e51d0a1a9b8d4ca289cf43a51bf1d1b6731435baf9ca81b04,mip,TIME_LIMIT
26,compact_pool_union_20260915,{},25.000000000000018,False,True,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k25_union/mip_result.json,54b57b3c0844c8798b0060d11e846f22944a8f1cbf426804237a7af466508d8a,True,12607.494975401089,54b57b3c0844c8798b0060d11e846f22944a8f1cbf426804237a7af466508d8a,mip,TIME_LIMIT
29,chain_extension_20260914,{},28.000000000000004,False,True,/home/nc437/ladder-lite/chain_extension_20260914/cases/w4_k28/mip/187991_r0/result.json,a4d00428910e2987d68a23b97a6f379003d930a8781806155500e5ffbe5015e2,True,3611.760929107666,a4d00428910e2987d68a23b97a6f379003d930a8781806155500e5ffbe5015e2,mip,TIME_LIMIT
34,chain_extension_20260914,{},27.00000000000012,False,True,/home/nc437/ladder-lite/chain_extension_20260914/cases/w5_k28/mip/187997_r0/result.json,ace5040181deb115f965755a5acb6826cae9fc08db976fe824b441dd4aa4c5b7,True,3613.0733649730682,ace5040181deb115f965755a5acb6826cae9fc08db976fe824b441dd4aa4c5b7,mip,TIME_LIMIT
