case_id,target_k,mip_incumbent_fleet,mip_bound_fleet,fleet_proven,runtime_s,pool_size,physical_selected_validated,full_model_lp_certified,job_ids,source_path,source_sha256
m_p01,32,35,35.0,True,6.222097634105012,2083,True,,['190182'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01/mip_result.json,18fc2aeae8ede9335251e4508d1a54d7eac5db06304b9643ece6b19efed0d246
m_p01_p02,32,35,35.0,True,11.553522742000041,4131,True,,['190191'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p02/mip_result.json,0ded5925536a4e1c55df27f40862df0272814ae56756e3959e79d88fbc767913
m_p01_p03,32,35,35.0,True,10.752067951000072,4131,True,,['190192'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p03/mip_result.json,d0c394ea53a452447a91252517f76a7efda0af57493037a19710ac03062ebd24
m_p01_p04,32,35,35.0,True,13.575589179999952,4131,True,,['190193'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p04/mip_result.json,b50650c13f39330f8885a6bd994648af9430f251de45455172130e2cae10062a
m_p01_p05,32,35,35.0,True,13.725677963999942,4131,True,,['190194'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p05/mip_result.json,02ffdfa73850d335ec43d8aa5856a6f34244f05cdf55b7fa9b1b0b6275a8f7bc
m_p01_p06,32,35,35.0,True,11.763820302672684,4131,True,,['190195'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p06/mip_result.json,fb63bf39524f2849e0d8ab848c1de574203f46892ceeca47240c01c92dbb3426
m_p01_p07,32,34,34.0,True,8.87641428411007,4130,True,,['190196'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p07/mip_result.json,fa9d9a09169322625bb91c1a8678d56ad2401012cdbfb2af984dda6ae28f452a
m_p01_p08,32,35,35.0,True,12.70592786418274,4131,True,,['190197'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p08/mip_result.json,511d4912555a74562b05eceaedc7475bd30957fa3e274225f0b70716e41f43bf
m_p01_p09,32,35,35.0,True,11.179499513003975,4131,True,,['190198'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p09/mip_result.json,751c1a8c32bd38ae52f767b886731e425ca6dd91bd4fdcf91296752b055a5d2d
m_p02,32,35,35.0,True,9.617814123164862,2083,True,,['190183'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02/mip_result.json,d4648c6332d02d26b431c054bb235f6e67cc32b10e599c18acff99cfbe7c8b0e
m_p02_p03,32,35,35.0,True,6.971621224889532,4131,True,,['190199'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p03/mip_result.json,7a09960a7130622317338bbc99aa4a9d0aa88240f1507682a5dc0e8e747a7caf
m_p02_p04,32,35,35.0,True,9.401904491940513,4131,True,,['190200'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p04/mip_result.json,e57477acb4d235da7fbd3cafbc259c3ff9d267d4d1358ca3b35d3808852c8f25
m_p02_p05,32,35,35.0,True,9.315389846917242,4131,True,,['190201'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p05/mip_result.json,38edf8210d6efa4cd6620dcfba22096f3ddb9bb73335b06e12e63a4a55116510
m_p02_p06,32,35,35.0,True,10.22143719624728,4131,True,,['190202'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p06/mip_result.json,c28887bade86b73018908eeb80d8b90f8e7f7a90647cd5b1bc09c1e30fcba38c
