case,integer_seed_buses,lp_seed_buses,integer_pool_bound,lp_pool_bound,integer_cg_minutes,lp_cg_minutes
c1_k08,9,9,9,9,74.03828651780107,74.15412636196706
c2_k08,8,9,8,9,17.878260919374103,13.092861358992135
c2_k10,11,11,10,10,38.84130207311052,51.404052086997154
c3_k08,9,9,9,9,14.754609312737982,12.224888244597242
c3_k10,11,11,10,10,28.64583587575859,27.703818593438093
c3_k15,15,17,15,15,66.70184926892786,70.29889787831344
c4_k08,9,9,9,9,52.55092254838285,49.56482207099907
c4_k10,11,11,11,11,56.1533918925561,67.46681248917788
c5_k08,8,9,8,9,26.417207068623973,26.343441560623855
c5_k10,10,11,10,11,29.42058321758717,39.99803933938965
c6_k08,8,8,8,8,9.053226181026549,10.200850222236477
c6_k10,10,11,10,11,20.33876248958986,22.00160046443343
