case_id,pair_id,target_buses,method,selected_parent_sequences,completed_replays,accepted_sequences,rejected_sequences,added_columns,import_seconds,cg_minutes,cg_certified,cg_stop,cg_weighted_objective,fractional_route_count,mip_buses,pool_fleet_bound,fleet_proved_in_pool,charging_proved_in_pool,mip_minutes,cg_path,cg_sha256,mip_path,mip_sha256,input_sha256,seed_status_sha256,seed_journal_sha256
c1_k08_integer,c1_k08,8,previous_k_integer,7,7,7,0,7,0.7888622120954096,74.03828651780107,True,certified,800383.6879776391,8.00000000000002,9,9.0,True,False,210.02266097068787,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k08_integer/cg.json,1c9aebd21f8a2367db04663e1e31b53309cb7e7fd7deb9ab2c41ba3230e5aa48,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k08_integer_mip/mip_result.json,9d4bde57f9a7b7e4d1c0a5577da7a1765f0766ee51786c3a2972271a781b8b9f,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,0f8bfe2342db6804c6821af818021eb548d13b01b9cce6343a1db1d3fd726b8b,fdf8385c4b9da072674c2ea6e29ff28a1bfcffa1f09c690b3bd497085d9568e4
c1_k08_lpweight,c1_k08,8,previous_k_lpweight,7,7,7,0,7,0.687945787794888,74.15412636196706,True,certified,800383.6879776367,7.999999999999995,9,9.0,True,False,210.05039178530376,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k08_lpweight/cg.json,bc7ebd80d201678ede124c33a51c98c4cb1ea38a53f6aad1155af9fd1a6350f8,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k08_lpweight_mip/mip_result.json,f82e2e500d9c772f7c789b726f2fb86851ccb4223cf0667f3bea1ff5f9b250ee,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,e234dcc741939d172f4bbf6ebe728dcc98df1d94f8c603364a3fbd721636de4e,de29051270d167a0d09a59453749e4a1867e811dd1ec4db9641d69de6dd93372
c1_k10_integer,c1_k10,10,previous_k_integer,9,9,9,0,9,0.8871419508941472,101.59009058324155,True,certified,1000511.2045748285,9.999999999999979,11,11.0,True,False,210.04895180861155,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k10_integer/cg.json,d196614146b2689f02b695121e53504cc2a282159a30c3d475a1c9133187f562,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k10_integer_mip/mip_result.json,eb5ef0f845361dcd4108050c75f0a65b57e028cd94de36f7bb3f077f7afe7ae7,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,aee6a1c699e431f60d67f94ec1385e5bd9fabaca77132a9350851051cb92d787,ec788b300c95f80204c273c8d6109ce33cc59a6e53c2470386b1d23080c79823
c1_k10_lpweight,c1_k10,10,previous_k_lpweight,9,9,9,0,9,0.9138109278865159,96.6703369298329,True,certified,1000511.2045748427,10.00000000000012,12,10.000000000000032,False,False,210.1012438972791,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k10_lpweight/cg.json,e69361cbbc9a4bf93572b59e35b5ef839a570415ea1c238191194736b255382e,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k10_lpweight_mip/mip_result.json,6c0813647b5088838a7e53ab7fbcb0b293e434835f7d7088713d33aca3d65c58,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,166a9367f68e8d6e8527aae6aa8d93c9eb005d861ddf68db852b8c6897725e43,83ceb630b1a66f83d7ffdef179ecb9a4e5ab042f4d5d4a173aea7fd33d458821
c1_k15_integer,c1_k15,15,previous_k_integer,14,14,14,0,14,1.0348120830021799,185.73215987116563,True,certified,1500717.3733260224,14.999999999999181,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k15_integer/cg.json,4f02e50468fd8415f370f339aaedabe9aecc3a62d661e4d955f584367b0fe5a6,,,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,e46b67cd5d5fc563c73701e83e3f2f5f726177680df18a3e95fa04c09956fa9c,9e19b8f7b8ac7d5f3253fdcb1bfc286aa741deb4596e683ae1f5f08ba84c0e85
c1_k15_lpweight,c1_k15,15,previous_k_lpweight,14,14,14,0,14,0.8568320628255606,239.03551046506036,False,wall_limit,1500719.0414701458,14.999999999999815,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c1_k15_lpweight/cg.json,fe79a4e54b0bd17fb1e05148ad9835e803d154d98cc9bf687f267e3cf980d5f7,,,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,e065b9d923d8857eb63c163e4458e6225efbb74f03427f52e4085d9ca36506ac,e0fa1d90b2d12786295db27fb18e8da589e042e0742e4e08e6564694e5e2c07d
c2_k08_integer,c2_k08,8,previous_k_integer,7,7,7,0,7,1.4322375007905066,17.878260919374103,True,certified,800235.9144683575,8.000000000000012,8,8.0,True,True,112.12701754570007,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k08_integer/cg.json,a41492a63318507622148d1125c7b7a9aad91a5bb5f491741d39fb9089a66dd5,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k08_integer_mip/mip_result.json,b41668b2832d43be51e2fad15655aac570060c615d464ac95ab91c68821749bd,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,788e67dc4441b3ae6120e84398584fef3f86ac67aff05acd10e746a4bcc30542,106fd855c1c0c7015b5c31ecaa8ec24126ddc9329ead92896a1d85ba03522d0a
c2_k08_lpweight,c2_k08,8,previous_k_lpweight,7,7,7,0,7,1.2197797442786396,13.092861358992135,True,certified,800235.9144683562,7.999999999999999,9,9.0,True,False,210.01447106599807,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k08_lpweight/cg.json,7a4a174a28639b5460ee7e6354f8f299a8b098752f2cb30af67afdc7501bb332,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k08_lpweight_mip/mip_result.json,9b9b78ec0865223fd2a52aee74e1ed3a7a46ccb735dea363723c8330064136ea,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,4c7c643d9293662b8b14e2d6790d032deb300309a81c617b1879cb43c80b28a7,3fa3e128504cf7fd29c48909e5070fec7ebe48dd210d9bf39c7033216132c73e
c2_k10_integer,c2_k10,10,previous_k_integer,9,9,9,0,9,0.4513198812492192,38.84130207311052,True,certified,1000371.1457444404,10.000000000000028,11,10.000000000000021,False,False,210.0276078303655,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k10_integer/cg.json,60e6bf72e4cf54ab5e2e67ed4907641a6dc4d649cf4f63145434f8553dcef736,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k10_integer_mip/mip_result.json,771c66b50e3b6df6548c5408650fab32ddd7af7ca2dbd79743a989f0d79001bb,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,69d53a539cba375b7abc523250f4541a0ef83704d65d891f786a99b0a392a1c4,e5fedef9dd83a5f52a5f40aa15c91e5a699752b05bb6501efd23f2efcae5301f
c2_k10_lpweight,c2_k10,10,previous_k_lpweight,9,9,9,0,9,0.6404818459413946,51.404052086997154,True,certified,1000371.1457444661,10.000000000000286,11,10.000000000000007,False,False,210.0276341120402,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k10_lpweight/cg.json,44299b0e6c2fc0c41993a775379fbd6ecbc9d9243347f95d2e46c21466028a36,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k10_lpweight_mip/mip_result.json,fc5c7f1f68c7875ab189fd759b990ffb5d6d4b8f885defd2bd0c32ae4405c7ff,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,0d16a52d5246828542bc70af430aa4d9096afa1b45d0499b4dee34dff714b953,2116db16fa61944f7183b2bb43484ed1872cfe80860acf2f376f1ce00c5dc09e
c2_k15_integer,c2_k15,15,previous_k_integer,14,14,14,0,14,0.7445077858865261,219.3493413081897,True,certified,1500618.9515429377,15.000000000000089,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k15_integer/cg.json,c224be030a5a948168efa34db78b0d52c41fd1903a57be296581ad6fc7862924,,,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,3773c1b0ef37e8d2932b7ae49b493702e254b25a71bf662509ee5aa52b0209a4,17d55c522da983add2d15a93c85c07d6810f30f1e53bb7827ea580e3c39ddf77
c2_k15_lpweight,c2_k15,15,previous_k_lpweight,14,14,14,0,14,0.733540725428611,238.7287781838871,True,certified,1500618.9515429602,15.000000000000314,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c2_k15_lpweight/cg.json,e1a80fdfdd124b533bcb4dd708f9da788a0c1d891ef443e4038c6a0c385d71c0,,,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,7dcb9f28aedaa9eaf2c24b373318ea04522213ed178b7460eac942bce270d35c,c0b2248b2703059e1fe68ead33407150492615e0703dd207f3a21be1c39ae892
c3_k08_integer,c3_k08,8,previous_k_integer,7,7,7,0,7,0.6677481532096863,14.754609312737982,True,certified,800212.6874705863,7.9999999999999805,9,9.0,True,False,210.0417862256368,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k08_integer/cg.json,73de4ee77fddf9a9208c6ac76f19422ad41471475b38db96f8b02e0375a4e45b,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k08_integer_mip/mip_result.json,708351a947b1dd3a0449f052c70e293616e7ebd990d16e245d381f62a9e62993,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,dead923beaeb5a5de50640016eb7ff8dc147932d384428e1ee218d8088117cc4,3fc1c1240cbfcffb9877b1b128d19412c00962ffd0ce0dcb1d12c8ed52f9cd97
c3_k08_lpweight,c3_k08,8,previous_k_lpweight,7,7,7,0,7,0.668709740974009,12.224888244597242,True,certified,800212.6874719345,7.99999999999999,9,9.0,True,False,210.01926028728485,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k08_lpweight/cg.json,6d0e32b519090482aa9222769b99d55ba0945656e2f5b2d5cf39345b0093301d,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k08_lpweight_mip/mip_result.json,2a0c0aa542d602955933c38e85a606a4f3b015eee6cd6380e9387f424c159ad5,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,087242a6ae39d0262e156ab3f25281fc344c7508f0bd9592874197d7f5d8d177,4b5961f52d8147ca4f88cc48d72b77fd018a8f621b9706e17c56db3682d1ec74
c3_k10_integer,c3_k10,10,previous_k_integer,9,9,9,0,9,0.4812962277792394,28.64583587575859,True,certified,1000316.8231857823,9.999999999999998,11,10.000000000000004,False,False,210.03810198704403,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k10_integer/cg.json,e213d8f530e51c041af88f9530660563d3c5f318a3cb1dd27cae36e9c9ee2ece,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k10_integer_mip/mip_result.json,32d7f24e84c2aa09fdb19d80f4834bb6d5bc201cfc40d5621a3bff7cbf745551,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,51252e1a929453aef088d0be75ce47ac403fced6f7aab167e6979c56a99e527d,abc092ee50637ff72da41edf6eaa53d465a6fd79763e2cf45418515e45e7e314
c3_k10_lpweight,c3_k10,10,previous_k_lpweight,9,9,9,0,9,0.6260870059486479,27.703818593438093,True,certified,1000316.823185783,10.000000000000005,11,10.000000000000009,False,False,210.0868421236674,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k10_lpweight/cg.json,6807f20a74944bd3f2824e50232ecd94bd54e774675c33e0a7c81528fb598b62,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k10_lpweight_mip/mip_result.json,5a30fac9863c582f318af19d750e29798ceceb1898f2002178c282e75da90b37,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,cc367988f44f0c24a4ab82276a39b41435c689b280763522179ee9abd694b95a,19d3836ff59f6530dfcec11b011188543f241cbb83214c5a80a0c1d98dac7889
c3_k15_integer,c3_k15,15,previous_k_integer,14,14,14,0,14,0.7185013168491423,66.70184926892786,True,certified,1500507.4203245097,15.000000000000057,15,14.999999999999993,True,False,210.02064427932103,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k15_integer/cg.json,dd7ce4411a0e2e9a02a20792338c25e2e24e6d94a9e26b0d3d6220c549833dbe,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k15_integer_mip/mip_result.json,9610c37c21602682b9e2af3f8f3755046fc1eec04032c5fcfdf7e8ea33e7ae54,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490,6c89b9251838c3d6869d808dc2789ccff66906aaf4b138f4e84011f72a0918f5,067ecc2dd7f5ec500e892c0e844e941ab70de2de247c887d6bcfa77e8b3c67f0
c3_k15_lpweight,c3_k15,15,previous_k_lpweight,14,14,14,0,14,0.7437028230633587,70.29889787831344,True,certified,1500507.4203244853,14.999999999999813,17,15.000000000000023,False,False,210.12744844754536,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k15_lpweight/cg.json,afa09ce6aa4927834cb143917fb2d8b609b208ac6c1b51f1f5f9cf6dcb5dbc79,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c3_k15_lpweight_mip/mip_result.json,4f204cb0a23148097e371f95145a3850f7f3176febd7b89b52f87648ab4b9703,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490,5f653dc98fd03be0b474774d81cc9343ec177c22fbb2b2a06da137a43cd78363,b0ddffb7f9ea6bf763f9fb6f0d73bba2501d2338d757002983fda1b1de1dacaa
c4_k08_integer,c4_k08,8,previous_k_integer,7,7,7,0,7,0.5064978757873178,52.55092254838285,True,certified,800359.8182244824,7.999999999999975,9,9.0,True,False,210.0280118584633,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k08_integer/cg.json,5292501cd33683758b11e1de8c0e19af8a6f106b6269403ab79cbb872853d902,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k08_integer_mip/mip_result.json,7f038e38b03ddce388eb9ecd44129386f3aefec9d0589bdc38a3107bf0758248,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,04b425448175f010c1b457b3d78bd54c13faa7fd8db7323a60d15e2770361974,a4c28b1e9029301a952263a168e0519ea6c6fe255552c09bd8261630058dafeb
c4_k08_lpweight,c4_k08,8,previous_k_lpweight,7,7,7,0,7,0.496149251004681,49.56482207099907,True,certified,800359.8182244855,8.000000000000007,9,9.0,True,False,210.05344634056092,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k08_lpweight/cg.json,0923ab5d62f78d369dad65a05d7fd2d93d4885088cd01450b00a9cc25ba65700,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k08_lpweight_mip/mip_result.json,29dee90a820b03f1488144562ad7a3fc7ed40c7b70080e7ceac4f83d21128c00,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,ba35f9f87d588c3f939a788e2ad48d8d872c93d93db07ecbdf75758be1f04fdd,977add7d2a186c942f275108c0c9b23e0469d4c7007ddad5d9a23da88cecdcbb
c4_k10_integer,c4_k10,10,previous_k_integer,9,9,9,0,9,0.6015982320532203,56.1533918925561,True,certified,1000426.2710758048,10.000000000000025,11,11.0,True,False,210.0241968870163,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k10_integer/cg.json,8f086f02915d0549d5f023e217bca480c3cc6e81826bc232c4de003f42c18de5,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k10_integer_mip/mip_result.json,71290209b3abe3ba9c51005795cc7df7960062c9b130dca8560ec00644da9bc9,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,aca32f4f79c75eef2df03fbf9dd73b17b682a65da4b5d89a646a838e03dce951,1ec918219f00d017f847154f41b02d2ea58a7935ec8b36247a26a90a41912851
c4_k10_lpweight,c4_k10,10,previous_k_lpweight,9,9,9,0,9,0.5975512168370187,67.46681248917788,True,certified,1000426.271075802,9.999999999999996,11,11.0,True,False,210.02368173996607,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k10_lpweight/cg.json,48d06b8fd3130a747e98179ced80ee176d901d0da71ed175e3e9b6725da4e901,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k10_lpweight_mip/mip_result.json,66350fd64e508022b1740f83f4849add762c246ead5e9fb7731a71c5d9da3d57,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,b6866c6a5e8c595d7aacb9b7c9f6a4b9b5bf3f523dce6abbc9cdd1d03a9c97ec,7faf2c574fa2ddb50f81628e2c16dfc19db5ab3b01e422c9b6531d140efea2b8
c4_k15_integer,c4_k15,15,previous_k_integer,14,14,14,0,14,0.6914310646243393,228.6563967405896,True,certified,1500637.9289838213,14.999999999999947,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k15_integer/cg.json,7889ff582c8f2579e3513efbd2a4b73004dae8a3a6d8aef6bf3ac3afe81b498d,,,16cd175ed25d1872a191a750b6586ef2fd395c587ad6323ff5895f4094d15fb2,a84cb66481690df1c8d688eb0e6dfe2185464c3377b654ad9e37532d44db5176,0198d47c4b670c0d39cb78f62953c234fff4b05d583ef67fcd58d279bdd76c76
c4_k15_lpweight,c4_k15,15,previous_k_lpweight,14,14,14,0,14,0.6900488939136267,223.67565072898677,True,certified,1500637.928983795,14.999999999999684,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c4_k15_lpweight/cg.json,f1c579a90e148663eb49c5a0f9a0e11411ed9f9255fca69d23286ebce236a585,,,16cd175ed25d1872a191a750b6586ef2fd395c587ad6323ff5895f4094d15fb2,3529cc0dc90b9b19e672fab0768a54992d95261be8da9bf96cb7240d92c7b87b,e2cf5d082ef60fbf852e5eed12e0bfa2342341136ee6b7388735182b48db98b9
