case_id,target_buses,prior_buses,buses_found,pool_fleet_bound,fleet_proved_in_pool,outcome,fleet_stage_minutes,total_mip_minutes,original_pool_sha256,new_pool_sha256,input_sha256,same_ordered_pool_and_inputs,prior_result_path,prior_result_sha256,new_result_path,new_result_sha256,source_status_sha256,source_journal_sha256
c1_k08_c200_longmip,8,9,9,8.000000000000005,False,fleet gap open,180.1361748099327,210.05682677427927,5c2092603a0fc545f12d10967e729eea125ad948e16bcc6ef9b772d1792d5296,5c2092603a0fc545f12d10967e729eea125ad948e16bcc6ef9b772d1792d5296,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_c200_mip/mip_result.json,7bc3d11199ab2a38066b5979d9a5fde91a5161ba87ed61c93bdb12290052c499,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c1_k08_c200_longmip/mip_result.json,7702f9c0486e16208bdc528df413a193ff6beac32328b99ef64857c1005d5de1,8432842da2ab9b641f4a38c02d64cadcb103a2a5c02f9328f0c852b9d93e427a,66c12dc4c86f2f97984bd0e15fb24d554bed61b908d7efe20e177da11b475382
c2_k08_c200_longmip,8,9,9,8.000000000000009,False,fleet gap open,180.0790038228035,210.03992125590642,71fb6b0d32724241c45b3576581f0e1869b6477a0677e7aecf66e113d5ccb1f1,71fb6b0d32724241c45b3576581f0e1869b6477a0677e7aecf66e113d5ccb1f1,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_c200_mip/mip_result.json,5d176b26b47eb7f5ced24604bd18f13959c54fcb8d3c14ea8ad2a87a7145da2b,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c2_k08_c200_longmip/mip_result.json,65f7ec55c21f0e802d82722737df43e19cea9a549fdc955b96f2d33c56a8b176,facde2be1fc30948ab804e4b22e781dee6a1c0e67eafd87dfb65a971844a9139,ec7e7a1703a39685011dd7bd0b05ab8761cf92351647b0a8a85a7ecbe6afb4e1
c2_k08_complementary_longmip,8,9,9,8.000000000000002,False,fleet gap open,180.01236924727758,210.03575325012207,746e0059626b7d7d69833c2a4c7d12d3122ba7f9e1a3cabcb1dfc56545392236,746e0059626b7d7d69833c2a4c7d12d3122ba7f9e1a3cabcb1dfc56545392236,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_complementary_mip/mip_result.json,81a25d1bf330dce7c32cc0e04a6bc888d000c1bb54d26daae4c97d4390fcd978,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c2_k08_complementary_longmip/mip_result.json,29a36e4d29b451faf487c01cb1238e74a8af9115140d426a5edd7ecca0419c7c,c71af03e0bc8ca7abd2954032e2f31a9cbfcd680028f75fa0c45264efec36c04,8397fe9ea39bea9ffc5ee46b847e53b7abb4cb054ff5e8aacf15058b1992b3c2
c4_k08_c200_longmip,8,9,9,9.0,True,target absent from this pool,153.80432251691818,210.08104172150294,42355cfacb3f0fdf7f18dfa6042a88387922fac50639f240610c9304df473001,42355cfacb3f0fdf7f18dfa6042a88387922fac50639f240610c9304df473001,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c4_k08_c200_mip/mip_result.json,5d6bdc56b0cf6120e06f527e58415b435fce7f996f44de1413735845e21d19ba,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c4_k08_c200_longmip/mip_result.json,1ea6de48c9382c6656a070957672cd670d906e36e7cf9073deec973b5563d8d8,a2f729dc2111a1c1538e8bec5eba8d24b7d6e0a36b3f5c410b82b9f221544cec,8b27d8a1c48b4caca522fe7be72fa1add650f1d43c4a240ba93e72c84c97e92c
c4_k08_complementary_longmip,8,9,9,9.0,True,target absent from this pool,133.16797165870668,210.0306450486183,f30c936b093052fe252447856564db97ee6504e1a5829fcad18f9f270a52f4c5,f30c936b093052fe252447856564db97ee6504e1a5829fcad18f9f270a52f4c5,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c4_k08_complementary_mip/mip_result.json,3fc1de8b3ff6993f187611d8d0e6430176e37450473cd530f77db922c63faba7,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c4_k08_complementary_longmip/mip_result.json,c34b2609fa61fd0b1b2bcd00f4156fa3a85a8a10b8db68c1df2438abcef08af9,446dfb2cb4d6554fbf238bbfe8937d89cef126e1b532b0b45d90c9831191d9ab,5ff9393793039f029c99de7e6d25d1c1efb15d258e759a9643fa980dfc92b01a
c5_k08_c200_longmip,8,9,9,8.000000000000021,False,fleet gap open,180.089288465182,210.12593278884887,2cdaf8c981db1d6c16ff2a191a312b887269cfdb38cc9c01771c0249cf0af64c,2cdaf8c981db1d6c16ff2a191a312b887269cfdb38cc9c01771c0249cf0af64c,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k08_c200_mip/mip_result.json,bd0de29637ea83ffa866d8b9b74cc3d80a1fed32446a9c5e69fa2a2f9a6468c7,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c5_k08_c200_longmip/mip_result.json,bb1b3fd57d75f2dc9188272e8565da3251348638befb1eacdedf4596065e23d3,86217aaefc523a92e98c56be7c0c421f33a592e09871d007c41a556e490e33fd,a9fd6c342789dc82e05d2701249511644a495e63b8ed9dbacc31f9ed4cc1c0b6
c5_k10_c200_longmip,10,11,11,10.000000000000036,False,fleet gap open,180.12137647072475,210.20766565799713,a4fb4ce5b9695a70ec05ef01dc57620ea6c01cb6d94d961669968440f2a94bbc,a4fb4ce5b9695a70ec05ef01dc57620ea6c01cb6d94d961669968440f2a94bbc,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k10_c200_mip/mip_result.json,c6c828b15599e46f16490e4616b6ad53085fe6b50c7f5d19f9fd6f0f9b01a49e,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c5_k10_c200_longmip/mip_result.json,522dcf534426031b136f8c920a17ebb43b17f832816f72c77fb845ec788e3105,8e44f44c95c409d1f6173630f5b07fd9bfe29ae6ed11d07be79ebb8f38c5a718,a355e2868c68b58244a9d0c5d76fa90c47d9154540e627e4d1cab7f36d968f5c
c5_k10_complementary_longmip,10,11,11,10.000000000000012,False,fleet gap open,180.0131179849307,210.01693895657857,9153d75c349c6ec7f05ea1807f93731ce4fd995dde7d338af972a0dfad6948fb,9153d75c349c6ec7f05ea1807f93731ce4fd995dde7d338af972a0dfad6948fb,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k10_complementary_mip/mip_result.json,3896d6b57b230292e23939def889f19fe0092ae71735865f160682f4c5bb8c93,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c5_k10_complementary_longmip/mip_result.json,b574b33565c35fc0b4af4c40fd377b315bc35f6bfda6e3191663620ed3c174ab,22f1eb659b1369da2dca07805b8c48b74c46ff6e0c6f13ee8aca06c1ece27e9b,8463ffa7f922ce7cdeb8e75c3c4db57101a3952107d21daa700c1b052936b00a
c6_k10_c200_longmip,10,11,11,10.000000000000004,False,fleet gap open,180.04625016848246,210.02938026189804,6e8d7ec978e642dfce04c604debdeba8f77555b9d493e66d52876669439dc0bf,6e8d7ec978e642dfce04c604debdeba8f77555b9d493e66d52876669439dc0bf,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k10_c200_mip/mip_result.json,3c544f48e2a465e5be80137c39d5442fce1abbfcf93705d17ec77553e4e7aed1,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c6_k10_c200_longmip/mip_result.json,fb9df62226fedfac0c369ec578c57a88d6a2f38950ba94ed0bc68695959d2e66,b3717e129b6a491d7d2cec062ae9ddf13e738a608d1855d9bdaf101da7cef4b5,c519a0f6e8d08ded470743611ec746d01c115f4ea39f5635be600202c8009955
c6_k10_complementary_longmip,10,12,11,11.0,True,target absent from this pool,120.9898905913035,210.01922340790432,3072153bbdd3f4fc2d03ba29b4deb09a8fe7a57354cd645a7bbfb639a4c39c8a,3072153bbdd3f4fc2d03ba29b4deb09a8fe7a57354cd645a7bbfb639a4c39c8a,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k10_complementary_mip/mip_result.json,b94153c8f45d6b9a6c34cf93f789c9f16c7fdba0c1ab73f1a5598e68e8f849af,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/c6_k10_complementary_longmip/mip_result.json,f069132ed2498c6d063909d98ebbe966da12977ac959c71ae6d01e9436ca0c03,c4b34479a5720b99150a0f786f391be68da4b8bde7b7caf810fa8f3a05356bb8,5f6b28a4318cb91e9200288684539866207f4f733a47046d3059658d459136af
