formulation,target_k,chain,available,fleet,fleet_excess,status_code,mip_status,fleet_proven,optimal_scope,mip_bound,overcovered_trips,input_sha256,source_path
partition,5,1,True,5.0,0.0,OPT,OPTIMAL,true,full_pool_lexicographic,5.0,0.0,eba01cda70407e36244a98c5b4e423dd463df071940d568c24358dfbced512f8,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p1__event_2p5_event5.json.raw_pool_mip8h.json
partition,5,2,True,8.0,3.0,OPT,OPTIMAL,true,full_pool_lexicographic,8.0,0.0,286ef14718748dbeb88980e11f835ed920cb9a01f72708aec4b43a436001ec86,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p2__event_2p5_event5.json.raw_pool_mip8h.json
partition,5,3,True,6.0,1.0,OPT,OPTIMAL,true,full_pool_lexicographic,6.0,0.0,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p3__event_2p5_event5.json.raw_pool_mip8h.json
partition,5,4,True,9.0,4.0,OPT,OPTIMAL,true,full_pool_lexicographic,9.0,0.0,d51b0dab0f1f20b7d9ce193b79f5ea1ac48a0d084b435ed7d0b4a26485fe3653,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p4__event_2p5_event5.json.raw_pool_mip8h.json
partition,5,5,True,13.0,8.0,OPT,OPTIMAL,true,full_pool_lexicographic,13.0,0.0,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p5__event_2p5_event5.json.raw_pool_mip8h.json
partition,5,6,True,5.0,0.0,OPT,OPTIMAL,true,full_pool_lexicographic,5.0,0.0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k05_p6__event_2p5_event5.json.raw_pool_mip8h.json
partition,8,1,True,32.0,24.0,~,TIME_LIMIT,false,none,9.0,0.0,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k08_p1__event_2p5_event5.json.raw_pool_mip8h.json
partition,8,2,True,30.0,22.0,~,TIME_LIMIT,false,none,8.00000000000417,0.0,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k08_p2__event_2p5_event5.json.raw_pool_mip8h.json
partition,8,3,True,27.0,19.0,~,TIME_LIMIT,false,none,9.0,0.0,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k08_p3__event_2p5_event5.json.raw_pool_mip8h.json
partition,8,4,True,31.0,23.0,~,TIME_LIMIT,false,none,9.0,0.0,b0c454201f81795f6283f17128487a10d54062056e6283b333d70a10f46dd353,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k08_p4__event_2p5_event5.json.raw_pool_mip8h.json
partition,8,5,True,24.0,16.0,~,TIME_LIMIT,false,none,9.0,0.0,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb/mip/M__k08_p5__event_2p5_event5.json.raw_pool_mip8h.json
