chain,target_k,fleet,pool_fleet_bound,fleet_proven,charging_stage_status,cg_minutes,mip_seconds,overcovered_trips,physical_replay_validated,duplicate_removal_validated,shared_capacity_validated,source_path,sha256
1,5,5,5.0,True,OPTIMAL,30.560678819268166,2.4181367461569607,0,True,True,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p1__cover__event_2p5_event5__1h2stage.json,eb0981b01267752f829186f5278404c8974858944a5ff4a373c11b43c72f9902
1,8,9,9.0,True,TIME_LIMIT,81.52594235868115,3602.89286695607,40,True,False,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p1__cover__event_2p5_event5__1h2stage.json,9fdbbfde4d49cc1b5aa8876b42c54e8ee8907964d52997dfa7f584f87afc2ad9
1,10,11,11.0,True,TIME_LIMIT,127.23875132616764,3603.1702974149957,30,True,False,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p1__cover__event_2p5_event5__1h2stage.json,7b8c024c2efa5bc4df991f95650435a6f4ffbd1bc7afeccf349ad935bd2606ae
2,5,5,5.0,True,OPTIMAL,21.409510605584366,100.76579810399562,10,True,False,False,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k05_p2_cover_event_2p5_event5/default1h_a02/result.json,afcd29e747e11dba12cb2727c74e63da624eeb8bdeef62b1bf08217f7d9a8e5f
2,8,9,8.000000000000005,False,TIME_LIMIT,45.717065090495936,3600.923454470001,35,True,False,False,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k08_p2_cover_event_2p5_event5/default1h_a02/result.json,09cfd527aebb20ddae1c5d280fe494320b3fddae0bf389bccf5f7e35919ac7ee
2,10,11,10.000000000000068,False,TIME_LIMIT,112.1820697004286,3600.9640950579196,49,True,False,False,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k10_p2_cover_event_2p5_event5/default1h_a02/result.json,e4f3d91581feb823a8a316a7b433a352943ba7e0d849df7fce496875fae3f345
3,5,5,5.0,True,OPTIMAL,8.431473303939372,3.5400333967991173,0,True,True,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p3__cover__event_2p5_event5__1h2stage.json,024eb1466b203a3590682be76495f230c3962405730ef999761ad598e458ca51
3,8,9,9.0,True,TIME_LIMIT,22.210948980556957,3600.6073105118703,25,True,False,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p3__cover__event_2p5_event5__1h2stage.json,d3931df7d56dafa3c7a40e322af0665578523a4ee5aee74d5ee1fe41ee4515c2
3,10,11,10.000000000000009,False,,48.938516747318985,3600.9968587330077,58,True,False,False,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p3__cover__event_2p5_event5__1h2stage.json,58ae7a287860f14ee523de52086c3cc011e904aecbade026851d024fd44d65d6
4,5,5,5.0,True,OPTIMAL,20.122788567348227,19.31737076700665,3,True,False,False,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k05_p4_cover_event_2p5_event5/default1h_a02/result.json,182da0c112c80ceab37c32bc6ef95b074aa325545092afac3083f20ff0c4d5da
4,8,9,9.0,True,TIME_LIMIT,89.6222526440261,3601.2845765959937,29,True,False,False,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k08_p4_cover_event_2p5_event5/default1h_a02/result.json,58c34249fc8f3b1d2a206ce5f698872e6f062466fc501a8189dbc88e8d554be8
