case,chain,target_k,new_buses,old_bounded_buses,old_fleet_proven,old_fleet_bound,cg_certified,cg_minutes,cg_iterations,weighted_lp_objective,fractional_route_weight,minimum_reduced_cost,accepted_inherited_routes,import_minutes,cg_path,cg_payload_sha256,old_mip_path,old_mip_sha256,mip_fleet_bound,mip_fleet_proven,mip_pool_columns,mip_physical_replay_validated,mip_duplicate_trip_removal_validated,mip_cross_route_charger_capacity_validated,mip_runtime_s,mip_status_name,mip_path,mip_sha256,input_sha256,stage1_runtime_s,stage1_status_name,stage2_status_name,stage2_fleet_constraint
w1_k07,1,7,7,8,True,8.0,True,49.14579652828785,550,700313.4570986115,7.000000000000063,-4.3533932014838683e-10,59910,5.049764477112331,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k07/cg.json,8ccb5f3921d0b6f789ae369740327ac04ea9e270e45bef2703cc3d5b76236795,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/mip/949636_r0/result.json,40ff159cf6f4dd677477adf37d23e043b351af58b4ac4091d1452db35517f808,7.0,True,74019,True,False,False,3601.0013036727905,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k07/mip/41576_r0/result.json,51b9be3d1e73be60f3d9b2891e4eccc0f4f983677bd124c10d5b181c3a99363a,c1ddecd62cc584d309a486886062f26c4dc8adc2221fc621a47d9c30713304d6,23.303578853607178,OPTIMAL,TIME_LIMIT,at_most
w1_k08,1,8,8,9,True,9.0,True,23.972495051162937,177,800383.6879776382,8.000000000000009,-1.0789169557767764e-09,74019,7.093580845301039,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k08/cg.json,b357de6793e84e4056d242768afc4848251a06cfa491313b2a978b44b23c1910,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/mip/949638_r0/result.json,bf00821a6c80c6adb133bcc565c9872ea8fcaa75c06fe7f54b732e5d62551e54,8.0,True,78053,True,False,False,3602.4443945884705,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k08/mip/41578_r0/result.json,a419ef451a44fe51c519dd083a70059fc690aef45587ba2a0d8e02c1a2daa83d,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,31.147420406341553,OPTIMAL,TIME_LIMIT,at_most
w2_k09,2,9,9,10,False,9.000000000000004,True,32.47639080351607,468,900301.352986131,9.000000000000023,-1.7648007499815321e-09,42732,3.211069668266767,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k09/cg.json,7e0064b7fcb066d327c97108cc8c6a098024c7eded6c985da1b88029c1a93c7b,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/mip/949694_r0/result.json,39a2ac2ec040e77f879f31c06c20f494f239579f2b0838cd89b60c54c4a03392,9.0,True,53744,True,False,False,3602.0346932411194,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k09/mip/41593_r0/result.json,b10ac87f10054e2769eb7b41537f5dddd0397b8d7933d203c12a08bc76a2305f,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,17.52887511253357,OPTIMAL,TIME_LIMIT,at_most
w2_k10,2,10,10,11,False,10.00000000000008,True,16.390091063963094,148,1000371.1457444465,10.00000000000009,-9.518442034561758e-09,53744,4.457675522084658,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k10/cg.json,f21879bca429d4e3f16644e879a3f4b2aadb00616dc67ee64ea3421af35e7dbc,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k10/mip/949696_r0/result.json,1613a8a7690865b07dadd4fab68f2b15c5fd1483ccdc23eff46f82dee4e862bf,10.0,True,57186,True,False,False,3600.8616950511932,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k10/mip/41595_r0/result.json,44eb01b7346c322a10b04651ce4702c4aed79ce1864eee5b86b0f1668c884daa,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,9.07471776008606,OPTIMAL,TIME_LIMIT,at_most
w2_k11,2,11,11,12,False,11.00000000000002,True,12.020641814917326,197,1100404.2504343088,10.999999999999941,-3.442580887025315e-09,57186,2.584592829865869,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k11/cg.json,cca130b3e4bba6e73bf87a53898f851a2d0887969403946a26d9c1d36a79b61b,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k11/mip/949698_r0/result.json,579a0762d0a356c126e526fd55b13e61ceaee7428e765eac0404960a3a1d85d0,11.0,True,61318,True,False,False,3602.1549727916718,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k11/mip/41597_r0/result.json,71d074b3de643f30dd5c8d173b608f26adf956b032f8bd3371516b4210795c14,ed584dba0369e1e42c7a19b6e58d50ec2c2f963561e00a07de5acf424b051759,10.835767984390259,OPTIMAL,TIME_LIMIT,at_most
w3_k11,3,11,11,12,False,11.000000000000066,True,15.599344112180795,208,1100375.858688106,11.000000000000037,-3.3642693075819352e-09,35495,2.4127485124083856,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k11/cg.json,e6f27ace9484740de500c59f59fd46a54289175cc81ae6743166611a40ebeb56,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k11/mip/949708_r0/result.json,6dec136ef8cca302e5fb12b6d5885890ca7f117ab0e00e6ba5bc0446c1ed268d,11.0,True,41079,True,False,False,3601.92853975296,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k11/mip/41606_r0/result.json,43d3d0d437bcdca54d567e2c29dbdb12307fc7a0bd3e8f076b4af01b32060c9d,d44ae4a734a62fb603359e97f3d8b187c2cb0bd10c5e00bf20e33f1b321d0dc1,31.332163333892822,OPTIMAL,TIME_LIMIT,at_most
w3_k12,3,12,12,14,False,12.000000000000032,True,13.14682790733253,145,1200427.901093243,12.000000000000032,-9.065405759400846e-09,41079,2.8197070520371197,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k12/cg.json,b0f1f243f6b3ff015748027a8983efa2437293daa3d6a576393374c9efa5d0c8,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k12/mip/949710_r0/result.json,2097838b531f579113008eae729097f6fb9b550db76cd9b2f60bc7c9e34c93a5,12.0,True,45056,True,False,False,3601.270429611206,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k12/mip/41608_r0/result.json,98aaaeb03302c077c5d7c7661de8bff8a7f0fd5e74eb6ccc41461e874dddac01,66992416ee607061fe538bcd137d1f065465f5befeca51e11717935178d24e76,61.640135288238525,OPTIMAL,TIME_LIMIT,at_most
w3_k13,3,13,13,14,False,13.000000000000046,True,24.68613729408632,358,1300474.5587871503,13.000000000000048,-1.4000589576568245e-08,45056,2.5323385175007087,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k13/cg.json,ca646c3208b7da4a463cd34b4e77f5a64431c8076eaf72e406af3118a4d538a7,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k13/mip/949712_r0/result.json,0390889d9d70bddfb9a34a3ea864e2f0e24d64f861ea5594d4da3ecfd12bc854,13.0,True,54857,True,False,False,3602.355129480362,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k13/mip/41610_r0/result.json,11c48d939e2c77e732e9e437686c6cef01d9463b3df8a21edab7bd8f7a831a71,23ea33b676cfbdcdd4f9f652106081ad60c87ba346a069110af7b007fbbf74b2,193.48818922042847,OPTIMAL,TIME_LIMIT,at_most
w3_k14,3,14,14,15,False,14.000000000000016,True,22.946230176937146,246,1400485.5970424789,14.000000000000608,-3.301989170978459e-08,54857,3.504633178166114,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k14/cg.json,f24cae770c0b10643746660555e3bc824ba380b251aad563bcb4e2349d1b112d,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k14/mip/949714_r0/result.json,060440ecc7c9b207a2bf26a85897f352fc76e6831fbba5c6c387c2d2dd8e6764,14.0,True,61584,True,False,False,3601.5331966876984,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k14/mip/41612_r0/result.json,a0522e7f829355dbf2a7373ff75e6d431806fbd37da682ae7d3c8a734d09fee8,e2674adb1bdaa6c27aaab5a3aa12ab701f92000de2ef6ffeee8cf4aea3452e4a,40.88839602470398,OPTIMAL,TIME_LIMIT,at_most
w4_k10,4,10,10,11,True,11.0,True,18.834954842956115,222,1000426.2710758079,10.000000000000057,-1.6841346095475274e-09,40954,3.31480007302016,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w4_k10/cg.json,9316c2c042fe358de5bb443866bfe7dfa6bc67346d8c3182b550a60e42119e05,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k10/mip/949718_r0/result.json,b24376dcf3deae8463de06e72b9d4e749fd363c643db844a3945016ba262deed,10.0,True,45886,True,False,False,3600.853101491928,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w4_k10/mip/41615_r0/result.json,60598fefe6e21f833b1afb38c434916cf86e00ef7802eb8b94c4b4ea7af1516f,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,3.790797710418701,OPTIMAL,TIME_LIMIT,at_most
