case,arm,route_index,event,node,time_min,soc_240_kwh
c1_k05,base,0,initial,PARX_0,0.0,240.0
c1_k05,base,0,deadhead_arrival,6,,232.2
c1_k05,base,0,service_end,6,451,189.7
c1_k05,base,0,deadhead_arrival,2190L_0,451.0,189.7
c1_k05,base,0,charge_block_end,2190L_0,458.5,217.5
c1_k05,base,0,deadhead_arrival,14,458.5,217.5
c1_k05,base,0,service_end,14,519,175.7700005
c1_k05,base,0,deadhead_arrival,21,519.0,175.7700005
c1_k05,base,0,service_end,21,582,133.2700005
c1_k05,base,0,deadhead_arrival,2190L_0,582.0,133.2700005
c1_k05,base,0,charge_block_end,2190L_0,589.5,162.5
c1_k05,base,0,deadhead_arrival,29,589.5,162.5
c1_k05,base,0,service_end,29,647,120.77000050000001
c1_k05,base,0,deadhead_arrival,38,647.0,120.77000050000001
c1_k05,base,0,service_end,38,709,78.27000050000001
c1_k05,base,0,deadhead_arrival,2190L_0,709.0,78.27000050000001
c1_k05,base,0,charge_block_end,2190L_0,720.0,122.27000050000001
c1_k05,base,0,charge_block_end,2190L_0,725.25,142.5
c1_k05,base,0,deadhead_arrival,49,725.25,142.5
c1_k05,base,0,service_end,49,787,100.77000050000001
c1_k05,base,0,deadhead_arrival,57,787.0,100.77000050000001
c1_k05,base,0,service_end,57,850,58.27000050000001
c1_k05,base,0,deadhead_arrival,2190L_0,850.0,58.27000050000001
c1_k05,base,0,charge_block_end,2190L_0,858.125,90.00000000000001
c1_k05,base,0,deadhead_arrival,63,858.125,90.00000000000001
c1_k05,base,0,service_end,63,920,48.270000500000016
c1_k05,base,0,deadhead_arrival,71,920.0,48.270000500000016
c1_k05,base,0,service_end,71,986,5.770000500000016
c1_k05,base,0,deadhead_arrival,2190L_0,986.0,5.770000500000016
c1_k05,base,0,charge_block_end,2190L_0,998.5,55.000000000000014
c1_k05,base,0,deadhead_arrival,81,998.5,55.000000000000014
c1_k05,base,0,service_end,81,1060,13.270000500000016
c1_k05,base,0,deadhead_arrival,4808_0,1060.0,13.270000500000016
c1_k05,base,0,charge_block_end,4808_0,1080.0,93.27000050000001
c1_k05,base,0,charge_block_end,4808_0,1096.25,157.5
c1_k05,base,0,deadhead_arrival,94,1096.25,157.5
c1_k05,base,0,service_end,94,1249,115.0
c1_k05,base,0,deadhead_arrival,97,1249.0,115.0
c1_k05,base,0,service_end,97,1325,73.27000050000001
c1_k05,base,0,deadhead_arrival,100,1325.0,73.27000050000001
c1_k05,base,0,service_end,100,1387,30.77000050000001
c1_k05,base,0,deadhead_arrival,PARX_0,1406.0,2.770000500000009
c1_k05,base,1,initial,PARX_0,0.0,240.0
c1_k05,base,1,deadhead_arrival,1,,232.2
c1_k05,base,1,service_end,1,387,189.7
c1_k05,base,1,deadhead_arrival,7,387.0,189.7
c1_k05,base,1,service_end,7,455,147.9700005
c1_k05,base,1,deadhead_arrival,15,455.0,147.9700005
c1_k05,base,1,service_end,15,522,105.4700005
c1_k05,base,1,deadhead_arrival,2190L_0,522.0,105.4700005
c1_k05,base,1,charge_block_end,2190L_0,538.875,170.0
c1_k05,base,1,deadhead_arrival,23,538.875,170.0
c1_k05,base,1,service_end,23,597,128.2700005
c1_k05,base,1,deadhead_arrival,30,597.0,128.2700005
c1_k05,base,1,service_end,30,659,85.77000050000001
c1_k05,base,1,deadhead_arrival,40,659.0,85.77000050000001
c1_k05,base,1,service_end,40,727,44.04000100000001
c1_k05,base,1,deadhead_arrival,50,727.0,44.04000100000001
c1_k05,base,1,service_end,50,789,1.5400010000000108
c1_k05,base,1,deadhead_arrival,2190L_0,789.0,1.5400010000000108
c1_k05,base,1,charge_block_end,2190L_0,839.0,200.00000000000003
c1_k05,base,1,deadhead_arrival,60,839.0,200.00000000000003
c1_k05,base,1,service_end,60,899,158.27000050000004
c1_k05,base,1,deadhead_arrival,69,899.0,158.27000050000004
c1_k05,base,1,service_end,69,964,115.77000050000004
c1_k05,base,1,deadhead_arrival,80,964.0,115.77000050000004
c1_k05,base,1,service_end,80,1041,74.04000100000005
c1_k05,base,1,deadhead_arrival,86,1041.0,74.04000100000005
c1_k05,base,1,service_end,86,1102,31.540001000000046
c1_k05,base,1,deadhead_arrival,PARX_0,1121.0,3.5400010000000464
c1_k05,base,2,initial,PARX_0,0.0,240.0
c1_k05,base,2,deadhead_arrival,5,,237.2
c1_k05,base,2,service_end,5,421,214.85900039999999
c1_k05,base,2,deadhead_arrival,9,421.0,214.85900039999999
c1_k05,base,2,service_end,9,457,193.53100129999999
c1_k05,base,2,deadhead_arrival,13,457.0,193.53100129999999
c1_k05,base,2,service_end,13,494,171.19000169999998
c1_k05,base,2,deadhead_arrival,18,494.0,171.19000169999998
c1_k05,base,2,service_end,18,527,149.86200259999998
c1_k05,base,2,deadhead_arrival,22,527.0,149.86200259999998
c1_k05,base,2,service_end,22,563,127.52100299999998
c1_k05,base,2,deadhead_arrival,3127L_0,563.0,127.52100299999998
c1_k05,base,2,charge_block_end,3127L_0,586.125,215.0
c1_k05,base,2,deadhead_arrival,28,586.125,215.0
c1_k05,base,2,service_end,28,617,193.6720009
c1_k05,base,2,deadhead_arrival,34,617.0,193.6720009
c1_k05,base,2,service_end,34,648,173.4910011
c1_k05,base,2,deadhead_arrival,37,648.0,173.4910011
c1_k05,base,2,service_end,37,677,153.6290016
c1_k05,base,2,deadhead_arrival,41,677.0,153.6290016
c1_k05,base,2,service_end,41,694,143.3500013
c1_k05,base,2,deadhead_arrival,44,694.0,143.3500013
c1_k05,base,2,service_end,44,717,133.0840015
c1_k05,base,2,deadhead_arrival,47,717.0,133.0840015
