arm,route_index,battery_kwh,initial_kwh,reserve_kwh,terminal_floor_kwh,min_soc_kwh,max_soc_kwh,terminal_kwh,curve_power_check_passed,frozen_schedule_valid
saved_joint_fee0,0,236.44,236.44,35.466,47.90066852827695,35.46599999999998,236.44,47.90066852827694,True,True
saved_joint_fee0,1,236.44,236.44,35.466,50.20850168172383,35.46599999999988,236.44,50.208501681723845,True,True
saved_joint_fee0,2,236.44,236.44,35.466,57.86741477341874,35.46600000000003,236.44,57.86741477341877,True,True
saved_joint_fee0,3,236.44,236.44,35.466,46.4752988913322,35.466,236.44,46.47529889133221,True,True
saved_joint_fee0,4,236.44,236.44,35.466,48.26644047760146,35.46600000000005,236.44,48.26644047760153,True,True
saved_joint_fee5,0,236.44,236.44,35.466,50.20850168172383,35.46599999999958,236.44,50.20850168172381,True,True
saved_joint_fee5,1,236.44,236.44,35.466,46.4752988913322,35.46600000000011,236.44,46.475298891332045,True,True
saved_joint_fee5,2,236.44,236.44,35.466,57.86741477341874,35.46599999999996,236.44,57.86741477341869,True,True
saved_joint_fee5,3,236.44,236.44,35.466,47.90066852827695,35.465999999999966,236.44,47.900668528276924,True,True
saved_joint_fee5,4,236.44,236.44,35.466,48.26644047760146,35.46600000000002,236.44,48.266440477601414,True,True
