case,arm,route_index,route_schedule_sha256,scenario,source_groups,mapping,unmapped_trips,trip_count,battery_kwh,initial_kwh,reserve_kwh,terminal_floor_kwh,charge_kw,min_soc_kwh,max_soc_kwh,terminal_kwh,below_reserve,over_capacity,terminal_violation,frozen_schedule_valid,minimum_extra_initial_energy_kwh,source
c1_k05,base,0,c23f65a76772409bbe0d30b1aa38e3cf9b93499f96261df64a54e760aada1a61,saved_240_control,18E1,homogeneous_source_group,0,13,240.0,240.0,0,,240,2.770000500000009,240.0,2.770000500000009,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,0,c23f65a76772409bbe0d30b1aa38e3cf9b93499f96261df64a54e760aada1a61,all_18E2_capacity_sensitivity,18E1,homogeneous_source_group,0,13,239.01,239.01,0,,240,1.7800004999999999,239.01,1.7800004999999999,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,0,c23f65a76772409bbe0d30b1aa38e3cf9b93499f96261df64a54e760aada1a61,all_18E1_capacity_sensitivity,18E1,homogeneous_source_group,0,13,236.44,236.44,0,,240,-0.7899994999999933,236.44,-0.7899994999999933,True,False,False,False,0.7899994999999933,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,0,c23f65a76772409bbe0d30b1aa38e3cf9b93499f96261df64a54e760aada1a61,source_group_or_conservative_mixed,18E1,homogeneous_source_group,0,13,236.44,236.44,0,,240,-0.7899994999999933,236.44,-0.7899994999999933,True,False,False,False,0.7899994999999933,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,1,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,saved_240_control,18E1,homogeneous_source_group,0,11,240.0,240.0,0,,240,1.540001000000018,240.0,3.5400010000000464,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,1,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,all_18E2_capacity_sensitivity,18E1,homogeneous_source_group,0,11,239.01,239.01,0,,240,0.5500010000000088,239.01,2.5500010000000373,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,1,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,all_18E1_capacity_sensitivity,18E1,homogeneous_source_group,0,11,236.44,236.44,0,,240,-2.0199989999999843,236.44,-0.019998999999955913,True,False,False,False,2.0199989999999843,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,1,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,source_group_or_conservative_mixed,18E1,homogeneous_source_group,0,11,236.44,236.44,0,,240,-2.0199989999999843,236.44,-0.019998999999955913,True,False,False,False,2.0199989999999843,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,2,220776eb48648a68c081eec25ef99a12cf5d7818c59f2779eccba55d74601202,saved_240_control,18E2,homogeneous_source_group,0,31,240.0,240.0,0,,240,3.961001400000015,240.0,12.865003100000024,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,2,220776eb48648a68c081eec25ef99a12cf5d7818c59f2779eccba55d74601202,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,31,239.01,239.01,0,,240,2.971001400000006,239.01,11.875003100000015,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,2,220776eb48648a68c081eec25ef99a12cf5d7818c59f2779eccba55d74601202,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,31,236.44,236.44,0,,240,0.4010014000000126,236.44,9.305003100000022,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,2,220776eb48648a68c081eec25ef99a12cf5d7818c59f2779eccba55d74601202,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,31,239.01,239.01,0,,240,2.971001400000006,239.01,11.875003100000015,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,3,729b3448beee86957e39151fc1416fed39cf24fbd11285a2ac78f3acd7c87462,saved_240_control,18E2,homogeneous_source_group,0,23,240.0,240.0,0,,240,5.247000899999989,240.0,16.755999840000015,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,3,729b3448beee86957e39151fc1416fed39cf24fbd11285a2ac78f3acd7c87462,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,23,239.01,239.01,0,,240,4.25700089999998,239.01,15.765999840000006,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,3,729b3448beee86957e39151fc1416fed39cf24fbd11285a2ac78f3acd7c87462,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,23,236.44,236.44,0,,240,1.6870008999999868,236.44,13.195999840000013,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,3,729b3448beee86957e39151fc1416fed39cf24fbd11285a2ac78f3acd7c87462,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,23,239.01,239.01,0,,240,4.25700089999998,239.01,15.765999840000006,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,4,0714d303a137c0824a4730b554dbc3a35d7617ed135762635e186c6fcb70bd34,saved_240_control,18E1;18E2,mixed_source_groups_conservative_18E1,0,26,240.0,240.0,0,,240,2.6700005000000147,240.0,2.6700005000000147,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,4,0714d303a137c0824a4730b554dbc3a35d7617ed135762635e186c6fcb70bd34,all_18E2_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,26,239.01,239.01,0,,240,1.6800005000000056,239.01,1.6800005000000056,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,4,0714d303a137c0824a4730b554dbc3a35d7617ed135762635e186c6fcb70bd34,all_18E1_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,26,236.44,236.44,0,,240,-0.8899994999999876,236.44,-0.8899994999999876,True,False,False,False,0.8899994999999876,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,base,4,0714d303a137c0824a4730b554dbc3a35d7617ed135762635e186c6fcb70bd34,source_group_or_conservative_mixed,18E1;18E2,mixed_source_groups_conservative_18E1,0,26,236.44,236.44,0,,240,-0.8899994999999876,236.44,-0.8899994999999876,True,False,False,False,0.8899994999999876,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json
c1_k05,warm,0,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,saved_240_control,18E1,homogeneous_source_group,0,11,240.0,240.0,0,,240,1.540001000000018,240.0,3.5400010000000464,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,0,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,all_18E2_capacity_sensitivity,18E1,homogeneous_source_group,0,11,239.01,239.01,0,,240,0.5500010000000088,239.01,2.5500010000000373,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,0,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,all_18E1_capacity_sensitivity,18E1,homogeneous_source_group,0,11,236.44,236.44,0,,240,-2.0199989999999843,236.44,-0.019998999999955913,True,False,False,False,2.0199989999999843,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,0,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,source_group_or_conservative_mixed,18E1,homogeneous_source_group,0,11,236.44,236.44,0,,240,-2.0199989999999843,236.44,-0.019998999999955913,True,False,False,False,2.0199989999999843,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,1,d324aa498cb8e21a69ec0185f6605feccdff8f9338fa06bffeb89d0b77bd2edb,saved_240_control,18E1,homogeneous_source_group,0,10,240.0,240.0,0,,240,0.4700004999999976,240.0,0.4700004999999976,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,1,d324aa498cb8e21a69ec0185f6605feccdff8f9338fa06bffeb89d0b77bd2edb,all_18E2_capacity_sensitivity,18E1,homogeneous_source_group,0,10,239.01,239.01,0,,240,-0.5199995000000115,239.01,-0.5199995000000115,True,False,False,False,0.5199995000000115,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,1,d324aa498cb8e21a69ec0185f6605feccdff8f9338fa06bffeb89d0b77bd2edb,all_18E1_capacity_sensitivity,18E1,homogeneous_source_group,0,10,236.44,236.44,0,,240,-3.0899995000000047,236.44,-3.0899995000000047,True,False,False,False,3.0899995000000047,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,1,d324aa498cb8e21a69ec0185f6605feccdff8f9338fa06bffeb89d0b77bd2edb,source_group_or_conservative_mixed,18E1,homogeneous_source_group,0,10,236.44,236.44,0,,240,-3.0899995000000047,236.44,-3.0899995000000047,True,False,False,False,3.0899995000000047,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,2,d5e7e181911cda212f309d675871aba61cc0f100d760fb1c3e0fc3f06055cb2a,saved_240_control,18E1;18E2,mixed_source_groups_conservative_18E1,0,27,240.0,240.0,0,,240,2.0,240.0,2.0,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,2,d5e7e181911cda212f309d675871aba61cc0f100d760fb1c3e0fc3f06055cb2a,all_18E2_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,27,239.01,239.01,0,,240,1.009999999999991,239.01,1.009999999999991,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,2,d5e7e181911cda212f309d675871aba61cc0f100d760fb1c3e0fc3f06055cb2a,all_18E1_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,27,236.44,236.44,0,,240,-1.5600000000000023,236.44,-1.5600000000000023,True,False,False,False,1.5600000000000023,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,2,d5e7e181911cda212f309d675871aba61cc0f100d760fb1c3e0fc3f06055cb2a,source_group_or_conservative_mixed,18E1;18E2,mixed_source_groups_conservative_18E1,0,27,236.44,236.44,0,,240,-1.5600000000000023,236.44,-1.5600000000000023,True,False,False,False,1.5600000000000023,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,3,3baffce7d51c461c98b13fd0e18b35c3c9b963999b8cf2150ba77180dd0be8c8,saved_240_control,18E2,homogeneous_source_group,0,21,240.0,240.0,0,,240,14.102001299999984,240.0,14.102001299999984,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,3,3baffce7d51c461c98b13fd0e18b35c3c9b963999b8cf2150ba77180dd0be8c8,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,21,239.01,239.01,0,,240,13.112001299999974,239.01,13.112001299999974,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,3,3baffce7d51c461c98b13fd0e18b35c3c9b963999b8cf2150ba77180dd0be8c8,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,21,236.44,236.44,0,,240,10.542001299999981,236.44,10.542001299999981,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,3,3baffce7d51c461c98b13fd0e18b35c3c9b963999b8cf2150ba77180dd0be8c8,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,21,239.01,239.01,0,,240,13.112001299999974,239.01,13.112001299999974,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,4,5355cdb752ca8852a88384fa66b0035a4129a715fe96ced7a2640b9eb27430fa,saved_240_control,18E2,homogeneous_source_group,0,35,240.0,240.0,0,,240,5.183002499999986,240.0,12.865003099999996,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,4,5355cdb752ca8852a88384fa66b0035a4129a715fe96ced7a2640b9eb27430fa,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,35,239.01,239.01,0,,240,4.193002499999977,239.01,11.875003099999986,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,4,5355cdb752ca8852a88384fa66b0035a4129a715fe96ced7a2640b9eb27430fa,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,35,236.44,236.44,0,,240,1.6230024999999841,236.44,9.305003099999993,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k05,warm,4,5355cdb752ca8852a88384fa66b0035a4129a715fe96ced7a2640b9eb27430fa,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,35,239.01,239.01,0,,240,4.193002499999977,239.01,11.875003099999986,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json
c1_k08,base,0,c00862385275741defc61ec05bd15a19480b53abfaea54e7f978063c70df5952,saved_240_control,18E1,homogeneous_source_group,0,15,240.0,240.0,0,,240,1.540001000000018,240.0,3.5400010000000464,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,0,c00862385275741defc61ec05bd15a19480b53abfaea54e7f978063c70df5952,all_18E2_capacity_sensitivity,18E1,homogeneous_source_group,0,15,239.01,239.01,0,,240,0.5500010000000088,239.01,2.5500010000000373,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,0,c00862385275741defc61ec05bd15a19480b53abfaea54e7f978063c70df5952,all_18E1_capacity_sensitivity,18E1,homogeneous_source_group,0,15,236.44,236.44,0,,240,-2.0199989999999843,236.44,-0.019998999999955913,True,False,False,False,2.0199989999999843,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
