case,arm,scenario,routes,failed_routes,below_reserve_routes,over_capacity_routes,min_soc_kwh,whole_solution_valid,mixed_routes,unmapped_routes
c1_k05,base,all_18E1_capacity_sensitivity,5,3,3,0,-2.0199989999999843,False,1,0
c1_k05,base,all_18E2_capacity_sensitivity,5,0,0,0,0.5500010000000088,True,1,0
c1_k05,base,saved_240_control,5,0,0,0,1.540001000000018,True,1,0
c1_k05,base,source_group_or_conservative_mixed,5,3,3,0,-2.0199989999999843,False,1,0
c1_k05,warm,all_18E1_capacity_sensitivity,5,3,3,0,-3.0899995000000047,False,1,0
c1_k05,warm,all_18E2_capacity_sensitivity,5,1,1,0,-0.5199995000000115,False,1,0
c1_k05,warm,saved_240_control,5,0,0,0,0.4700004999999976,True,1,0
c1_k05,warm,source_group_or_conservative_mixed,5,3,3,0,-3.0899995000000047,False,1,0
c1_k08,base,all_18E1_capacity_sensitivity,9,3,3,0,-3.0899994999999763,False,3,0
c1_k08,base,all_18E2_capacity_sensitivity,9,1,1,0,-0.5199994999999831,False,3,0
c1_k08,base,saved_240_control,9,0,0,0,0.470000500000026,True,3,0
c1_k08,base,source_group_or_conservative_mixed,9,3,3,0,-3.0899994999999763,False,3,0
c1_k08,warm,all_18E1_capacity_sensitivity,8,5,5,0,-3.559999999999974,False,3,0
c1_k08,warm,all_18E2_capacity_sensitivity,8,1,1,0,-0.9899999999999807,False,3,0
c1_k08,warm,saved_240_control,8,0,0,0,2.842170943040401e-14,True,3,0
c1_k08,warm,source_group_or_conservative_mixed,8,4,4,0,-3.559999999999974,False,3,0
c1_k10,base,all_18E1_capacity_sensitivity,11,6,6,0,-2.3199989999999957,False,4,0
c1_k10,base,all_18E2_capacity_sensitivity,11,0,0,0,0.2500009999999975,True,4,0
c1_k10,base,saved_240_control,11,0,0,0,1.2400010000000066,True,4,0
c1_k10,base,source_group_or_conservative_mixed,11,6,6,0,-2.3199989999999957,False,4,0
c1_k10,warm,all_18E1_capacity_sensitivity,10,6,6,0,-3.559999999999974,False,4,0
c1_k10,warm,all_18E2_capacity_sensitivity,10,1,1,0,-0.9899999999999807,False,4,0
c1_k10,warm,saved_240_control,10,0,0,0,2.842170943040401e-14,True,4,0
c1_k10,warm,source_group_or_conservative_mixed,10,6,6,0,-3.559999999999974,False,4,0
c1_k15,base,all_18E1_capacity_sensitivity,18,10,10,0,-3.089999499999948,False,7,0
c1_k15,base,all_18E2_capacity_sensitivity,18,1,1,0,-0.5199994999999547,False,7,0
c1_k15,base,saved_240_control,18,0,0,0,0.47000050000005444,True,7,0
c1_k15,base,source_group_or_conservative_mixed,18,9,9,0,-3.089999499999948,False,7,0
c1_k15,warm,all_18E1_capacity_sensitivity,15,8,8,0,-3.5600000000000023,False,0,0
c1_k15,warm,all_18E2_capacity_sensitivity,15,3,3,0,-0.9900000000000091,False,0,0
c1_k15,warm,saved_240_control,15,0,0,0,0.0,True,0,0
c1_k15,warm,source_group_or_conservative_mixed,15,6,6,0,-3.5600000000000023,False,0,0
c2_k05,base,all_18E1_capacity_sensitivity,5,1,1,0,-3.089999499999948,False,0,0
c2_k05,base,all_18E2_capacity_sensitivity,5,1,1,0,-0.5199994999999547,False,0,0
c2_k05,base,saved_240_control,5,0,0,0,0.47000050000005444,True,0,0
c2_k05,base,source_group_or_conservative_mixed,5,1,1,0,-3.089999499999948,False,0,0
c2_k05,warm,all_18E1_capacity_sensitivity,5,2,2,0,-3.0899994999999763,False,1,0
c2_k05,warm,all_18E2_capacity_sensitivity,5,1,1,0,-0.5199994999999831,False,1,0
c2_k05,warm,saved_240_control,5,0,0,0,0.470000500000026,True,1,0
c2_k05,warm,source_group_or_conservative_mixed,5,2,2,0,-3.0899994999999763,False,1,0
c2_k08,base,all_18E1_capacity_sensitivity,9,1,1,0,-3.0899994999999763,False,0,0
c2_k08,base,all_18E2_capacity_sensitivity,9,1,1,0,-0.5199994999999831,False,0,0
c2_k08,base,saved_240_control,9,0,0,0,0.470000500000026,True,0,0
c2_k08,base,source_group_or_conservative_mixed,9,1,1,0,-3.0899994999999763,False,0,0
c2_k08,warm,all_18E1_capacity_sensitivity,8,2,2,0,-3.0899994999999763,False,1,0
c2_k08,warm,all_18E2_capacity_sensitivity,8,1,1,0,-0.5199994999999831,False,1,0
c2_k08,warm,saved_240_control,8,0,0,0,0.470000500000026,True,1,0
c2_k08,warm,source_group_or_conservative_mixed,8,1,1,0,-3.0899994999999763,False,1,0
c2_k10,base,all_18E1_capacity_sensitivity,12,3,3,0,-2.0199990000000128,False,3,0
c2_k10,base,all_18E2_capacity_sensitivity,12,0,0,0,0.5500009999999804,True,3,0
c2_k10,base,saved_240_control,12,0,0,0,1.5400009999999895,True,3,0
c2_k10,base,source_group_or_conservative_mixed,12,3,3,0,-2.0199990000000128,False,3,0
c2_k10,warm,all_18E1_capacity_sensitivity,10,2,2,0,-3.0899994999999763,False,2,0
c2_k10,warm,all_18E2_capacity_sensitivity,10,1,1,0,-0.5199994999999831,False,2,0
c2_k10,warm,saved_240_control,10,0,0,0,0.470000500000026,True,2,0
c2_k10,warm,source_group_or_conservative_mixed,10,2,2,0,-3.0899994999999763,False,2,0
c2_k15,base,all_18E1_capacity_sensitivity,17,6,6,0,-3.2629990999999734,False,5,0
c2_k15,base,all_18E2_capacity_sensitivity,17,1,1,0,-0.6929990999999802,False,5,0
c2_k15,base,saved_240_control,17,0,0,0,0.2970009000000289,True,5,0
c2_k15,base,source_group_or_conservative_mixed,17,6,6,0,-1.5499985000000152,False,5,0
c2_k15,warm,all_18E1_capacity_sensitivity,15,6,6,0,-3.0899994999999763,False,2,0
