Start Place,End Place,Base Duration,Energy used,n,dur_min,dur_max,en_min,en_max,dur_diff,en_diff
1310,13801,14.0,16.4,2,14.0,14.0,16.4,16.4,0.0,0.0
2190,4808,22.0,37.6,2,22.0,22.0,37.6,37.6,0.0,0.0
2190,13801,19.0,28.0,2,19.0,19.0,28.0,28.0,0.0,0.0
3127,6480,7.0,3.8,2,6.0,8.0,3.8,3.8,2.0,0.0
3127,6480,8,3.8,1,wasMissing,,,,,
3127,7581,13.0,11.8,2,13.0,13.0,11.8,11.8,0.0,0.0
3127,7880,11.0,13.0,2,11.0,11.0,13.0,13.0,0.0,0.0
3127,13215,15.0,20.6,2,15.0,15.0,20.6,20.6,0.0,0.0
3127,13311,14.0,25.2,4,14.0,14.0,25.2,25.2,0.0,0.0
3127,13329,15.0,27.4,2,15.0,15.0,27.4,27.4,0.0,0.0
3127,13330,16.5,27.4,2,15.0,18.0,27.4,27.4,3.0,0.0
3127,13410,17.0,28.8,2,17.0,17.0,28.8,28.8,0.0,0.0
3127,13421,17.0,27.0,2,17.0,17.0,27.0,27.0,0.0,0.0
3127,13801,16.5,20.8,2,15.0,18.0,20.8,20.8,3.0,0.0
4808,13801,7.0,7.8,2,7.0,7.0,7.8,7.8,0.0,0.0
6480,7581,9.0,7.0,2,9.0,9.0,7.0,7.0,0.0,0.0
6480,7880,8.0,9.6,2,8.0,8.0,9.6,9.6,0.0,0.0
6480,13215,10.0,16.2,2,10.0,10.0,16.2,16.2,0.0,0.0
6480,13311,11.0,18.6,2,11.0,11.0,18.6,18.6,0.0,0.0
6480,13329,16.0,23.2,2,16.0,16.0,23.2,23.2,0.0,0.0
6480,13330,11.0,21.8,2,11.0,11.0,21.8,21.8,0.0,0.0
6480,13410,15.0,24.8,2,15.0,15.0,24.8,24.8,0.0,0.0
6480,13421,12.0,23.4,2,12.0,12.0,23.4,23.4,0.0,0.0
6480,13801,11.0,17.6,2,11.0,11.0,17.6,17.6,0.0,0.0
7581,7880,8.0,7.524,2,8.0,8.0,7.524,7.524,0.0,0.0
7581,13410,12.0,23.0,2,12.0,12.0,23.0,23.0,0.0,0.0
7581,13801,13.0,15.4,2,13.0,13.0,15.4,15.4,0.0,0.0
7880,13215,8.0,10.8,2,8.0,8.0,10.8,10.8,0.0,0.0
7880,13311,7.0,13.4,2,7.0,7.0,13.4,13.4,0.0,0.0
7880,13329,10.0,15.8,4,10.0,10.0,15.8,15.8,0.0,0.0
7880,13410,12.0,18.8,2,12.0,12.0,18.8,18.8,0.0,0.0
7880,13421,9.0,17.0,4,9.0,9.0,17.0,17.0,0.0,0.0
7880,13801,9.5,11.6,2,8.0,11.0,11.6,11.6,3.0,0.0
13215,13311,6.0,5.2,2,6.0,6.0,5.2,5.2,0.0,0.0
13215,13329,7.0,7.0,2,7.0,7.0,7.0,7.0,0.0,0.0
13215,13330,8.0,6.4,2,8.0,8.0,6.4,6.4,0.0,0.0
13215,13410,9.0,11.6,2,9.0,9.0,11.6,11.6,0.0,0.0
13215,13421,7.0,10.6,2,7.0,7.0,10.6,10.6,0.0,0.0
13215,13722,6.0,4.8,2,6.0,6.0,4.8,4.8,0.0,0.0
13215,13801,5.0,2.8,2,5.0,5.0,2.8,2.8,0.0,0.0
13311,13410,6.0,6.8,2,6.0,6.0,6.8,6.8,0.0,0.0
13311,13801,6.0,5.6,2,6.0,6.0,5.6,5.6,0.0,0.0
13329,13410,10.0,10.0,2,10.0,10.0,10.0,10.0,0.0,0.0
13329,13801,7.5,7.6,2,7.0,8.0,7.6,7.6,1.0,0.0
13330,13801,7.5,7.6,2,7.0,8.0,7.6,7.6,1.0,0.0
13410,13421,6.0,3.8,2,6.0,6.0,3.8,3.8,0.0,0.0
13410,13722,6.0,7.6,2,6.0,6.0,7.6,7.6,0.0,0.0
13410,13801,11.0,12.8,2,11.0,11.0,12.8,12.8,0.0,0.0
13421,13801,7.5,11.2,2,7.0,8.0,11.2,11.2,1.0,0.0
13722,13801,5.0,4.2,2,5.0,5.0,4.2,4.2,0.0,0.0
