case_id,chain,target_k,fresh_cg_allowance_min,fresh_cg_minutes,fresh_cg_certified,fresh_cg_stop,fresh_weighted_lp_objective,fresh_fractional_route_weight,fresh_buses,fresh_pool_fleet_bound,fresh_fleet_proven,fresh_mip_status,fresh_meaning,warm_buses,warm_fleet_proven,fresh_cg_source_path,fresh_cg_source_sha256,fresh_mip_source_path,fresh_mip_source_sha256,warm_mip_source_path,warm_mip_source_sha256,snapshot_path,snapshot_sha256,input_sha256,sequential_cg_minutes_including_ancestors,sequential_cg_plus_ancestor_graph_minutes,common_target_graph_minutes,sequential_target_cg_minutes,sequential_target_cg_certified,sequential_weighted_lp_objective,sequential_fractional_route_weight,sequential_target_source_path,sequential_target_source_sha256,fresh_fleet_stage_minutes,sequential_fleet_stage_minutes,mip_total_allowance_s,mip_fleet_allowance_s,fresh_cg_execution_commit,mip_execution_commit,fresh_integer_excess,fresh_pool_bound_excess,sequential_integer_excess,fresh_lp_above_k_bus_cost,sequential_lp_above_k_bus_cost,fresh_lp_charging_component,sequential_lp_charging_component,lp_difference_signed_fresh_minus_sequential,lp_difference_absolute,lp_relative_difference,fractional_route_weight_difference,fresh_min_rc,sequential_min_rc,rc_eps,certificate_scope,fresh_fleet_optimize_s,fresh_charging_optimize_s,fresh_total_optimize_s,fresh_fleet_phase_elapsed_s,fresh_solver_phase_elapsed_s,fresh_fleet_status,fresh_charging_status,fresh_finite_pool_fleet_proven,sequential_fleet_optimize_s,sequential_charging_optimize_s,sequential_total_optimize_s,sequential_fleet_phase_elapsed_s,sequential_solver_phase_elapsed_s,sequential_fleet_status,sequential_charging_status,sequential_finite_pool_fleet_proven
c1_k05,1,5,203.23333333333332,20.619252489499438,True,certified,500237.50599999976,4.999999999999997,5,5.0,True,OPTIMAL,target matched,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k05/base/135588_r0/cg.json,bd9c65fbcc6995b3e6831252e8c28a434fc0f4a37d520d3c29d9b3ba3afeacc4,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k05/mip_base/135590_r0/result.json,2414edcc46448bdd30d4669ca3fd7c33503e52479418676ec6bcb66df1648dfe,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k05/mip_warm/135589_r0/result.json,fe7d0953015209ce2920f0aae307621b43672d2bcac06d246bd5d74f582b7e6d,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,eba01cda70407e36244a98c5b4e423dd463df071940d568c24358dfbced512f8,203.22028939573792,249.32847423800655,23.88826695283254,89.74278781357765,True,500237.5059999999,4.999999999999998,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p1/cg/M__k05_p1__warm_cover__event_2p5_event5.json,3e3fbc72b91ed0996cc49c8bc0c474f96705f372a4755f281ac9d6f03999a31a,0.03285851081212362,0.028691959381103516,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,0,0.0,0,237.50599999976112,237.50599999987753,237.50600000005215,237.50600000005215,-1.1641532182693481e-10,1.1641532182693481e-10,2.327200988142917e-16,8.881784197001252e-16,-2.38362218851762e-10,-2.2402257826570349e-10,0.0001,conservative_expanded_grid_model_only,1.3043858176097274,2.160392447374761,3.4647782649844885,1.971510648727417,4.545419931411743,OPTIMAL,OPTIMAL,True,1.1599803380668163,1.7579663500655442,2.9179466881323606,1.721517562866211,4.109964609146118,OPTIMAL,OPTIMAL,True
c1_k08,1,8,536.4833333333333,51.09873878766472,True,certified,800383.6879776365,7.999999999999991,9,9.0,True,TIME_LIMIT,proved pool limit above target,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json,c024cc4e235234ed4244abaa1e7738f3600c264a2ffe4c05c5026198b69d56b0,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/mip_base/135595_r0/result.json,c9dc2e96492adc127590ad89b0d2bfbb13394f358dc49f64438380093245a631,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/mip_warm/135594_r0/result.json,92aa65873dc345fbd578f3066f78f4e31c92e19ce8710a5b7518930126456c2f,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,536.4743113282369,769.2892925980734,121.32244489987691,23.972495051162937,True,800383.6879776382,8.000000000000009,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k08/cg.json,1513ea906b23b9866083c4ecb57df48685e8ce8f87e22b6774c70213c2c7e72b,26.370264081160226,0.4927739103635152,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,1,1.0,0,383.6879776364658,383.68797763821203,383.6879776373971,383.6879776372807,-1.7462298274040222e-09,1.7462298274040222e-09,2.1817408995631727e-15,1.7763568394002505e-14,-5.161662208763573e-10,-1.0789169557767764e-09,0.0001,conservative_expanded_grid_model_only,1580.9472602959722,2018.0649189925753,3599.0121792885475,1582.2158448696136,3601.4746873378754,OPTIMAL,TIME_LIMIT,True,27.152428023982793,3570.622788998997,3597.7752170229796,29.566434621810913,3601.5155799388885,OPTIMAL,TIME_LIMIT,True
c1_k10,1,10,580.8333333333334,80.01890566223301,True,certified,1000511.2045748298,9.999999999999991,11,10.000000000000027,False,TIME_LIMIT,fleet gap open,10,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k10/base/135598_r0/cg.json,c73c6501fc58bc61fb3f09c02cf1980fe6544bcc9476afad12cf383d7743f0e7,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k10/mip_base/135600_r0/result.json,d952a8ac9cc4006ac5ecb0797ac13890509936f80406cb590a3eebc2b864f5cc,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k10/mip_warm/135599_r0/result.json,9ec64eaa8b4837d7846b7c43ab44ce1996763689a3e959847b3d017cad22c4f9,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,580.8278240789815,1076.142465018217,64.17630830605825,17.63162288633175,True,1000511.2045748269,9.999999999999963,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k10/cg.json,f3a339519c8b113c35ae7e2c5910ae82b42d53332283f93ed3bf389acfc54e8e,30.027206122875214,2.581148684024811,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,1,2.6645352591003757e-14,0,511.20457482978236,511.204574826872,511.2045748307137,511.20457483059727,2.9103830456733704e-09,2.9103830456733704e-09,2.9088960047280492e-15,2.842170943040401e-14,-1.3219052519275465e-09,-6.247313777407726e-10,0.0001,conservative_expanded_grid_model_only,1800.0817513139918,1802.627846196061,3602.709597510053,1801.6323673725128,3605.4000010490417,TIME_LIMIT,TIME_LIMIT,False,152.28712840005755,3445.215278065065,3597.5024064651225,154.86892104148865,3601.4956278800964,OPTIMAL,TIME_LIMIT,True
c1_k15,1,15,952.2666666666667,290.72165637259604,True,certified,1500717.3733261158,15.000000000000115,18,15.000000000000046,False,TIME_LIMIT,fleet gap open,15,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k15/base/135603_r0/cg.json,4bd5821a72b96ac83b81f2474514aa3eceb8fcdd24106f80050e58bcfc91db7d,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k15/mip_base/135605_r0/result.json,0a553d6ae5b87fe448c13cc62ed7de7ab7682509f556bf9dc75168a2c6eda20b,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k15/mip_warm/135604_r0/result.json,001928a91dc223802126891f401c767486da34db90b805fdccb7f1430df177ab,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,952.2634879678759,1891.1821990818057,156.0350720524788,156.30250362565664,True,1500717.3733261311,15.000000000000268,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k15/cg.json,a84c91e12c33e6e59d5842673bb5cebaf65fc659817fa63f0bc1110053794eca,30.048184764385223,1.8334288120269775,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,3,4.618527782440651e-14,0,717.3733261157759,717.3733261311427,717.3733261041343,717.3733261043672,-1.5366822481155396e-08,1.5366822481155396e-08,1.0239651219001332e-14,1.5276668818842154e-13,-2.890915951070383e-09,-6.214520453795558e-09,0.0001,conservative_expanded_grid_model_only,1800.2162091659848,1797.4138427530415,3597.6300519190263,1802.8910858631134,3603.6799952983856,TIME_LIMIT,TIME_LIMIT,False,105.7495603361167,3490.2624844950624,3596.012044831179,110.00572872161865,3602.5701875686646,OPTIMAL,TIME_LIMIT,True
c2_k05,2,5,34.15,11.567657840667136,True,certified,500164.2479999964,4.9999999999999645,5,5.0,True,OPTIMAL,target matched,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k05/base/135608_r0/cg.json,fefb56ca2f1ae00a74527cbe1a908750e8507ce5c7c439b0851ef8893d202a96,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k05/mip_base/135610_r0/result.json,055f0044637a7b36d1c8b9b2e001ad5aeddb6fc9fcaaf1611eb0e695a3663432,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k05/mip_warm/135609_r0/result.json,4cb42e5f74fec603f30e79c84be4bd933ca37c64741b6819fdd1bfcf163141f3,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,286ef14718748dbeb88980e11f835ed920cb9a01f72708aec4b43a436001ec86,34.135144842478134,50.03949054162949,31.509556686878206,28.476077108465446,True,500164.24800000037,5.0000000000000036,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/cg/M__k05_p2__warm_cover__event_2p5_event5.json,e99b3549d81e8013e4d0131f51d74532dfa19d2c1f4de03d947c6f2ab04526c2,1.0621927460034688,0.09538124799728394,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,0,0.0,0,164.24799999641255,164.24800000037067,164.2479999999632,164.24800000002142,-3.958120942115784e-09,3.958120942115784e-09,7.913642284395707e-15,3.907985046680551e-14,-7.696083770269979e-10,-1.2025829221329332e-09,0.0001,conservative_expanded_grid_model_only,63.226342868991196,46.284241140820086,109.51058400981128,63.73156476020813,110.3670904636383,OPTIMAL,OPTIMAL,True,5.259003296028823,30.43415381689556,35.69315711292438,5.722874879837036,36.51823616027832,OPTIMAL,OPTIMAL,True
c2_k08,2,8,609.3833333333333,18.020717868216646,True,certified,800235.9144683554,7.999999999999991,9,8.000000000000005,False,TIME_LIMIT,fleet gap open,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k08/base/135613_r0/cg.json,f9544e307dc64585034133ef0e440657e737eb29f94e690646f822a7ad1c8352,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k08/mip_base/135615_r0/result.json,f82b4e049c973036cb00a53c5bd5a3925206c6d8333fc32b2b4a704dfe00c3e4,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k08/mip_warm/135614_r0/result.json,3414ef6674b182fe5dc3b2dca75d46dafbf826c8e0ebe28d7fa76521bf8dcb8d,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,609.3794455808315,765.2663459620787,114.51081950267157,285.35033308659524,True,800235.914468357,8.000000000000007,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/cg/M__k08_p2__warm_cover__event_2p5_event5.json,1b41a5335fa1651103ee949099d20edd5a86b29dd627f94ee73164c093cdff80,30.008500226338704,0.15376617908477783,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,1,5.329070518200751e-15,0,235.91446835536044,235.91446835699026,235.91446835629176,235.91446835629176,-1.6298145055770874e-09,1.6298145055770874e-09,2.036667532798584e-15,1.5987211554602254e-14,-3.2331159971477064e-09,-1.818214911963878e-09,0.0001,conservative_expanded_grid_model_only,1800.0760012408718,1799.6216812620405,3599.6976825029124,1800.5100135803223,3600.8063938617706,TIME_LIMIT,TIME_LIMIT,False,8.269051644951105,3590.847791512031,3599.116843156982,9.22597074508667,3600.783068418503,OPTIMAL,TIME_LIMIT,True
c2_k10,2,10,658.25,45.94994359918249,True,certified,1000371.1457444351,9.999999999999977,12,10.000000000000068,False,TIME_LIMIT,fleet gap open,10,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k10/base/135618_r0/cg.json,41eba3edf8b59b540d63061dd75eea4b50e5d428708f058e0f856723a3ca7922,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k10/mip_base/135620_r0/result.json,7b1b3844aaaade471ac6e7b731a9ee751ffb07569a1af953e7c34c1b3d25c69c,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k10/mip_warm/135619_r0/result.json,4baf5e6f2d3700a6aab53a7a670d51a9445943f46a7dee9ebfe1af17ad7e57d1,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,658.2459274483107,1118.6548102331542,82.79647017717362,16.390091063963094,True,1000371.1457444465,10.00000000000009,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k10/cg.json,7ec1af8340ee56dd14f4acde27c0ca463d269768fe88930dd8fe330783730d5c,30.01595505873362,0.23631420135498046,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,2,6.750155989720952e-14,0,371.14574443513993,371.14574444654863,371.14574443746824,371.14574443746824,-1.1408701539039612e-08,1.1408701539039612e-08,1.1404468818969778e-14,1.1368683772161603e-13,-3.6916523171726112e-09,-9.518442034561758e-09,0.0001,conservative_expanded_grid_model_only,1800.0900735841133,1799.1786343359854,3599.2687079200987,1800.9573035240173,3602.4913449287415,TIME_LIMIT,TIME_LIMIT,False,12.631747656036168,3585.9164062580094,3598.5481539140455,14.178852081298828,3601.114192008972,OPTIMAL,TIME_LIMIT,True
c2_k15,2,15,965.4666666666667,259.6934106076175,True,certified,1500618.95154294,15.00000000000011,17,15.000000000000021,False,TIME_LIMIT,fleet gap open,15,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k15/base/135623_r0/cg.json,5be8ec670c62fc03224ff22cb10cc4de50c208d97f5a29c8aecdd940dc94bae6,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k15/mip_base/135625_r0/result.json,1087425363e02e1d2f5054c37131e176cf315bf2a3470ea834466bf4bec16d35,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k15/mip_warm/135624_r0/result.json,323b6bf9662d0cb61af20586adc322d167c796502dd8fe693984368f8b5d96d2,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,965.4516164439226,1982.9129384375915,197.83053553501765,122.67654101173393,True,1500618.9515440017,15.000000000000268,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k15/cg.json,e0f52be4e6ef301c3d557b84ab4d084159d3b2918be6dbdd59bee7b3f6e6b0d1,30.046365185578665,6.822295415401459,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,2,2.1316282072803006e-14,0,618.9515429399908,618.9515440016985,618.9515429290477,618.951543974923,-1.0617077350616455e-06,1.0617077350616455e-06,7.075132124442677e-13,1.580957587066223e-13,-3.027906547714565e-08,-9.095508949519271e-05,0.0001,conservative_expanded_grid_model_only,1800.2539788410068,1799.4194341511466,3599.6734129921533,1802.7819111347198,3606.870959997177,TIME_LIMIT,TIME_LIMIT,False,405.96043853927404,3190.817410380114,3596.777848919388,409.3377249240875,3602.278380393982,OPTIMAL,TIME_LIMIT,True
c3_k05,3,5,50.96666666666667,5.076166996313259,True,certified,500125.72799999977,4.999999999999998,5,5.0,True,OPTIMAL,target matched,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k05/base/135628_r0/cg.json,910801febd6fdf0788b78e494e4a9752c233d0c8a6348a6e6d2cb1735b2a1cf7,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k05/mip_base/135630_r0/result.json,9d82a1e36bd2ab3ea24ae497025839ba7ecfd2bc70d3781d5a899ba5f68b2086,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k05/mip_warm/135629_r0/result.json,ac12982dbcd933aa24401e5e6df1c862ad43ef88f2fcbb2da56eb5650d4d812a,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4,50.9608681800232,79.20348405463156,29.202767888704937,32.37045044035573,True,500125.728000001,5.00000000000001,/home/nc437/ladder-lite/nested_warm_chain_p3_k2_10_20260909_8830a34/cg/M__k05_p3__warm_cover__event_2p5_event5.json,cb67e103e5f65e3c79c0bbeed466cc8a4386206ae5ca7cf7e637f14e9a461dd1,0.05966612497965495,0.040374823411305744,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,0,0.0,0,125.72799999976996,125.72800000099232,125.72799999994459,125.7280000000028,-1.2223608791828156e-09,1.2223608791828156e-09,2.444107172952344e-15,1.1546319456101628e-14,-5.822595738891323e-10,-6.634917615322422e-10,0.0001,conservative_expanded_grid_model_only,3.3799684583209455,1.0003865798935294,4.380355038214475,3.579967498779297,4.794543743133545,OPTIMAL,OPTIMAL,True,2.1629769979044795,32.80281692603603,34.96579392394051,2.4224894046783447,35.57736873626709,OPTIMAL,OPTIMAL,True
c3_k08,3,8,377.95,13.277519489316425,True,certified,800212.6874725271,7.999999999999997,9,8.000000000000004,False,TIME_LIMIT,fleet gap open,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json,9e8376a2835c071c76011325de652348eda5bf3937a3faad03d9bb7544e78082,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/mip_base/135635_r0/result.json,1d4936bec7def830d91a25a20f8f460fdb8f66ffd383e6a68463bd8a6f584ffc,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/mip_warm/135634_r0/result.json,cfe1b55635a997edbf7bd6eba3d651d4ec42e00c95798edb2c0074fbc0ce30f5,outputs/post_meeting_20260910/monitor/20260914T004739Z.json,d026c479f3b8f3d273d261c9ef4e1605c3fd42dd1ad68917d1a7786b373d655a,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,377.93777588432033,555.5943912290037,54.92136666377385,137.06423359982438,True,800212.6874725426,8.000000000000151,/home/nc437/ladder-lite/nested_warm_chain_p3_k2_10_20260909_8830a34/cg/M__k08_p3__warm_cover__event_2p5_event5.json,49635299c5e437f25ee4a6858d09e3582fc21f97ed632d6a916666112a7bf362,30.00883211692174,0.02422043482462565,3600,1800,e091a4dba549510238507ef5e5367abea958bd30,871d057e1067411f09581e37d78f7c1ca43f68bb,1,3.552713678800501e-15,0,212.6874725271482,212.68747254263144,212.68747252738103,212.68747252749745,-1.548323780298233e-08,1.548323780298233e-08,1.9348903167089063e-14,1.5365486660812167e-13,-6.593571537027998e-05,-6.593634434093332e-05,0.0001,conservative_expanded_grid_model_only,1800.1264254031703,1799.6429926436394,3599.7694180468097,1800.5299270153046,3602.310341358185,TIME_LIMIT,TIME_LIMIT,False,0.9434191132895648,857.6084666689858,858.5518857822753,1.453226089477539,859.5873618125916,OPTIMAL,OPTIMAL,True
